closure_id,domain,quantity,model_form,source_artifact,source_status,tamu_use_case,target_region,required_inputs,repo_artifact_support,current_status,allowed_use,known_failure_mode,notes
LTM-001,properties,"rho(T)|mu(T)|cp(T)|k(T)","Explicit case-family material branch evaluation","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/correlation_table.csv","Verified directly or verified for paper usage","Use readable CFD-side material branch rather than one hidden generic salt default",all_segments,"case family id; segment temperature","reports/2026-06-02_ethan_1d_model_discrepancy_report/README.md",admit_v1,required_input,"A hidden generic salt branch recreates the June 2 mismatch","Keep Jin, Kirst, and validation branches explicit."
LTM-002,hydraulics,fD,"Laminar fully developed circular-pipe Darcy friction f_D = 64 / Re","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/correlation_table.csv","Verified directly","Baseline distributed friction in smooth straight sections","lower_leg|test_section_span|other long straights","local Re from local properties","reports/2026-06-19_ethan_salt_model_dependency_package_v3/README.md",baseline_only,baseline_reference,"Assuming this alone closes redevelopment or local losses overstates support","Keep Fanning/Darcy separation explicit."
LTM-003,hydraulics,f_app,"Shah apparent-friction framework for hydrodynamic entry","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/04_friction_apparent_friction.tex","Verified directly for theory","Comparison or sensitivity closure for reset or short redeveloping sections","quartz transition family|post-fitting resets","section length; hydraulic diameter; Re; reset assumption","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_implementation_spec.md",comparison_or_sensitivity_only,sensitivity_only,"Treating it as a loop-wide default conflates redevelopment with distributed friction","Use only when a reset assumption is stated."
LTM-004,hydraulics,K_local,"Explicit local-loss terms for contractions expansions elbows reducers and fittings","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/modeling_decision_memo.csv","Verified directly with unresolved exact values","Separate geometric losses from distributed friction","test_section_transitions|features|return path","geometry ratios; velocity-head convention","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_closure_map.csv",comparison_or_sensitivity_only,sensitivity_only,"Hiding local losses inside effective friction obscures physical attribution","Keep K placeholders source-tagged until exact tables are audited."
LTM-005,hydraulics,K_eff,"Feature-resolved retained-time effective K from full-path hydro closure","reports/2026-06-19_ethan_salt_feature_path_hydraulic_hardening/README.md","Blocked by current repo evidence","Future feature closure once retained-time path integrals exist",all_features,"retained-time full-path p_rgh and hydro integrals","reports/2026-06-19_ethan_salt_model_dependency_package_v3/README.md",blocked,exclude,"Current artifact stack preserves only proxy endpoint evidence","Do not promote feature K_eff into defended v1."
LTM-006,thermal,Nu,"Branch-aware direct Salt Nu fit log(Nu) = a + b log(Re)","reports/2026-06-19_ethan_salt_model_dependency_package_v3/salt_nu_fit_results.json","Repo provisional defended","Optional direct thermal closure on the strongest direct branch","left_lower_leg","local Re; local k; hydraulic diameter","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_closure_map.csv",admit_v1,limited_direct_fit,"Using this outside its defended branch/domain overclaims support","Left-lower-leg only."
LTM-007,thermal,UAprime,"Support-gated UA' profile or segment-average library","reports/2026-06-18_ethan_salt_thermal_model_surface_ranking/README.md","Repo admitted state surface","Primary thermal state surface for the first defended 1D model","left_lower_leg|test_section_span|left_upper_leg|upcomer","branch thermal summaries or segment libraries","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_closure_map.csv",admit_v1,primary_thermal_surface,"Unsupported branches and low delta-T regions remain outside this safe subset","Preferred over HTC because it avoids extra wall-area normalization."
LTM-008,thermal,HTC,"Support-gated effective HTC profile or segment-average library","reports/2026-06-18_ethan_salt_thermal_model_surface_ranking/README.md","Repo admitted secondary surface","Secondary thermal surface for diagnostics and cross-checks","left_lower_leg|test_section_span|left_upper_leg|upcomer","branch thermal summaries or segment libraries","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_closure_map.csv",admit_v1,secondary_thermal_surface,"Promoting it to the primary surface adds avoidable normalization noise","Carry beside UA' rather than instead of UA'."
LTM-009,thermal,Nu,"Fully developed laminar circular limits Nu = 3.657 or Nu = 4.364","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/correlation_table.csv","Verified directly","Reference surfaces for comparison and lower-order checks","all_internal_sections","boundary condition class; characteristic diameter","reports/2026-06-17_ethan_nondimensional_dashboard_package/README.md",baseline_only,comparison_reference,"Treating these as default truth for every current section ignores thermal development","Use as limiting references only."
LTM-010,thermal,Nu_entry,"Muzychka and Yovanovich combined-entry Nusselt framework","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/correlation_table.csv","Verified model class with implementation conversion pending","Higher-fidelity entry sensitivity or future branch closure","developing heated segments","Pr; entry coordinate; characteristic-length conversion; boundary condition type","reports/2026-06-19_ethan_blocker_report_and_followon_wave/README.md",comparison_or_sensitivity_only,sensitivity_only,"Characteristic-length conversion and branchwise support are not yet hardened in this repo","Do not implement silently without documenting length conversion."
LTM-011,thermal,Gz_flag,"Graetz-based thermal entry diagnostic","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/14_Jun18_bigger_lit_rev_pot_overlap.tex","Verified directly for interpretation use","Flag whether a section is plausibly thermally developed","all heated or cooled segments","Re; Pr; characteristic length; axial length","reports/2026-06-17_ethan_nondimensional_dashboard_package/README.md",comparison_or_sensitivity_only,diagnostic_only,"A diagnostic is not itself a closure law","Use to justify or refuse development assumptions."
LTM-012,thermal,Ri_flag,"Mixed-convection buoyancy flag such as Ri = Gr / Re^2","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/implementation_ready_recommendations.csv","Verified directly for interpretation use","Flag segments where buoyancy likely alters forced-convection assumptions","vertical or strongly heated segments","local properties; delta T; diameter; velocity scale","reports/2026-06-17_ethan_nondimensional_dashboard_package/README.md",comparison_or_sensitivity_only,diagnostic_only,"Using this as an automatic closure switch would overstate what the repo supports","Use as a gate before promoting new Nu laws."
LTM-013,boundary_conditions,Q_cooler,"Readable fixed cooler sink input","reports/2026-06-15_ethan_boundary_modeling_report/README.md","Verified directly from readable 0/T behavior","Primary cooling-side forcing contract for defended v1","cooler_sink_bucket","fixed sink Q from readable case BCs","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_closure_map.csv",admit_v1,required_input,"A literal cooler-h control is not visible in the readable artifacts","Do not mutate hidden cooler h in defended v1."
LTM-014,hybrid_model,Deltap_residual,"Positive lumped hydraulic residual bucket","reports/2026-06-19_ethan_blocker_report_and_followon_wave/blocker_resolution_plan.md","Repo calibration-only","Absorb unresolved feature and return-path hydraulic losses in v1","features|right_leg|cooler_return|reducers|corners","per-case residual calibration from CFD totals","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_closure_map.csv",calibration_only,required_hybrid_term,"Treating the residual as defended physics would hide missing closure structure","Use one clear residual bucket until feature-path closure exists."
LTM-015,hybrid_model,UA_lumped_residual,"Positive lumped thermal residual bucket","reports/2026-06-19_ethan_blocker_report_and_followon_wave/blocker_resolution_plan.md","Repo calibration-only","Absorb unsupported wall-loss and cooler-vicinity thermal behavior in v1","unsupported_walls|cooler_vicinity|right_leg","heater cooling and ambient-loss balance from CFD package outputs","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_closure_map.csv",calibration_only,required_hybrid_term,"Folding unsupported external losses into internal Nu would distort interpretation","Keep it explicit until wider direct thermal support exists."
