segment_or_family,hydraulic_closure,thermal_closure,nondimensional_diagnostics,status,why_allowed_or_blocked,primary_repo_source,fallback_if_blocked
lower_leg,"Straight friction fit or local-property 64/Re baseline","No direct fitted Nu; use UA'/HTC only where branch support exists","Re|Pr|Gz|fD",admit,"Hydraulic support is strongest here and the straight fit is part of the admitted Salt v1 boundary","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_implementation_spec.md","Use hydraulic residual bucket for unsupported subfeatures."
test_section_span,"Straight friction fit plus explicit local-loss sensitivity around transitions","Use UA' primary and HTC secondary; fully developed Nu only as comparison","Re|Pr|Gz|Nu_ref|Ri",admit_with_caveat,"This span is admitted hydraulically and thermally, but the transition context means redevelopment and local-loss assumptions must stay explicit","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_closure_map.csv","If redevelopment is uncertain keep Shah/Muzychka terms in sensitivity-only mode."
left_lower_leg,"No defended direct hydraulic fit beyond shared straight logic","Direct Nu(Re) allowed on limited Salt domain; UA' primary; HTC secondary","Re|Pr|Gz|Nu|Ri",admit,"This is the only branch with a defended direct Salt Nu fit and it is also in the thermal safe subset","reports/2026-06-19_ethan_salt_model_dependency_package_v3/README.md","Use UA' if the direct Nu mode is outside defended range."
left_upper_leg,"No defended direct hydraulic fit beyond shared straight logic","UA' primary; HTC secondary","Re|Pr|Gz|Ri",admit_state_surface_only,"Thermal support is good enough for state surfaces but not for a direct fitted Nu law","reports/2026-06-18_ethan_salt_thermal_model_surface_ranking/README.md","Use thermal residual bucket if support gating fails."
upcomer,"No defended direct hydraulic fit beyond shared straight logic","UA' primary; HTC secondary; no direct fitted Nu","Re|Pr|Gz|Ri",admit_state_surface_only,"Thermal surface support is admissible, but derived upcomer Nu is not defended as a fitted closure","reports/2026-06-18_ethan_salt_thermal_model_surface_ranking/README.md","Keep derived upcomer Nu diagnostic-only."
right_leg,"No defended direct hydraulic closure","No defended direct thermal closure","Re|Pr|Gz|Ri",blocked,"Current support remains too weak for direct hydraulic or thermal promotion","reports/2026-06-18_ethan_transport_interpretation_closure/README.md","Absorb into hydraulic and thermal residual buckets."
test_section_transitions,"Explicit local K placeholders and redevelopment sensitivity only","No direct thermal closure; use adjacent segment surfaces and residual checks","Re|Gz|local area ratio",sensitivity_only,"The literature review supports separate local-loss and redevelopment terms here, but exact defended values are not yet published in this repo","reports/2026-06-19_ethan_litrev_to_1d_modeling_handoff/closure_crosswalk.csv","Keep K placeholders source-tagged and off the defended surface."
cooler_sink_bucket,"No defended internal hydraulic closure beyond shared loop balance","Fixed readable Q sink only; no live cooler-h closure","Q_cooler|Re|Pr",admit_with_boundary_limit,"Readable 3D evidence exposes fixed sink Q rather than a directly readable cooler-side h control","reports/2026-06-15_ethan_boundary_modeling_report/README.md","Treat any cooler-h study as separate future work after a readable preprocessing link is found."
unresolved_return_and_feature_bucket,"Positive hydraulic residual bucket","Positive thermal residual bucket","residual audits only",required_hybrid_bucket,"Current defended model remains hybrid because feature losses and unsupported return-path behavior are not directly closed","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_implementation_spec.md","Do not hide these terms inside fitted f or Nu."
water_family_global,"No defended dependency fit admissions yet","No defended direct family-level thermal fit admissions yet","Re|Pr|Gz|Ri",exclude_for_now,"Water remains readiness-only in the June 19 handoff and should not be collapsed into Salt fitting work yet","reports/2026-06-19_ethan_water_readiness_handoff/README.md","Keep Water on a separate readiness track until closure hardening improves."
