group_name,formula,property_evaluation_rule,characteristic_length,target_use,required_repo_inputs,safe_domain,warning,upstream_source
Re,"Re = rho * U * D_h / mu","Evaluate rho and mu from the explicit case-family material branch at segment state","Use segment hydraulic diameter D_h","Primary hydraulic state and friction-fit coordinate","mdot or U; rho(T); mu(T); D_h","All current families as a state variable","Do not mix Jin Kirst and validation properties inside one hidden default","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/correlation_table.csv"
Pr,"Pr = mu * cp / k","Evaluate mu cp and k from the same local state and material branch","No extra length scale","Primary thermal state and entry coordinate","mu(T); cp(T); k(T)","All current families as a state variable","Do not fix Pr independently from the property model","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/tables/property_model_comparison.tex"
Pe,"Pe = Re * Pr","Use the same local Re and Pr definitions as the active segment state","Use the same D_h embedded in Re","Advection versus thermal diffusion context","Re; Pr","All current families as a diagnostic","Useful but secondary to the explicit Re and Pr fields","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/14_Jun18_bigger_lit_rev_pot_overlap.tex"
Gz,"Gz = Re * Pr * D_h / x","Use local Re and Pr with explicit local distance from the last reset or inlet","Hydraulic diameter D_h and local development length x","Thermal-entry diagnostic and justification gate","Re; Pr; D_h; branchwise x from reset or inlet","Developing or heated segments only","A Graetz threshold is a diagnostic not a closure law","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/14_Jun18_bigger_lit_rev_pot_overlap.tex"
Gr,"Gr = g * beta * DeltaT * D_h^3 / nu^2","Use local or segmentwise property evaluation consistent with the chosen material branch","Hydraulic diameter D_h","Mixed-convection and buoyancy-strength diagnostic","beta(T); DeltaT; nu(T); D_h","Vertical or strongly heated segments","Choice of DeltaT reference must be stated explicitly","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/implementation_ready_recommendations.csv"
Ra,"Ra = Gr * Pr","Use the same Gr and Pr definitions used elsewhere in the same segment","Hydraulic diameter D_h","Buoyancy and thermal-regime screening","Gr; Pr","Mostly for natural-convection interpretation or cross-checks","Do not import cavity-based Nu(Ra Pr) laws directly into pipe closures without justification","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/14_Jun18_bigger_lit_rev_pot_overlap.tex"
Ri,"Ri = Gr / Re^2","Use the same local Re and Gr definitions for the segment","Uses D_h through Re and Gr","Flag buoyancy influence on forced-convection assumptions","Gr; Re","Vertical or strongly heated segments","Use as a gate before promoting a new Nu closure not as an automatic switch","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/implementation_ready_recommendations.csv"
fD,"f_D = 4 f_F","Use the same Re and convention separation throughout the workflow","Hydraulic diameter D_h for pressure-drop use","Primary 1D pressure-drop convention","Re; wall shear comparison if needed","All admitted hydraulic segments","A factor-of-four mistake against Reis-style Fanning quantities is easy to make","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/04_friction_apparent_friction.tex"
Nu,"Nu = h * D_h / k","Evaluate h only from admitted or explicitly labeled support-gated thermal surfaces and use local k from the chosen material branch","Hydraulic diameter D_h","Dimensionless thermal-closure output and comparison quantity","HTC or direct h; D_h; k(T)","Only on admitted direct or support-gated branches","Do not back-compute Nu from unsupported branches and call it defended","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/correlation_table.csv"
delta_ratio,"delta_t / delta_h or analogous thermal-to-hydrodynamic boundary-layer ratio","Use the same near-wall profile definitions for both thermal and hydraulic thicknesses","Local wall-normal coordinate","Diagnostic-only boundary-layer interpretation","retained-time near-wall velocity and temperature profiles","Contextual only with current repo artifacts","Current repo support is not yet strong enough to promote this as a fitting coordinate","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/14_Jun18_bigger_lit_rev_pot_overlap.tex"
