candidate_id,case_id,split_role,kind,prediction_source_segment,n_compared,candidate_rmse_K,m3_rmse_K,rmse_delta_vs_m3_K,candidate_mae_K,m3_mae_K,mae_delta_vs_m3_K
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP,left_lower_vertical,2,19.29617224,10.03368821,9.262484034,19.2073448,9.948393484,9.258951321
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP,left_upper_vertical,1,30.7841931,14.32783545,16.45635765,30.7841931,14.32783545,16.45635765
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP,test_section,1,21.28245303,12.68597574,8.59647729,21.28245303,12.68597574,8.59647729
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP,top_horizontal_exit,1,33.35229932,20.51460024,12.83769908,33.35229932,20.51460024,12.83769908
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,cooled_incline_post_hx,1,28.61241638,14.11077639,14.50163999,28.61241638,14.11077639,14.50163999
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,cooled_incline_pre_hx,1,27.93599159,0.9395367915,26.9964548,27.93599159,0.9395367915,26.9964548
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,heated_incline,3,40.18568973,8.530074996,31.65561473,38.81161021,8.376710866,30.43489934
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,left_lower_vertical,1,24.14372934,14.18859116,9.95513818,24.14372934,14.18859116,9.95513818
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,left_upper_vertical,1,23.69293939,14.27661257,9.41632682,23.69293939,14.27661257,9.41632682
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,right_vertical,3,24.27589154,31.1645128,-6.888621258,24.26818295,28.81046408,-4.54228113
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP,left_lower_vertical,2,33.62517768,9.45619555,24.16898213,33.58302147,9.40284515,24.18017632
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP,left_upper_vertical,1,44.26988217,13.12994696,31.13993521,44.26988217,13.12994696,31.13993521
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP,test_section,1,34.91076753,11.54172848,23.36903905,34.91076753,11.54172848,23.36903905
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP,top_horizontal_exit,1,47.29638468,19.17962826,28.11675642,47.29638468,19.17962826,28.11675642
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW,cooled_incline_post_hx,1,42.62195938,11.6845683,30.93739108,42.62195938,11.6845683,30.93739108
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW,cooled_incline_pre_hx,1,41.89787921,2.874608504,39.02327071,41.89787921,2.874608504,39.02327071
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW,heated_incline,3,55.28518081,6.387190495,48.89799031,54.2229848,6.121986108,48.10099869
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW,left_lower_vertical,1,38.46078678,13.74638057,24.71440621,38.46078678,13.74638057,24.71440621
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW,left_upper_vertical,1,37.66968381,13.01897307,24.65071074,37.66968381,13.01897307,24.65071074
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW,right_vertical,3,37.85240064,30.78063822,7.071762419,37.844929,28.24416649,9.600762513
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TP,left_lower_vertical,2,19.28584123,10.03368821,9.252153027,19.19696516,9.948393484,9.248571671
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TP,left_upper_vertical,1,30.77402959,14.32783545,16.44619414,30.77402959,14.32783545,16.44619414
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TP,test_section,1,21.27218629,12.68597574,8.58621055,21.27218629,12.68597574,8.58621055
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TP,top_horizontal_exit,1,33.34111594,20.51460024,12.8265157,33.34111594,20.51460024,12.8265157
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TW,cooled_incline_post_hx,1,28.60129017,14.11077639,14.49051378,28.60129017,14.11077639,14.49051378
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TW,cooled_incline_pre_hx,1,27.9259044,0.9395367915,26.98636761,27.9259044,0.9395367915,26.98636761
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TW,heated_incline,3,40.17539218,8.530074996,31.64531719,38.80092067,8.376710866,30.4242098
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TW,left_lower_vertical,1,24.13342855,14.18859116,9.94483739,24.13342855,14.18859116,9.94483739
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TW,left_upper_vertical,1,23.68279968,14.27661257,9.40618711,23.68279968,14.27661257,9.40618711
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,TW,right_vertical,3,24.26480702,31.1645128,-6.899705774,24.25709473,28.81046408,-4.55336935
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_4,holdout,TP,left_lower_vertical,2,33.61633099,9.45619555,24.16013544,33.57416331,9.40284515,24.17131816
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_4,holdout,TP,left_upper_vertical,1,44.26121138,13.12994696,31.13126442,44.26121138,13.12994696,31.13126442
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_4,holdout,TP,test_section,1,34.90199818,11.54172848,23.3602697,34.90199818,11.54172848,23.3602697
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_4,holdout,TP,top_horizontal_exit,1,47.28681108,19.17962826,28.10718282,47.28681108,19.17962826,28.10718282
