candidate_id,case_id,split_role,sensor,kind,candidate_error_K,candidate_abs_error_K,m3_error_K,m3_abs_error_K,abs_error_delta_vs_m3_K,candidate_predicted_K,target_K,prediction_source_segment,comparison_status,probe_gate
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP1,TP,-33.35229932,33.35229932,-20.51460024,20.51460024,12.83769908,432.4577007,465.81,top_horizontal_exit,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP2,TP,,,,,,nan,458.52,,not_compared_missing_m3_or_candidate,not_compared
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP3,TP,-17.35797498,17.35797498,-8.642879738,8.642879738,8.715095242,441.962025,459.32,left_lower_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP4,TP,-21.05671463,21.05671463,-11.25390723,11.25390723,9.802807402,441.5132854,462.57,left_lower_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP5,TP,-21.28245303,21.28245303,-12.68597574,12.68597574,8.59647729,442.367547,463.65,test_section,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP6,TP,-30.7841931,30.7841931,-14.32783545,14.32783545,16.45635765,435.6858069,466.47,left_upper_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW1,TW,-23.62025066,23.62025066,-39.25074637,39.25074637,-15.63049571,431.3797493,455,right_vertical,compared,pass
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW10,TW,180.6816167,180.6816167,,,,579.7716167,399.09,cooled_incline_hx_active,not_compared_missing_m3_or_candidate,not_compared
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW11,TW,-28.61241638,28.61241638,-14.11077639,14.11077639,14.50163999,431.9375836,460.55,cooled_incline_post_hx,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW2,TW,-25.08858342,25.08858342,-34.99323507,34.99323507,-9.904651652,430.9914166,456.08,right_vertical,compared,pass
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW3,TW,-24.09571478,24.09571478,-12.18741081,12.18741081,11.90830397,430.8042852,454.9,right_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW4,TW,-24.86348955,24.86348955,-10.35121844,10.35121844,14.51227111,433.1365105,458,heated_incline,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW5,TW,-49.89788476,49.89788476,-8.371969995,8.371969995,41.52591477,435.6921152,485.59,heated_incline,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW6,TW,-41.67345631,41.67345631,-6.406944164,6.406944164,35.26651215,438.4565437,480.13,heated_incline,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW7,TW,-24.14372934,24.14372934,-14.18859116,14.18859116,9.955138184,440.6962707,464.84,left_lower_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW8,TW,-23.69293939,23.69293939,-14.27661257,14.27661257,9.416326823,437.9770606,461.67,left_upper_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW9,TW,-27.93599159,27.93599159,0.9395367915,0.9395367915,26.9964548,434.5540084,462.49,cooled_incline_pre_hx,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP1,TP,-47.29638468,47.29638468,-19.17962826,19.17962826,28.11675642,434.0436153,481.34,top_horizontal_exit,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP2,TP,,,,,,nan,475.74,,not_compared_missing_m3_or_candidate,not_compared
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP3,TP,-31.89979745,31.89979745,-8.399781171,8.399781171,23.50001628,444.0502026,475.95,left_lower_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP4,TP,-35.26624549,35.26624549,-10.40590913,10.40590913,24.86033636,443.6237545,478.89,left_lower_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP5,TP,-34.91076753,34.91076753,-11.54172848,11.54172848,23.36903905,444.4092325,479.32,test_section,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TP6,TP,-44.26988217,44.26988217,-13.12994696,13.12994696,31.13993521,437.0901178,481.36,left_upper_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW1,TW,-36.82461545,36.82461545,-38.91430014,38.91430014,-2.089684691,432.9453846,469.77,right_vertical,compared,pass
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW10,TW,172.8208432,172.8208432,,,,582.7508432,409.93,cooled_incline_hx_active,not_compared_missing_m3_or_candidate,not_compared
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW11,TW,-42.62195938,42.62195938,-11.6845683,11.6845683,30.93739108,433.5180406,476.14,cooled_incline_post_hx,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW2,TW,-38.61507687,38.61507687,-34.70669727,34.70669727,3.908379605,432.5349231,471.15,right_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW3,TW,-38.09509468,38.09509468,-11.11150205,11.11150205,26.98359263,432.3249053,470.42,right_vertical,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW4,TW,-40.07502199,40.07502199,-8.331055108,8.331055108,31.74396688,434.784978,474.86,heated_incline,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW5,TW,-66.23205135,66.23205135,-6.164728117,6.164728117,60.06732323,437.4879487,503.72,heated_incline,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW6,TW,-56.36188106,56.36188106,-3.870175098,3.870175098,52.49170596,440.3981189,496.76,heated_incline,compared,fail
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,TW7,TW,-38.46078678,38.46078678,-13.74638057,13.74638057,24.71440621,442.7992132,481.26,left_lower_vertical,compared,fail
