guardrail,mutated_or_performed
native_solver_outputs_mutated,false
registry_or_admission_mutated,false
scheduler_action,false
solver_or_sampler_or_uq_launched,false
fluid_or_external_repo_edited,false
thesis_body_or_latex_edited,false
validation_scoring,false
holdout_test_scoring,false
external_test_scoring,false
fitting_or_model_selection,false
source_property_release,false
qwall_release,false
numeric_q_loss_release,false
coefficient_admission,false
candidate_freeze,false
final_score_claim,false
runtime_leakage_relaxation,false
residual_absorbed_into_internal_nu,false
