source_id,package_dir,feature_csv,available_time_count,time_s_first_available,time_s_last_available
val_salt_test_2_coarse_mesh_laminar,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_salt_test_2_coarse_mesh_laminar_window20,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_salt_test_2_coarse_mesh_laminar_window20/feature_minor_loss_timeseries.csv,5,8598.0,8602.0
val_water_test_1_coarse_mesh_laminar,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_water_test_1_coarse_mesh_laminar_window20,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_water_test_1_coarse_mesh_laminar_window20/feature_minor_loss_timeseries.csv,5,5270.0,5274.0
val_water_test_2_coarse_mesh_laminar,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_water_test_2_coarse_mesh_laminar_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_water_test_2_coarse_mesh_laminar_window12/feature_minor_loss_timeseries.csv,5,3976.0,3980.0
val_water_test_3_coarse_mesh_laminar,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_water_test_3_coarse_mesh_laminar_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_water_test_3_coarse_mesh_laminar_window12/feature_minor_loss_timeseries.csv,5,3724.0,3728.0
val_water_test_4_coarse_mesh_laminar,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_water_test_4_coarse_mesh_laminar_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/val_water_test_4_coarse_mesh_laminar_window12/feature_minor_loss_timeseries.csv,5,2538.0,2542.0
viscosity_screening_salt_test_1_jin_coarse_mesh,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_1_jin_coarse_mesh_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_1_jin_coarse_mesh_window12/feature_minor_loss_timeseries.csv,4,3226.0,3229.0
viscosity_screening_salt_test_1_kirst_coarse_mesh,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_1_kirst_coarse_mesh_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_1_kirst_coarse_mesh_window12/feature_minor_loss_timeseries.csv,4,3276.0,3279.0
viscosity_screening_salt_test_2_jin_coarse_mesh,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_2_jin_coarse_mesh_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_2_jin_coarse_mesh_window12/feature_minor_loss_timeseries.csv,4,2428.0,2431.0
viscosity_screening_salt_test_2_kirst_coarse_mesh,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_2_kirst_coarse_mesh_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_2_kirst_coarse_mesh_window12/feature_minor_loss_timeseries.csv,4,583.0,586.0
viscosity_screening_salt_test_3_jin_coarse_mesh,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_3_jin_coarse_mesh_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_3_jin_coarse_mesh_window12/feature_minor_loss_timeseries.csv,4,2511.0,2514.0
viscosity_screening_salt_test_3_kirst_coarse_mesh,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_3_kirst_coarse_mesh_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_3_kirst_coarse_mesh_window12/feature_minor_loss_timeseries.csv,4,3294.0,3297.0
viscosity_screening_salt_test_4_jin_coarse_mesh,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_4_jin_coarse_mesh_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_4_jin_coarse_mesh_window12/feature_minor_loss_timeseries.csv,4,2079.0,2082.0
viscosity_screening_salt_test_4_kirst_coarse_mesh,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_4_kirst_coarse_mesh_window12,tmp/2026-06-18_overnight_analysis_queue/case_analysis/viscosity_screening_salt_test_4_kirst_coarse_mesh_window12/feature_minor_loss_timeseries.csv,4,2980.0,2983.0
