source_path,use,mutation_status
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/case_partition_contract.csv,Read-only S6 blocked scorecard shell evidence.,read_only
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/prediction_join_shell.csv,Read-only S6 blocked scorecard shell evidence.,read_only
work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s5_source_property_split_release/source_property_release_ledger.csv,Read-only S6 blocked scorecard shell evidence.,read_only
work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s5_source_property_split_release/summary.json,Read-only S6 blocked scorecard shell evidence.,read_only
work_products/2026-07/2026-07-21/2026-07-21_predictive_final_model_starter/summary.json,Read-only S6 blocked scorecard shell evidence.,read_only
work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/negative_freeze_decision.csv,Read-only S6 blocked scorecard shell evidence.,read_only
work_products/2026-07/2026-07-21/2026-07-21_1d_radiation_capability/summary.json,Read-only S6 blocked scorecard shell evidence.,read_only
work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s4_recirculation_guard_upcomer_hybrid/summary.json,Read-only S6 blocked scorecard shell evidence.,read_only
work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/README.md,Read-only S6 blocked scorecard shell evidence.,read_only
work_products/2026-07/2026-07-21/2026-07-21_litrev_latest_cfd_schema_promotion/summary.json,Read-only S6 blocked scorecard shell evidence.,read_only
