source_id,case_label,span_name,pressure_loss_hydro_pa,apparent_darcy_f_local,direct_to_shear_darcy_ratio,fit_reason
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,left_lower_leg,-162.54113200780358,-65.97176295382752,1.0032153803147081,buoyancy_aided_or_net_gain_section
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,left_upper_leg,-149.04855834254977,-52.34443517387219,1.9031459390018,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_lower_leg,-164.61348257069312,-99.61197186304024,0.9533269343257982,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_upper_leg,-149.6933761822679,-78.36128430939455,1.4066163393258435,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,left_lower_leg,-164.13676265545155,-105.4513955848906,0.8219968806066594,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,left_upper_leg,-148.2790421140253,-82.39732946682051,1.445933705587326,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,left_lower_leg,-162.8831320898082,-71.6732267827607,0.9764199749632287,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,left_upper_leg,-149.48095288548166,-56.91334909214835,1.799292326703729,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,left_lower_leg,-162.7722754227484,-82.8206137045605,0.8683487058851612,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,left_upper_leg,-149.63693940370558,-65.87740515442766,1.862577166704606,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,left_lower_leg,-160.49230384152224,-54.628242462688995,0.9599795424403502,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,left_upper_leg,-148.49531706483435,-43.74695872301236,2.0158686477186323,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,left_lower_leg,-162.16102087633976,-63.029341606743024,0.9064287245200838,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,left_upper_leg,-148.76841516932654,-50.03047177950023,2.0343976754886466,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,left_lower_leg,-156.57874920334075,-40.871782507868396,0.9634236688919005,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,left_upper_leg,-147.57600236517737,-33.358714818790965,2.3849188279197038,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,left_lower_leg,-159.43601104235609,-47.649233088245744,0.8661607643161373,buoyancy_aided_or_net_gain_section
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,left_upper_leg,-147.5764692620246,-38.172600237066675,2.304389265281474,buoyancy_aided_or_net_gain_section
