finding_id,topic,litrev_source_paths,observed_litrev_rule,meaning_for_pressure_increase_around_corners,required_fields_or_evidence,current_ethan_implication,next_agent_action
PC-01,static_pressure_recovery_is_not_loss,"chapters/06_minor_losses_quartz_transition.tex; chapters/14_final_integration_cfd_postprocessing.tex","static pressure change must be separated from hydrostatic head and kinetic pressure change before assigning irreversible loss","a local static pressure rise can be pressure recovery or basis effect rather than negative dissipation","p_static_up; p_static_down; dp_hydrostatic; dp_kinetic; pressure average basis; velocity basis","do not interpret current negative or rising corner pressure signals as admitted negative K","build basis audit table before any coefficient scoring"
PC-02,straight_loss_subtraction_required,"appendices/N_cfd_postprocessing_equations.tex; chapters/06_minor_losses_quartz_transition.tex","fitting or cluster loss is additional loss after straight-pipe/developing reference correction","pressure may increase over a short component while the broader section still dissipates after corrections","dp_straight_pipe_correction; reset/development state; tap/plane distance; L/D; f reference convention","current corner rows remain diagnostic if straight reference is uncertain or makes K negative","separate straight/developing reference alternatives and record why each is admissible or diagnostic"
PC-03,component_vs_cluster_naming,"chapters/06_minor_losses_quartz_transition.tex; chapters/14_final_integration_cfd_postprocessing.tex","if planes cannot isolate recovery and local disturbance, report section or cluster K, not universal component K","corner pressure behavior may belong to a close-coupled cluster or recovery region","included fittings; fitting_cluster_id; downstream_recovery_length_D; component_isolation_flag","two-tap corner_lower_right remains apparent/cluster-only until recovery and isolation pass","publish component-isolation audit for each target corner"
PC-04,negative_source_defined_junction_coefficients,"chapters/06_minor_losses_quartz_transition.tex","NIST reports negative tee coefficients in Miller/Idelchik under some source definitions; energy balance must remain consistent","negative K can be a branch/reference-pressure convention, not energy generation","source definition; pressure basis; velocity basis; flow split; topology; total section balance","do not clip negative coefficients blindly, but do not admit them without source-matched basis","add negative_K_allowed_if_source_defined flag and explanation field"
PC-05,reduced_static_vs_dynamic_K,"chapters/06_minor_losses_quartz_transition.tex","Patino-Jaramillo tee Kprime uses reduced static pressure, not necessarily dynamic total-pressure loss K","a pressure rise may be compatible with reduced-static path coefficient definitions","Kprime_reduced_static; K_dynamic_or_total; pressure_basis; hydro_corrected_static flag","planar tee sources are source-bounded only for TAMU; do not mix Kprime with dynamic K rows","carry both pressure-basis fields in future minor-loss ledgers"
PC-06,velocity_basis_changes_numeric_K,"chapters/06_minor_losses_quartz_transition.tex; data/schemas/minor_loss_table_schema.csv","upstream, downstream, smaller-area, branch, main, and source-defined velocity bases are distinct","dynamic-head normalization can change sign/magnitude interpretation near corners or area changes","u_ref; rho_ref; velocity_basis; area ratio; branch/main basis; U_ref near-zero flag","current endpoint rows with recirculation and uncertain basis cannot support ordinary component K","finalize basis policy before fitting or comparing K values"
PC-07,recirculation_invalidates_one_stream_component_K,"chapters/14_final_integration_cfd_postprocessing.tex; appendices/S_equation_threshold_admission_registry.tex","reverse area/mass are diagnostics; universal thresholds are not admitted; one-stream closure fails only after calibrated tolerance or residual tests","pressure increase around a recirculating corner may be local exchange/recovery rather than a scalar loss","reverse_area_fraction; reverse_mass_fraction; secondary_flow_intensity; stratification; recovery errors; calibration status","current Salt2/3/4 corner_lower_right endpoint rows with high reverse metrics stay diagnostic","define recirculation gate and threshold calibration task before admission"
PC-08,section_residual_not_global_multiplier,"chapters/06_minor_losses_quartz_transition.tex; chapters/14_final_integration_cfd_postprocessing.tex","localize pressure residual by branch and fitting cluster; do not multiply all distributed friction to force closure","a corner pressure anomaly should become unresolved_minor_loss or cluster_residual before global F6 change","pressure_residual_assignment; branch_id; fitting_cluster_id; modeled terms; residual norm","F6 fitting remains blocked by pressure basis and recirculation evidence","keep F6 and component-K rows separated in future scorecards"
PC-09,geometry_source_envelope_required,"chapters/06_minor_losses_quartz_transition.tex; UNRESOLVED_CLAIMS.md","exact fitting geometry, bend radius, tee topology, reducer/expander dimensions, and cluster boundaries are critical unresolved claims","without geometry, pressure increase cannot be mapped to source-specific bend/tee/reducer model","part number; geometry class; bend radius; area ratio; junction angle; cluster boundaries","no current geometry-matched component K admission should be inferred from LitRev","build fitting inventory and source-envelope table"
PC-10,same_QOI_uncertainty_required_for_admission,"UNRESOLVED_CLAIMS.md; chapters/14_final_integration_cfd_postprocessing.tex","closure validation needs pressure, mass-flow, wall-temperature, bulk-temperature, PIV/CFD data with declared tolerances","pressure rise around a corner cannot become accepted coefficient without uncertainty and held-out validation","same-QOI mesh/time UQ; plane sweep; pressure basis uncertainty; validation split","existing two-tap same-QOI UQ blockers remain open","define same-QOI UQ acceptance before admission review"
