contract_id,quantity_or_table,required_columns_or_fields,definition_or_rule,source_paths,required_for,admission_implication
CFD-01,pressure_plane_metadata,"case_id; section_id; plane_a_location; plane_b_location; unit_normal; pressure_average_basis; time_basis","every pressure extraction must name the actual planes and averaging convention","chapters/14_final_integration_cfd_postprocessing.tex","all pressure/corner reductions","missing metadata makes rows diagnostic only"
CFD-02,gross_static_pressure,"p_static_in_Pa; p_static_out_Pa; dp_static_gross_Pa","dp_static_gross = p_static_in - p_static_out; sign convention follows flow direction","data/schemas/pressure_budget_ledger_schema.csv","pressure ledger","gross static change alone is not an irreversible loss"
CFD-03,hydrostatic_correction,"z_start_m; z_end_m; rho path or rho_ref; dp_hydrostatic_Pa","dp_hydrostatic = integral rho g dz/ds ds; density basis recorded","chapters/14_final_integration_cfd_postprocessing.tex; data/schemas/pressure_budget_ledger_schema.csv","natural-circulation pressure reduction","missing hydrostatic correction blocks component K"
CFD-04,kinetic_correction,"u_in_m_s; u_out_m_s; rho_in_kg_m3; rho_out_kg_m3; dp_kinetic_Pa","dp_kinetic = 0.5*(rho_out u_out^2 - rho_in u_in^2)","chapters/06_minor_losses_quartz_transition.tex; chapters/14_final_integration_cfd_postprocessing.tex","area changes, expansions, reducers, corners","missing kinetic correction blocks pressure-recovery interpretation"
CFD-05,straight_developing_reference,"L_segment_m; D_h_m; x_from_hydraulic_reset_m; fD_FD_ref; fD_dev_active; dp_straight_pipe_correction_Pa","subtract or intentionally retain straight/developing loss before naming component, cluster, or section K","appendices/N_cfd_postprocessing_equations.tex; data/schemas/minor_loss_table_schema.csv","minor-loss extraction","unseparated straight loss forces section/cluster naming"
CFD-06,section_loss,"dp_loss_measured_Pa; K_measured; fD_DeltaP_section; coefficient_type","dp_loss = dp_static - dp_hydrostatic - dp_kinetic - dp_straight; normalize only with stated rho/u basis","appendices/N_cfd_postprocessing_equations.tex","CFD-informed pressure closures","valid only for named section and source envelope"
CFD-07,velocity_basis,"rho_ref_kg_m3; u_ref_m_s; velocity_basis; U_ref_near_zero_flag","K values are not comparable unless velocity basis is explicit; near-zero U makes K ill-conditioned","chapters/06_minor_losses_quartz_transition.tex","corner, tee, junction, reducer rows","ambiguous velocity basis blocks admission"
CFD-08,component_cluster_classification,"included_fittings; fitting_id; fitting_cluster_id; component_isolation_flag; cluster_loss_flag; recovery_length_D","name coefficient as component_K only if component isolation and recovery are demonstrated","chapters/14_final_integration_cfd_postprocessing.tex","pressure/corner extraction","failed isolation means K_section or K_cluster only"
CFD-09,reverse_area_fraction,"reverse_area_fraction; plane_area; normal_velocity_field; time_basis","F_A = area with u_n<0 divided by total area","appendices/S_equation_threshold_admission_registry.tex","recirculation gate","nonzero F_A is diagnostic; threshold not universal"
CFD-10,reverse_mass_fraction,"reverse_mass_fraction; massflow_abs; massflow_reverse; massflow_signed","F_m = reverse absolute mass divided by absolute mass; signed mdot is separate","appendices/S_equation_threshold_admission_registry.tex","recirculation gate and signed-flow split","high reverse mass blocks ordinary one-stream K/F6 admission"
CFD-11,secondary_flow_intensity,"secondary_flow_intensity; transverse_velocity_components; normal_velocity_basis","secondary-flow strength relative to normal kinetic measure","chapters/14_final_integration_cfd_postprocessing.tex","bends, corners, mixed convection","large unresolved secondary flow supports invalid-single-stream flag"
CFD-12,recovery_diagnostics,"velocity_recovery_error; pressure_gradient_recovery_error; downstream_recovery_length_D; reference_profile_source","component K rejected when recovery is not demonstrated or intentionally included in cluster","appendices/S_equation_threshold_admission_registry.tex","component isolation and plane placement","missing recovery diagnostics force section/cluster labels"
CFD-13,enthalpy_bulk_temperature,"T_bulk; rho; u_n; cp; T field; averaging_basis","T_b = integral rho u_n cp T dA / integral rho u_n cp dA unless constant-cp simplification recorded","appendices/N_cfd_postprocessing_equations.tex; chapters/14_final_integration_cfd_postprocessing.tex","CFD heat-transfer and 1D sensor maps","unrecorded T_b basis blocks Nu/h comparisons"
CFD-14,wall_heat_transfer,"wall_area; wall_heat_flux; wall_temperature; q_wall_total; h_internal; Nu_internal","h = qbar/(T_wall - T_bulk); Nu = h D_h/k; wall and bulk averages stated","appendices/N_cfd_postprocessing_equations.tex","internal HTC extraction","section-effective if stratification or recirculation is large"
CFD-15,heat_loss_network_terms,"Q_heater_to_salt; Q_jacket; Q_passive; Q_storage; Q_residual; internal/wall/external/radiation labels","energy ledger keeps jacket, passive, storage, radiation, wall, and residual separate","chapters/14_final_integration_cfd_postprocessing.tex","thermal boundary and predictive 1D","do not absorb heat residual into internal Nu"
CFD-16,source_envelope_labels,"source_status; source_use_category; source_key; validity_Re_min/max; geometry_match; boundary_condition_match","each closure-like row carries source status and failure criterion","appendices/S_equation_threshold_admission_registry.tex; data/schemas/all_hitec_schema_rows.csv","all model-form candidates","blank labels block fit/admission"
CFD-17,same_QOI_uncertainty,"mesh_level; time_window; plane_sweep; same_qoi_uncertainty_status; GCI_or_time_UQ_metric","admission needs same quantity, same basis, and uncertainty status","UNRESOLVED_CLAIMS.md","component K, F6, HTC admission","missing same-QOI UQ keeps row diagnostic"
CFD-18,coefficient_naming,"coefficient_type; source_status; pressure_residual_assignment; invalid_single_stream_flag","allowed names include straight_section, fitting, cluster, branch_apparent, section_effective, unresolved","chapters/14_final_integration_cfd_postprocessing.tex","publication and model input contracts","universal K/fD/Nu names rejected for section-effective or diagnostic rows"
