source_key,author_title_or_source,litrev_paths,source_use_category,fluid_geometry_regime,key_model_or_equation,required_ranges_or_metadata,tamu_overlap,implementation_use,failure_criterion
NIST_TN2206,"Lin/NIST fitting-loss measurement methods and state-of-the-art review","chapters/06_minor_losses_quartz_transition.tex; appendices/N_cfd_postprocessing_equations.tex; chapters/14_final_integration_cfd_postprocessing.tex","method source","single-phase fittings; pressure taps; geometry-dependent fitting data","separate static pressure, kinetic pressure, straight-pipe friction, velocity basis, and recovery before reporting K","tap/plane locations; pressure basis; velocity basis; geometry; Re; recovery status","directly relevant as extraction method, not as TAMU coefficient source","basis for section_K, cluster_K, component_K naming and pressure-corner audits","reject universal component K if component isolation or recovery is not demonstrated"
CsizmadiaHos2014,"Csizmadia and Hos corrected element pressure-drop decomposition","appendices/N_cfd_postprocessing_equations.tex; chapters/14_final_integration_cfd_postprocessing.tex","method source","CFD/experimental element with upstream/downstream pipes","delta_p = delta_p_all - delta_p_in - delta_p_out; zeta normalized by inlet dynamic pressure","attached-pipe corrections; inlet velocity basis; element domain","directly relevant to CFD section extraction","supports subtracting upstream/downstream straight losses before cluster or component coefficient","reject component K if upstream/downstream disturbances are intentionally retained"
PatinoJaramillo2022Coeff,"Patino-Jaramillo, Iglesias, Vera low-Re planar tee pressure-loss coefficients","chapters/06_minor_losses_quartz_transition.tex; appendices/S_equation_threshold_admission_registry.tex","source-bounded reference/sensitivity","steady laminar planar 90-degree tee/sharp elbow; constant-property; reduced-static pressure","Kprime(mdot_split, Re3, alpha) with reduced hydrostatic pressure basis","tee approx 20<=Re3<=200, 1<=alpha<=3, 0<=mdot1<=1; planar geometry; source-defined velocity basis","physics relevant to low-Re junction dependence, not geometry-matched to circular TAMU corners","candidate source-bounded split/path coefficient shape and recirculation-map precedent","reject as universal circular-pipe dynamic K or as admitted TAMU coefficient without geometry/basis conversion"
PatinoJaramillo2022Flow,"Patino-Jaramillo, Iglesias, Vera planar tee flow fields and recirculation maps","chapters/06_minor_losses_quartz_transition.tex; appendices/S_equation_threshold_admission_registry.tex","source-bounded diagnostic/method source","steady laminar planar tee flow fields","recirculation zone count/location as functions of Re3, alpha, and mass split","0<Re3<=200 flow-map simulations; planar geometry; split ratio required","relevant to flags and topology, not direct threshold source","supports recirculation_zone_count, recirculation_zone_location, tee_flow_mode, invalid_single_stream_flag","reject universal recirculation threshold or one-stream tee closure when TAMU fields show persistent exchange"
AlTameemiRicco2018,"Al-Tameemi and Ricco 90-degree sharp miter elbow K(Re)","chapters/06_minor_losses_quartz_transition.tex; data/schemas/minor_loss_table_schema.csv","source-bounded screening/reference","90-degree sharp miter elbow; Re-dependent loss","K = 427.5 Re^-0.77 + 0.9 for source geometry","500<Re<60000; miter geometry and velocity basis required","useful to prevent Re-independent bend-K assumptions; likely not TAMU geometry matched","screening/sensitivity only unless TAMU bend is comparable","reject direct use for smooth bends, circular elbows, clusters, recirculating corners, or unmatched Re"
SalehiIdemSleiti2017,"Salehi, Idem, Sleiti close-coupled elbow cluster loss","chapters/06_minor_losses_quartz_transition.tex","source-bounded method/sensitivity","air HVAC duct; close-coupled elbows; turbulent engineering context","cluster loss depends on separation/configuration; subtract straight-duct tare friction","configuration, separation distance, duct geometry, and tare-friction basis required","methodologically relevant to TAMU close-coupled corners/clusters","supports cluster_K when disturbances and recovery regions overlap","reject importing numerical coefficients to HITEC or treating close-coupled losses as independent"
ShahLondon1971_Shah1978,"Shah and London; Shah hydrodynamic entry correlation","chapters/14_final_integration_cfd_postprocessing.tex; data/schemas/pressure_budget_ledger_schema.csv","reference/method source","laminar duct friction and entry-region framework","fully developed f_D=64/Re reference; apparent developing friction framework","Fanning/Darcy convention; L+ or reset distance; geometry and development state","directly relevant as reference and development-state discipline","use f_D_FD_ref only as reference; use reset/development metadata before active friction","reject active fully developed friction if reset/development or buoyancy distortion is untested"
MuzychkaYovanovich2004_2009,"Muzychka and Yovanovich combined-entry heat transfer and developing friction","appendices/V_final_model_form_candidates.tex; chapters/14_final_integration_cfd_postprocessing.tex; data/schemas/pressure_budget_ledger_schema.csv","source-bounded candidate/method source","forced developing duct flow; characteristic length/source boundary conditions","Nu_forced_dev and fRe(L+) candidate forms","boundary condition, characteristic length, reset distance, and source envelope required","relevant to developing/redeveloping straight-section model forms","candidate single-stream developing branch terms after gates pass","reject if buoyancy, recirculation, or source envelope invalidates forced single-stream assumptions"
EvertsMeyer2020_EvertsMahdavi2023,"Everts and Meyer/Mahdavi developing and mixed-convection entrance studies","chapters/05_developing_heat_transfer.tex; chapters/14_final_integration_cfd_postprocessing.tex","diagnostic/method source","water horizontal/vertical developing mixed convection; smooth tubes","entrance length, Ri/Gz screening, secondary-flow and mixed-convection cautions","source ranges, orientation, thermal BC, Re/Pr/Gr/Ri/Gz required","relevant as branch-development and gate discipline, not HITEC constants","supports mixed-convection gate fields and branch orientation policy","reject using long L/D alone as proof of fully developed Nu or f"
VDIHeatAtlas2010,"VDI Heat Atlas resistance-network and pressure-drop framework","chapters/14_final_integration_cfd_postprocessing.tex; data/schemas/heat_loss_resistance_ledger_schema.csv","method/source-bounded reference","heat transfer, external convection, radiation, pressure-drop framework","separate internal convection, wall conduction, external convection, radiation, jacket, residual","geometry, material, emissivity, ambient/coolant state, source pages required","relevant to heat-loss ledger and external-boundary model forms","supports resistance-network heat-loss model and sensitivity lanes","reject hiding heat residual in internal Nu or using unmeasured radiation as fixed closure"
