source_path,line,term,context,classification,reason
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,182,ri_table,#                      Requires ri_table to supply Ri per resolved_parent_name.,known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,193,ri_table,"ri_table: Dict[str, float] = field(default_factory=dict)",known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,205,external_boundary_role_rows,"external_boundary_role_rows: List[Dict[str, object]] = field(default_factory=list)",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,206,heater_source_mode,"heater_source_mode: str = ""baseline""  # baseline, tw4_to_tp3_three_span",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,687,upcomer,"""left_lower_vertical"": ""upcomer"",",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,688,upcomer,"""test_section"": ""upcomer"",",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,689,upcomer,"""left_upper_vertical"": ""upcomer"",",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,694,upcomer,# Flow direction: upcomer → top_horizontal_inlet → cooled_incline,upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,697,upcomer,#                → bottom_horizontal_exit → left_lower_vertical (upcomer),upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,700,upcomer,"""top_horizontal_inlet"":    ""cooler"",     # upcomer → (stub) → cooled_incline_pre_hx",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,703,upcomer,"""bottom_horizontal_exit"":  ""upcomer"",    # heated_incline → (stub) → left_lower_vertical (TP3)",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,716,ri_table,scenario : optional ScenarioConfig; required for F5_ri_corrected to look up ri_table,known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,732,ri_table,"ri_table = getattr(scenario, ""ri_table"", {}) or {}",known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,733,ri_table,"ri = float(ri_table.get(parent_name, 0.0))",known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,1121,heater_source_mode,"if scenario is None or scenario.heater_source_mode == ""baseline"":",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,1123,heater_source_mode,"if scenario.heater_source_mode != ""tw4_to_tp3_three_span"":",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,1125,heater_source_mode,"f""Unsupported heater_source_mode {scenario.heater_source_mode!r}; expected 'baseline' or 'tw4_to_tp3_three_span'.""",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,1160,heater_source_mode,"if scenario is None or scenario.heater_source_mode == ""baseline"" or segment.resolved_parent_name != ""heated_incline"":",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,1163,heater_source_mode,"if scenario.heater_source_mode == ""tw4_to_tp3_three_span"":",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,1177,heater_source_mode,"f""Unsupported heater_source_mode {scenario.heater_source_mode!r}; expected 'baseline' or 'tw4_to_tp3_three_span'.""",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,1344,external_boundary_role_rows,"scenario.external_boundary_role_rows,",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,2444,heater_source_mode,"if scenario.heater_source_mode not in {""baseline"", ""tw4_to_tp3_three_span""}:",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,2446,heater_source_mode,"f""Scenario {scenario.name!r} uses unsupported heater_source_mode """,known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,2447,heater_source_mode,"f""{scenario.heater_source_mode!r}.""",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py,268,ri_table,"ri_table=_float_mapping(""ri_table""),",known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py,280,external_boundary_role_rows,"external_boundary_role_rows=_role_rows(""external_boundary_role_rows""),",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py,281,heater_source_mode,"heater_source_mode=str(record.get(""heater_source_mode"", ""baseline"")),",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py,604,ri_table,"""ri_table"": dict(scenario.ri_table),",known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py,616,external_boundary_role_rows,"""external_boundary_role_rows"": [dict(row) for row in scenario.external_boundary_role_rows],",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py,617,heater_source_mode,"""heater_source_mode"": scenario.heater_source_mode,",known_non_hook,heater source redistribution only
