case_key,run_key,q_ratio,canonical_split_role,segment_bucket,qoi,review_admission_class,thermal_fit_allowed,score_allowed,source_sign_status,segment_heat_loss_status,runtime_wallHeatFlux_allowed,guardrail,source_path
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,heater,heater_input_setup_Q,admitted_setup_source_sink_schema,yes,yes,positive_to_fluid_negative_removed_from_fluid,not_reduced_in_this_package,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,cooler_HX,cooler_HX_setup_removal_Q,admitted_setup_source_sink_schema,yes,yes,positive_to_fluid_negative_removed_from_fluid,not_reduced_in_this_package,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,passive_wall,passive_wall_setup_boundary_metadata,diagnostic_setup_metadata_realized_heat_not_reduced,yes,yes,positive_to_fluid_negative_removed_from_fluid,not_reduced_in_this_package,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,test_section,test_section_setup_power_and_loss_candidate,admitted_setup_source_sink_schema,yes,yes,positive_to_fluid_negative_removed_from_fluid,not_reduced_in_this_package,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,junction,junction_setup_boundary_metadata,diagnostic_setup_metadata_realized_heat_not_reduced,yes,yes,positive_to_fluid_negative_removed_from_fluid,not_reduced_in_this_package,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,total_setup_check,case_setup_source_sink_check,check_only,no,diagnostic,positive_to_fluid_negative_removed_from_fluid,not_a_realized_heat_balance,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,heater,heater_input_setup_Q,admitted_setup_source_sink_schema,yes,yes,positive_to_fluid_negative_removed_from_fluid,not_reduced_in_this_package,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,cooler_HX,cooler_HX_setup_removal_Q,admitted_setup_source_sink_schema,yes,yes,positive_to_fluid_negative_removed_from_fluid,not_reduced_in_this_package,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,passive_wall,passive_wall_setup_boundary_metadata,diagnostic_setup_metadata_realized_heat_not_reduced,yes,yes,positive_to_fluid_negative_removed_from_fluid,not_reduced_in_this_package,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,test_section,test_section_setup_power_and_loss_candidate,admitted_setup_source_sink_schema,yes,yes,positive_to_fluid_negative_removed_from_fluid,not_reduced_in_this_package,false,do_not_fit_internal_Nu_or_wall_model_to_absorb_unreduced_realized_heat,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
