case_key,run_key,q_ratio,canonical_split_role,thermal_role,schema_bucket,patch_count,total_setup_Q_W,bc_types,material_contract_status,radiation_policy,runtime_use,realized_wallHeatFlux_runtime_allowed,source_path
salt1_hi10q,salt1_jin_hi10q_corrected,1.10,training_support,cooler_HX_removal,cooler_HX,1,-113.478369488,externalTemperature,no_material_metadata_required_or_available,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_hi10q,salt1_jin_hi10q_corrected,1.10,training_support,cooler_or_reducer_removal,cooler_HX,2,-35.6851261432,externalTemperature,no_material_metadata_required_or_available,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_hi10q,salt1_jin_hi10q_corrected,1.10,training_support,heater_source,heater,3,255.53,rcExternalTemperature,setup_material_and_external_boundary_available,rcExternalTemperature emissivity/Tsur is setup metadata; realized wallHeatFlux includes radiation and must not be double-counted,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_hi10q,salt1_jin_hi10q_corrected,1.10,training_support,heater_source_test_section,test_section,1,37,rcExternalTemperature,setup_material_and_external_boundary_available,rcExternalTemperature emissivity/Tsur is setup metadata; realized wallHeatFlux includes radiation and must not be double-counted,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_hi10q,salt1_jin_hi10q_corrected,1.10,training_support,passive_wall_externalTemperature,passive_wall,7,0,externalTemperature,setup_material_partial,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_hi10q,salt1_jin_hi10q_corrected,1.10,training_support,passive_wall_rcExternalTemperature,passive_wall,32,0,rcExternalTemperature,setup_material_and_external_boundary_available,rcExternalTemperature emissivity/Tsur is setup metadata; realized wallHeatFlux includes radiation and must not be double-counted,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_hi10q,salt1_jin_hi10q_corrected,1.10,training_support,thermal_constraint_or_coupled_wall,passive_wall,23,0,zeroGradient,no_material_metadata_required_or_available,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,cooler_HX_removal,cooler_HX,1,-92.8459386719,externalTemperature,no_material_metadata_required_or_available,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,cooler_or_reducer_removal,cooler_HX,2,-29.19692139,externalTemperature,no_material_metadata_required_or_available,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,heater_source,heater,3,209.07,rcExternalTemperature,setup_material_and_external_boundary_available,rcExternalTemperature emissivity/Tsur is setup metadata; realized wallHeatFlux includes radiation and must not be double-counted,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,heater_source_test_section,test_section,1,37,rcExternalTemperature,setup_material_and_external_boundary_available,rcExternalTemperature emissivity/Tsur is setup metadata; realized wallHeatFlux includes radiation and must not be double-counted,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,passive_wall_externalTemperature,passive_wall,7,0,externalTemperature,setup_material_partial,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,passive_wall_rcExternalTemperature,passive_wall,32,0,rcExternalTemperature,setup_material_and_external_boundary_available,rcExternalTemperature emissivity/Tsur is setup metadata; realized wallHeatFlux includes radiation and must not be double-counted,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,thermal_constraint_or_coupled_wall,passive_wall,23,0,zeroGradient,no_material_metadata_required_or_available,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,cooler_HX_removal,cooler_HX,1,-103.16215408,externalTemperature,no_material_metadata_required_or_available,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,cooler_or_reducer_removal,cooler_HX,2,-32.4410237666,externalTemperature,no_material_metadata_required_or_available,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,heater_source,heater,3,232.3,rcExternalTemperature,setup_material_and_external_boundary_available,rcExternalTemperature emissivity/Tsur is setup metadata; realized wallHeatFlux includes radiation and must not be double-counted,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,heater_source_test_section,test_section,1,37,rcExternalTemperature,setup_material_and_external_boundary_available,rcExternalTemperature emissivity/Tsur is setup metadata; realized wallHeatFlux includes radiation and must not be double-counted,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,passive_wall_externalTemperature,passive_wall,7,0,externalTemperature,setup_material_partial,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,passive_wall_rcExternalTemperature,passive_wall,32,0,rcExternalTemperature,setup_material_and_external_boundary_available,rcExternalTemperature emissivity/Tsur is setup metadata; realized wallHeatFlux includes radiation and must not be double-counted,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,thermal_constraint_or_coupled_wall,passive_wall,23,0,zeroGradient,no_material_metadata_required_or_available,no separate radiation runtime term from this role row,setup_metadata_allowed_only,false,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
