model_form_id,case_id,sensor_kind,rows,finite_rows,missing_prediction_rows,mean_signed_error_K,mean_signed_error_percent_of_target,rmse_K,mean_absolute_error_K,min_signed_error_K,max_signed_error_K,admission_status
M1,salt_2,TP,6,5,1,-74.1481351231,-16.4850696457,74.2455688255,74.1481351231,-80.9597398717,-69.8986711558,legacy_numeric_context_not_final_locked_split
M1,salt_2,TW,11,10,1,-75.8277183837,-16.8734719453,76.6445246355,75.8277183837,-98.6587336228,-60.0951880639,legacy_numeric_context_not_final_locked_split
M1,salt_3,TP,6,5,1,-190.68191417,-41.1920159819,190.750154638,190.68191417,-200.246305387,-185.657317204,legacy_numeric_context_not_final_locked_split
M1,salt_3,TW,11,10,1,-192.50952636,-41.7535086099,192.922076267,192.50952636,-218.026456689,-174.647927883,legacy_numeric_context_not_final_locked_split
M1,salt_4,TP,6,5,1,-204.130200375,-42.6348765461,204.432770056,204.130200375,-225.827318405,-196.022751284,legacy_numeric_context_not_final_locked_split
M1,salt_4,TW,11,10,1,-211.138089492,-44.3060371624,211.913525536,211.138089492,-244.913607944,-185.859460621,legacy_numeric_context_not_final_locked_split
M1b,salt_2,TP,6,5,1,-178.102101076,-39.5990126416,178.177334902,178.102101076,-187.783510202,-173.023671156,legacy_numeric_context_not_final_locked_split
M1b,salt_2,TW,11,10,1,-180.679974576,-40.2731963412,181.086334931,180.679974576,-205.190074199,-163.259271176,legacy_numeric_context_not_final_locked_split
M1b,salt_3,TP,6,5,1,70.5898422849,15.2518001435,70.7713724054,70.5898422849,61.0994703203,75.5926827962,legacy_numeric_context_not_final_locked_split
M1b,salt_3,TW,11,10,1,66.8290517331,14.5699927328,68.0042884171,66.8290517331,41.4641594976,84.7830027901,legacy_numeric_context_not_final_locked_split
M1b,salt_4,TP,6,5,1,-206.399336262,-43.1099963035,206.458182935,206.399336262,-215.754523068,-201.981619365,legacy_numeric_context_not_final_locked_split
M1b,salt_4,TW,11,10,1,-207.707681757,-43.5955336608,208.131111803,207.707681757,-234.429656079,-189.401331145,legacy_numeric_context_not_final_locked_split
M2,salt_2,TP,6,5,1,-20.5472341895,-4.56645858364,20.9977644603,20.5472341895,-28.1330585035,-15.3603653293,legacy_numeric_context_not_final_locked_split
M2,salt_2,TW,11,10,1,-23.1842871676,-5.12339770349,25.8373342637,23.1842871676,-46.3574304286,-7.35435873063,legacy_numeric_context_not_final_locked_split
M2,salt_3,TP,6,5,1,-23.2136972631,-5.01305265323,23.5973356863,23.2136972631,-30.6580637318,-18.0651773577,legacy_numeric_context_not_final_locked_split
M2,salt_3,TW,11,10,1,-25.1344762418,-5.40478394171,27.8147944027,25.1344762418,-49.3115909907,-8.81122921965,legacy_numeric_context_not_final_locked_split
M2,salt_4,TP,6,5,1,-27.2441619806,-5.68932528519,27.5357216333,27.2441619806,-34.4203961173,-22.7052887384,legacy_numeric_context_not_final_locked_split
M2,salt_4,TW,11,10,1,-28.6669600174,-5.96765969177,31.3059199003,28.6669600174,-54.0292033957,-11.8631263395,legacy_numeric_context_not_final_locked_split
M3,salt_2,TP,6,5,1,-15.0914226931,-3.35345168109,15.6490991249,15.0914226931,-22.3658478906,-10.1128330435,legacy_numeric_context_not_final_locked_split
M3,salt_2,TW,11,10,1,-17.6424155189,-3.88674555221,20.9549296417,17.6424155189,-40.6331594552,-1.88434068828,legacy_numeric_context_not_final_locked_split
M3,salt_3,TP,6,5,1,-13.4850396806,-2.91145219472,14.0600104586,13.4850396806,-20.5146002437,-8.6428797382,legacy_numeric_context_not_final_locked_split
M3,salt_3,TW,11,10,1,-15.3197968177,-3.27354014455,19.3315846149,15.507704176,-39.250746372,0.939536791512,legacy_numeric_context_not_final_locked_split
M3,salt_4,TP,6,5,1,-12.5313987993,-2.61634650496,13.0560668814,12.5313987993,-19.1796282577,-8.3997811711,legacy_numeric_context_not_final_locked_split
M3,salt_4,TW,11,10,1,-13.8673771213,-2.85756538676,18.6225154707,14.4422988222,-38.9143001412,2.87460850417,legacy_numeric_context_not_final_locked_split
