rank,model_form_to_try,reason,required_gates_before_claim,allowed_now,expected_thesis_use,admission_status
1,D4 source-bounded segment/source-placement successor,Already tried diagnostically; transfer RMSE 7.94040349151 K and 54.272279139% reduction vs M3 are the strongest current signal.,replace empirical segment offsets with source-bounded local heat-path/source-placement terms; source/property release; same-QOI UQ,diagnostic score and source-bounded design row only,strongest evidence that local source placement/passive heat ownership matters,diagnostic_not_admitted_source_bounded_candidate_ready_rows_0
2,D3 wall-shape / axial-mixing physical successor,Already tried diagnostically; transfer RMSE 8.38846755024 K and local-shape RMSE 7.93285020379 K show repeatable wall-shape structure.,physical wall/core exchange or axial-mixing source basis; no runtime wall-profile correction release; same-QOI UQ,diagnostic score and physical mechanism design row only,thermal-shape evidence for wall/core exchange or axial mixing,diagnostic_not_admitted_same_qoi_uq_not_executed
3,D2 TP/TW QOI projection or wall/fluid split successor,Already tried diagnostically; TP transfer RMSE improves to 4.38159298515 K while TW remains 12.5130610954 K.,source-bounded wall/core split or QOI projection uncertainty; no target-temperature runtime release,diagnostic score and QOI-split/UQ design row only,evidence that TP and TW residuals are different channels,diagnostic_no_correction_release
4,PASSIVE-H2-CAND001 source-backed exterior heat-loss operator,"Latest evidence recovered setup subspan support 15/15 and same-QOI setup UQ labels 6/6, but release rows remain 0.",Salt3/Salt4 diagnostic smoke closeout; row-specific source/property release; exact same-QOI runtime UQ; split-safe freeze audit,support/diagnostic scoring only,best source-backed thermal candidate lane,diagnostic_support_no_release_no_freeze
5,M0 setup-only baseline,"M0 was built as a shell, but numerical prediction rows are 0 and missing prediction rows are 79.",actual setup-only prediction equations; runtime-input audit; locked split shell,explicit missing-baseline table only until predictions exist,baseline figure/table for all later model forms,not_scored_predictions_missing
6,M5 / MF-04 throughflow-plus-recirculation exchange cell,"S13 has finite recirculation/exchange diagnostic evidence but release masks, Qwall/pressure, production harvest, and same-QOI UQ remain closed.",exact Qwall or source-side QOI decision; pressure basis; release-grade endpoint masks; same-QOI UQ; no source-side relabel as Q_wall,diagnostic figures and gate table only,upcomer recirculation model-form contribution,diagnostic_only_until_Qwall_UQ_harvest_release
7,MF-02 section-effective pressure residual / pressure-mdot coupling,The lower-right pressure result is a clean negative component-K case and useful section-effective pressure figure.,same-QOI UQ and nonrecirculating/low-reverse anchor before any coefficient admission,no-fit diagnostic transfer and signed residual figures,pressure model-form negative result,not_admitted
8,MF-01 ordinary gated single-stream branch on right_leg/test_section_span,"CAND001 endpoint readiness remains blocked: job state RUNNING, endpoint ready fields 0/15.",endpoint pressure/velocity fields; ordinary-flow RAF/RMF checks; same-QOI UQ; source-property release,monitor/readiness table only,future ordinary-pressure lane if gates pass,future_candidate_endpoint_blocked
9,HX_LUMPED_UA_NTU coupled cooler form,HX coupled evaluation completed 12 rows but review gate is `fail_diagnostic_large_coupled_errors_source_property_closed`.,source/property release and coupled error mechanism repair,negative diagnostic context only,cooler-removal candidate failure/triage,diagnostic_failed_large_errors_no_release
10,M6 final frozen candidate,"This is the endpoint, but S6 currently publishes zero final score values.",exactly one runtime-legal candidate from S13/S14/thermal residual gates plus S11/S15 source-property release,blocked shell only,final scorecard only after freeze,blocked_no_frozen_candidate
