figure_id,x_model_form,facet_case,facet_sensor_kind,y_sensor,signed_error_K,signed_error_percent_of_target,target_K,predicted_K,finite_prediction,hover_label,admission_status
signed_sensor_error_heatmap_or_bar,M1,salt_2,TP,TP3,-69.8986711558,-15.62981538,447.213671156,377.315,true,"salt_2 M1 TP3: error=-69.8986711558 K, pct=-15.62981538%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TP,TP4,-71.8797641731,-16.0019149612,449.194764173,377.315,true,"salt_2 M1 TP4: error=-71.8797641731 K, pct=-16.0019149612%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TP,TP5,-72.8505591923,-16.1830592556,450.165559192,377.315,true,"salt_2 M1 TP5: error=-72.8505591923 K, pct=-16.1830592556%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TP,TP6,-75.1519412224,-16.6434262906,451.541286692,376.38934547,true,"salt_2 M1 TP6: error=-75.1519412224 K, pct=-16.6434262906%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TP,TP1,-80.9597398717,-17.9671323411,450.599118072,369.6393782,true,"salt_2 M1 TP1: error=-80.9597398717 K, pct=-17.9671323411%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TP,TP2,,,445.205830202,,false,"salt_2 M1 TP2: error= K, pct=%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW1,-98.6587336228,-21.0945396062,467.697970491,369.039236868,true,"salt_2 M1 TW1: error=-98.6587336228 K, pct=-21.0945396062%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW2,-94.4232301643,-20.3844550035,463.211943356,368.788713192,true,"salt_2 M1 TW2: error=-94.4232301643 K, pct=-20.3844550035%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW3,-72.5049781736,-16.4361332498,441.131603593,368.626625419,true,"salt_2 M1 TW3: error=-72.5049781736 K, pct=-16.4361332498%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW4,-71.2412756242,-16.1261124497,441.775882728,370.534607104,true,"salt_2 M1 TW4: error=-71.2412756242 K, pct=-16.1261124497%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW5,-69.7302014598,-15.7643043082,442.329709555,372.599508095,true,"salt_2 M1 TW5: error=-69.7302014598 K, pct=-15.7643043082%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW6,-68.3704947695,-15.4289173165,443.132161297,374.761666528,true,"salt_2 M1 TW6: error=-68.3704947695 K, pct=-15.4289173165%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW7,-74.4491235122,-16.4973311666,451.279802536,376.830679024,true,"salt_2 M1 TW7: error=-74.4491235122 K, pct=-16.4973311666%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW8,-74.4728430419,-16.5185344289,450.844131255,376.371288213,true,"salt_2 M1 TW8: error=-74.4728430419 K, pct=-16.5185344289%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW9,-60.0951880639,-13.7808486289,436.077557212,375.982369148,true,"salt_2 M1 TW9: error=-60.0951880639 K, pct=-13.7808486289%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW10,,,433.297271034,,false,"salt_2 M1 TW10: error= K, pct=%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1,salt_2,TW,TW11,-74.3311154045,-16.7035432948,445.002081849,370.670966445,true,"salt_2 M1 TW11: error=-74.3311154045 K, pct=-16.7035432948%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TP,TP3,-173.023671156,-38.689262497,447.213671156,274.19,true,"salt_2 M1b TP3: error=-173.023671156 K, pct=-38.689262497%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TP,TP4,-175.004764173,-38.9596625186,449.194764173,274.19,true,"salt_2 M1b TP4: error=-175.004764173 K, pct=-38.9596625186%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TP,TP5,-175.975559192,-39.0912977678,450.165559192,274.19,true,"salt_2 M1b TP5: error=-175.975559192 K, pct=-39.0912977678%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TP,TP6,-178.723000656,-39.580655396,451.541286692,272.818286036,true,"salt_2 M1b TP6: error=-178.723000656 K, pct=-39.580655396%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TP,TP1,-187.783510202,-41.6741850285,450.599118072,262.81560787,true,"salt_2 M1b TP1: error=-187.783510202 K, pct=-41.6741850285%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TP,TP2,,,445.205830202,,false,"salt_2 M1b TP2: error= K, pct=%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW1,-205.190074199,-43.8723465025,467.697970491,262.507896292,true,"salt_2 M1b TW1: error=-205.190074199 K, pct=-43.8723465025%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW2,-201.01178013,-43.395206668,463.211943356,262.200163226,true,"salt_2 M1b TW2: error=-201.01178013 K, pct=-43.395206668%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW3,-179.239194919,-40.6316830304,441.131603593,261.892408673,true,"salt_2 M1b TW3: error=-179.239194919 K, pct=-40.6316830304%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW4,-177.038557611,-40.0742920862,441.775882728,264.737325117,true,"salt_2 M1b TW4: error=-177.038557611 K, pct=-40.0742920862%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW5,-174.439471801,-39.4365262004,442.329709555,267.890237753,true,"salt_2 M1b TW5: error=-174.439471801 K, pct=-39.4365262004%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW6,-172.088790755,-38.8346425255,443.132161297,271.043370542,true,"salt_2 M1b TW6: error=-172.088790755 K, pct=-38.8346425255%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW7,-177.089802536,-39.2416858767,451.279802536,274.19,true,"salt_2 M1b TW7: error=-177.089802536 K, pct=-39.2416858767%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW8,-177.339876497,-39.3350748524,450.844131255,273.504254758,true,"salt_2 M1b TW8: error=-177.339876497 K, pct=-39.3350748524%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW9,-163.259271176,-37.4381273413,436.077557212,272.818286036,true,"salt_2 M1b TW9: error=-163.259271176 K, pct=-37.4381273413%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW10,,,433.297271034,,false,"salt_2 M1b TW10: error= K, pct=%",legacy_numeric_context_not_final_locked_split
signed_sensor_error_heatmap_or_bar,M1b,salt_2,TW,TW11,-180.102926135,-40.4723783284,445.002081849,264.899155714,true,"salt_2 M1b TW11: error=-180.102926135 K, pct=-40.4723783284%",legacy_numeric_context_not_final_locked_split
