scoreboard_id,source_family,model_form_name,thesis_role,physics_added_or_tested,runtime_inputs_allowed,forbidden_inputs,best_numeric_evidence_available,mdot_error_pct,tp_rmse_or_error_K,tw_rmse_or_error_K,all_probe_rmse_or_error_K,pressure_or_hydraulic_status,thermal_status,admission_status,score_status,try_next_priority,recommended_next_action,source_paths
M0,endpoint_ladder,setup_only_baseline,Can be claimed as lower-bound predictive sanity contract once implemented; no final score exists here.,"setup-only loop pressure/energy balance with geometry, property lane, setup heater/cooler, ambient/radiation inputs; residuals not calibrated from scored rows",geometry;property lane;setup heater power;setup cooler/HX metadata;ambient/surroundings/emissivity setup inputs,post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,"M0 is thesis-safe as a required baseline contract, but no frozen predictions are available.",,,,,prediction_missing,,shell_only_lower_bound_not_scored,prediction_missing_not_run,medium,Implement setup-only baseline predictions so every later form has a real lower-bound comparison.,reports/thesis_dossier/Chapters_and_sections/current/06_intermediate_model_forms_and_endpoint_strategy.md;work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/metric_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/summary.json
M1,endpoint_ladder,cfd_thermal_boundary_replay_diagnostic,Can explain physics and heat placement; cannot be used as predictive endpoint.,1D replay using realized CFD thermal ledgers to explain heat placement and residual context,setup inputs plus realized CFD patch/wall/section heat ledgers for replay only,for predictive claims: post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,Useful heat-placement/context replay; cannot be claimed as final predictive performance.,10.469,25.5665,29.5605,28.293,uses pressure-root replay; not valid as predictive pressure score,realized_CFD_thermal_replay_not_predictive,diagnostic_not_admitted_predictive,diagnostic_legacy_numeric_context_not_predictive,low,Use only as diagnostic replay/context; do not try as predictive model.,work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m2_m3_comparators.csv;reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md;work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m2_m3_comparators.csv
M2,endpoint_ladder,admitted_heater_cooler_boundary_model,First credible boundary-submodel candidate; not yet a complete final predictive model.,setup-only heater efficiency and cooler/HX UA/NTU boundary terms; passive wall/test-section terms remain blocked or diagnostic,geometry;property lane;setup heater power;setup cooler/HX metadata;ambient/radiation setup inputs;admitted heater/cooler coefficients,post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,"Heater/cooler boundary terms are admitted, but the complete predictive model is blocked by passive wall/test-section physics.",,,,,not_scored_full_model,7.50262,heater_cooler_admitted_wall_test_section_blocked,partial_boundary_score_prediction_missing_for_full_model,medium,Try only after passive wall/test-section physical/source basis is separated from realized wallHeatFlux.,work_products/2026-07/2026-07-16/2026-07-16_predictive_boundary_submodel_admission/submodel_admission_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_passive_test_section_admission_closeout/summary.json;work_products/2026-07/2026-07-16/2026-07-16_predictive_boundary_submodel_admission/submodel_admission_summary.csv
M3,endpoint_ladder,segment_only_fluid_walls,"Main reduced-order comparison form, currently usable as blocked/diagnostic ladder row rather than final endpoint.",segment pressure closure plus finite segment energy balances and wall/material stacks without explicit junction/stub ownership,segment geometry;property lane;admitted pressure/thermal/source-sink coefficients;setup boundary dictionaries,post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,M3 is the main comparison form but final scoring is blocked until an admitted Salt1-4 nominal freeze exists.,17.7415,13.558,18.9775,17.36,segment pressure coefficients zero fit-admitted in final shell,passive/test-section residual blocker open,blocked_freeze=FINAL_FREEZE_TBD_not_created;wall_blocker=local_wall_temperature_source_placement_or_upcomer_mixing_physics,legacy_numeric_context_final_prediction_missing,medium,Keep as segment-only comparator once admitted thermal/pressure terms exist; do not freeze now.,reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md;work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/model_freeze_contract.csv;work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m2_m3_comparators.csv;work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m2_m3_comparators.csv;work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/summary.json;work_products/2026-07/2026-07-17/2026-07-17_wall_passive_test_section_admission_closeout/summary.json
M4,endpoint_ladder,junction_aware_fluid_walls,Supports local ownership/attribution claim; does not yet admit predictive corner-K coefficients.,M3 plus named junction/stub heat ownership and branch/junction apparent pressure-loss buckets with admission flags,M3 setup inputs plus admitted junction/stub heat coefficients and admitted local pressure coefficients when available,post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,"M4 supports attribution/ownership claims, not an admitted predictive corner-K or junction coefficient claim.",,,,,corner_fit_admitted_rows=0;negative_K_rows=12,junction_rows=16;junction_coeff_admitted=0,junction_heat_diagnostic_pressure_K_not_admitted,prediction_missing_diagnostic_junction_evidence_available,low,Use for attribution figures; do not admit junction/corner coefficients yet.,reports/thesis_dossier/Chapters_and_sections/current/05_junction_aware_ledgers.md;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/summary.json;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_pressure_evidence_corner_k_diagnosis/summary.json;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/summary.json;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_pressure_evidence_corner_k_diagnosis/summary.json;reports/thesis_dossier/Chapters_and_sections/current/05_junction_aware_ledgers.md
MF-01,litrev_model_form,gated_single_stream_developing_branch,Ordinary-branch architecture for stable throughflow sections,Target chapter: Ch. 5 model forms; Ch. 8 model-form comparison,see required gates and source envelope before runtime use,"Persistent exchange, high recirculation, stratification, unrecovered disturbance, or residual failure sends the row to MF-02/MF-04 or diagnostic status.",taxonomy/source-envelope row; not a numeric score by itself,,,,,Re; Pr; Gr; Gr_star; Ri; Ra; Gz; reset distances; reverse_area_fraction; reverse_mass_fraction; pressure and heat residuals,A branch may use source-bounded developing friction or heat-transfer candidates only after its single-stream and source-envelope gates pass.,not_admitted_taxonomy_only,open row TODO-LITREV-GATED-SINGLE-STREAM-DEVELOPING-BRANCH,high,Try only on right_leg/test_section_span or other ordinary-flow lanes after endpoint and same-QOI UQ gates pass.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
MF-02,litrev_model_form,section_or_cluster_K_with_recirculation_diagnostics,"Naming and extraction rule for corners, bends, reducers, tees, junctions, or close-coupled clusters",Target chapter: Ch. 4 pressure reduction; Ch. 6 closure admission,see required gates and source envelope before runtime use,"Negative net branch flow, near-zero velocity basis, or persistent exchange blocks ordinary scalar K admission.",taxonomy/source-envelope row; not a numeric score by itself,,,,,component isolation; pressure basis; velocity basis; recovery diagnostics; reverse metrics; same-QOI UQ,Use K_section or K_cluster when the extraction domain is a section or close-coupled cluster; component_K requires isolation and recovery.,not_admitted_taxonomy_only,supporting rows complete for fitting inventory and pressure basis; standardization rows remain open,high,Use now as section/cluster naming discipline; try section-effective no-fit pressure figures before component K.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
MF-03,litrev_model_form,three_node_signed_flow_junction_network,Architecture only if a discrete modeled branch changes net sign or path pressure reversal is topology-resolved,Target chapter: Ch. 5 candidate forms; Ch. 9 future work,see required gates and source envelope before runtime use,"If simultaneous forward/reverse flow occurs inside one section while net flow stays positive, hand to MF-04.",taxonomy/source-envelope row; not a numeric score by itself,,,,,signed mdot each branch; path pressure reversal; topology consistency; mass conservation; hysteresis check,"Signed-flow network is a candidate only for net branch reversal, not local cross-sectional exchange.",not_admitted_taxonomy_only,open row TODO-LITREV-SIGNED-FLOW-JUNCTION-FEASIBILITY,low,Do not try until evidence shows net branch sign reversal rather than local recirculation.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
MF-04,litrev_model_form,throughflow_plus_recirculation_exchange_cell,Preferred reduced architecture for persistent local exchange where one bulk state fails,Target chapter: Ch. 5 model forms; Ch. 7 upcomer recirculation; Ch. 9 future work,see required gates and source envelope before runtime use,No Fluid/API implementation or coefficient calibration is allowed from the writing row.,taxonomy/source-envelope row; not a numeric score by itself,,,,,persistent F_A/F_m; coherent recirculation volume; residence time; exchange flux; pressure/energy residuals; held-out validation,"Use as a thesis model-form lane with dry contract fields, not as an admitted calibrated closure.",not_admitted_taxonomy_only,complete design row TODO-LITREV-THROUGHFLOW-RECIRC-EXCHANGE-CELL,high,Best S13/M5 lane to try next after Q_wall/source-side and same-QOI UQ gates close.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
MF-05,litrev_model_form,period_averaged_unsteady_dissipation_corrected_fitting_loss,Future transient lane for repeatable positive-mean periodic fitting response,Target chapter: Ch. 9 future work; optional appendix,see required gates and source envelope before runtime use,"No startup, zero crossing, branch reversal, irregular oscillation, or persistent exchange application.",taxonomy/source-envelope row; not a numeric score by itself,,,,,periodicity; positive mean; no zero crossing; single frequency; topology unchanged; source-range overlap,Mention as a future method if the thesis discusses transient extensions.,not_admitted_taxonomy_only,open row TODO-LITREV-TRANSIENT-ROM-PARKING-LOT,low,Park for future transient evidence.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
