case_id,model_form_id,legacy_mode_id,model_form_label,part,sensor,sensor_kind,predicted_K,target_K,signed_error_K,signed_error_percent_of_target,absolute_error_K,prediction_source_segment,prediction_source_fraction,split_or_use_class,figure_group,finite_prediction,admission_status,source_path
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TP3,TP,377.315,447.213671156,-69.8986711558,-15.62981538,69.8986711558,left_lower_vertical,0,train_candidate,M1_salt_2_TP,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TP4,TP,377.315,449.194764173,-71.8797641731,-16.0019149612,71.8797641731,left_lower_vertical,1,train_candidate,M1_salt_2_TP,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TP5,TP,377.315,450.165559192,-72.8505591923,-16.1830592556,72.8505591923,test_section,1,train_candidate,M1_salt_2_TP,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TP6,TP,376.38934547,451.541286692,-75.1519412224,-16.6434262906,75.1519412224,left_upper_vertical,1,train_candidate,M1_salt_2_TP,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TP1,TP,369.6393782,450.599118072,-80.9597398717,-17.9671323411,80.9597398717,top_horizontal_exit,1,train_candidate,M1_salt_2_TP,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TP2,TP,,445.205830202,,,,,,train_candidate,M1_salt_2_TP,false,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW1,TW,369.039236868,467.697970491,-98.6587336228,-21.0945396062,98.6587336228,right_vertical,0.25,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW2,TW,368.788713192,463.211943356,-94.4232301643,-20.3844550035,94.4232301643,right_vertical,0.5,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW3,TW,368.626625419,441.131603593,-72.5049781736,-16.4361332498,72.5049781736,right_vertical,0.75,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW4,TW,370.534607104,441.775882728,-71.2412756242,-16.1261124497,71.2412756242,heated_incline,0.25,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW5,TW,372.599508095,442.329709555,-69.7302014598,-15.7643043082,69.7302014598,heated_incline,0.5,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW6,TW,374.761666528,443.132161297,-68.3704947695,-15.4289173165,68.3704947695,heated_incline,0.75,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW7,TW,376.830679024,451.279802536,-74.4491235122,-16.4973311666,74.4491235122,left_lower_vertical,0.5,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW8,TW,376.371288213,450.844131255,-74.4728430419,-16.5185344289,74.4728430419,left_upper_vertical,0.5,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW9,TW,375.982369148,436.077557212,-60.0951880639,-13.7808486289,60.0951880639,cooled_incline_pre_hx,0.75,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW10,TW,,433.297271034,,,,,,train_candidate,M1_salt_2_TW,false,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
salt_2,M1,M1_full_cfd_segment_heat_flux_pressure_root,"CFD thermal-boundary replay, pressure-root variant",part1,TW11,TW,370.670966445,445.002081849,-74.3311154045,-16.7035432948,74.3311154045,cooled_incline_post_hx,0.25,train_candidate,M1_salt_2_TW,true,legacy_numeric_context_not_final_locked_split,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/agent360_refresh/sensor_level_errors.csv
