claim_id_or_topic,allowed_writer_claim,forbidden_writer_claim,primary_sources,target_section,admission_state
CL-01,"Ethan OpenFOAM CFD is the current high-fidelity reference target, not experimental validation.","The 1D model is experimentally validated by this CFD comparison.","reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md; reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md",Ch1/Ch3,thesis_ready_context
CL-03,"The final target model form is steady fluid+walls with segment pressure, thermal, source/sink, boundary, and admission ledgers.","The current thesis admits transient wall storage terms or a fluid-only fitted heat leak as final.","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; reports/thesis_dossier/Chapters_and_sections/current/09_fluid_walls_segment_atlas.md",Ch4/Ch5,thesis_ready_model_form
CL-04,"Predictive runtime modes must use setup-known inputs and admitted coefficients only.","A predictive run may use scored-row CFD mdot, wallHeatFlux, cooler duty, validation temperatures, or held-out targets.","reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md; reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md",Ch6,thesis_ready_guardrail
CL-05,"The final split has Salt1-4 nominal training, Salt1 +/-10Q and Salt4 +/-5Q support, Salt2 +/-5Q holdout/testing, and val_salt2 external test.","Holdout or external rows can be used for fitting because they look useful.","reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md",Ch6,thesis_ready_guardrail
CL-13/CL-26,"Current recirculating lower-right pressure rows support section-effective residual/model-form evidence.","Current rows admit ordinary component K, F6, clipped K, or a hidden/global pressure multiplier.","reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md; work_products/2026-07/2026-07-21/2026-07-21_hybrid_pressure_no_fit_performance_bakeoff/README.md",Ch7,diagnostic_negative_result
CL-14/CL-28,"Upcomer evidence requires a hybrid throughflow plus recirculation-cell lane.","The current upcomer admits ordinary single-stream Nu, f_D, K, or exchange-cell coefficient.","reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md; reports/thesis_dossier/Chapters_and_sections/current/09_fluid_walls_segment_atlas.md",Ch5/Ch7,diagnostic_model_form
CL-17,"Internal Nu rows must not absorb unresolved wall loss, radiation, cooler, passive-wall, or source-placement residuals.","A better fit can be reported as admitted Nu without separating heat-path owners.","reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md; reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md",Ch6/Ch7,blocked_until_thermal_gates
CL-18,"Radiation belongs to the external boundary network and must not be double-counted.","A 1D replay using realized CFD wallHeatFlux should add a second radiation term.","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md",Ch5/Ch6,guardrail
CL-19/CL-20,"Time-window and mesh/GCI uncertainty qualify claims row-by-row.","Uncertainty is globally resolved or can promote diagnostic coefficients into admitted coefficients.","reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md",Ch6,guardrail
CL-21,"Property lane is an upstream model decision that must be named before Re/Pr/Gz/friction/thermal interpretation.","Closure fits are property-independent without evidence.","reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md",Ch5/Ch6,guardrail
CL-22,"TP/TW sensors are score targets with projection caveats.","TP/TW validation temperatures can be runtime inputs or fit/model-selection targets.","reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md; reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md",Ch6,score_target_only
S13_same_QOI,"S13 has harvested target-plus rows and joined triplet-ready labels for selected QOIs.","S13 same-QOI UQ or mesh/GCI has been accepted by this packet.","work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/README.md",Ch7,pending_uq
final_scorecard,"The blocked final scorecard is a defensible result of admission discipline.","A final predictive score exists or a frozen runtime-legal candidate is admitted.","reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md; reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md",Ch7/Ch8,blocked
