equation_id,target_section,equation_label,equation_ascii,quantity_type,units_or_dimension,source_paths,writer_use,slot_not_admission,admission_state,caveat
EQ-01,Ch4/Ch5,steady segment energy differential,"d/ds[mdot cp(T) T] = qprime_heater_to_fluid_i - qprime_cooler_i - qprime_wall_loss_i + qprime_other_i",balance,W/m,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Define the steady fluid+walls energy balance over a 1D segment.",true,model_form_slot,"Current thesis is steady-state; wall storage/transients are future work unless reopened."
EQ-02,Ch4/Ch5,finite segment energy balance,"mdot cpbar_i (T_out_i - T_in_i) = Q_heater_i - Q_cooler_i - Q_wall_loss_i + Q_other_i + Q_residual_i",balance,W,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Use for source/sink/residual accounting tables.",true,model_form_slot,"Q_residual_i is remaining imbalance after declared lanes; it is not a closure by itself."
EQ-03,Ch5/Ch7,passive wall-loss resistance,"Q_wall_loss_i = (T_drive_i - T_env_i)/(R_int_i + R_wall_i + R_layer_i + R_ext_i)",model_slot,W,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; work_products/2026-07/2026-07-21/2026-07-21_fluid_extbc_phase_h2_passive_heat_loss_attribution/README.md","Define passive wall/external heat-loss architecture.",true,blocked_or_diagnostic,"Drive temperature basis must be reported; realized CFD wallHeatFlux is forbidden as predictive runtime input."
EQ-04,Ch5,test-section source/loss,"qprime_test_section_to_fluid = qprime_electrical_deposition - (T_drive - T_external)/Rprime_quartz_external",model_slot,W/m,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Keep test section as explicit source/loss region.",true,model_form_slot,"Term may be positive or negative; do not hide test-section balance inside generic passive hA."
EQ-05,Ch5/Ch7,buoyancy drive loop integral,"Delta_p_drive = integral_loop rho(T(s),p(s),property_lane) g dz(s)",balance,Pa,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Define buoyancy drive in natural-circulation loop.",true,model_form_slot,"Property lane must be named before pressure comparison."
EQ-06,Ch5/Ch7,distributed and local pressure loss,"Delta_p_loss = sum_i [ f_i (L_i/D_i) q_i + K_i q_i ]; q_i = 0.5 rho_i V_i^2",model_slot,Pa,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Show where friction and local-loss slots appear.",true,diagnostic_or_blocked_until_row_admission,"Coefficient symbols are not universal constants and are not admitted unless row-specific gates pass."
EQ-07,Ch7,recirculating section pressure residual,"Delta_p_resid = Delta_p_rgh - Delta_p_kin - Delta_p_straight - Delta_p_dev",diagnostic_residual,Pa,"reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md","Use for section-effective pressure residual narrative.",true,diagnostic_only,"Do not call this ordinary component K, F6, clipped K, or a hidden/global multiplier."
EQ-08,Ch7,recirculating effective pressure coefficient,"K_eff_recirc = Delta_p_resid / q_ref",diagnostic_model_form_slot,dimensionless,"reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md","Define possible throughflow-plus-recirculation pressure lane.",true,diagnostic_only,"q_ref must be same-window throughflow dynamic-pressure basis; near-zero denominator returns no-fit diagnostic."
EQ-09,Ch5/Ch7,upcomer hybrid lane,"upcomer = throughflow_pipe_lane + recirculation_cell_exchange_lane",model_form,conceptual,"reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md; reports/thesis_dossier/Chapters_and_sections/current/09_fluid_walls_segment_atlas.md","State model architecture for recirculating upcomer.",true,diagnostic_until_gates_pass,"Does not admit ordinary upcomer Nu, f_D, K, or exchange-cell coefficient."
EQ-10,Ch6,final predictive runtime contract,"inputs_runtime = setup_known + admitted_coefficients_train_only; forbidden = CFD_mdot + realized_wallHeatFlux + imposed_CFD_cooler_duty + validation_temperatures + holdout_targets + external_targets",rule,not_applicable,"reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md; reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md","Use as non-leakage rule before any score or model claim.",false,thesis_ready_guardrail,"Diagnostic replay may use targets; predictive claims may not."
EQ-11,Ch6,split-role rule,"train_can_fit_if_gates_pass; support_can_support_trends; holdout_and_external_score_frozen_model_only",rule,not_applicable,"reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md","Define train/support/holdout/external permissions.",false,thesis_ready_guardrail,"A row's uncertainty does not override its split role."
EQ-12,Ch6/Ch7,uncertainty/admission rule,"uncertainty_qualifies_claims_but_does_not_promote_diagnostic_coefficients",rule,not_applicable,"reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md","Use as thesis uncertainty/admission principle.",false,thesis_ready_guardrail,"Report QOI-specific mesh/time/property/sensor/split/model-form status."
