case_key,case_dir,restart_time_s,target_heater_power_W,target_heater_patch_Q_W,root_patch_counts,processor_patch_counts,root_patch_ok,processor_patch_ok
salt1_jin_lo10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,,209.07,69.69,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
salt1_jin_hi10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,,255.53,85.1766666667,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
salt2_jin_lo10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,239.13,79.71,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
salt2_jin_lo5q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,252.415,84.1383333333,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
salt2_jin_hi5q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,278.985,92.995,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
salt2_jin_hi10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,292.27,97.4233333333,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
salt3_jin_lo10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,267.75,89.25,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
salt3_jin_lo5q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,282.625,94.2083333333,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
salt3_jin_hi5q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,312.375,104.125,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
salt3_jin_hi10q_corrected,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,327.25,109.083333333,"{'pipeleg_lower_04_straight': '1', 'pipeleg_lower_05_straight': '1', 'pipeleg_lower_06_straight': '1', 'pipeleg_upper_04_reducer': '1', 'pipeleg_upper_05_cooler': '1', 'pipeleg_upper_06_reducer': '1'}",{},True,True
