submitted_at,job_id,job_name,cases,script,status_note
2026-07-10T00:00:00-05:00,3288636,saltq_sel_cont,"salt1_jin_lo10q_corrected;salt1_jin_hi10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,FAILED in 3 s before case launch because Slurm batch copy made BASH_SOURCE resolve under /var/spool/slurmd; launcher patched to use absolute campaign root before resubmission
2026-07-10T12:07:19-05:00,3288638,saltq_sel_cont,"salt1_jin_lo10q_corrected;salt1_jin_hi10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,FAILED in 2 s before case launch because launcher still used stale Frontera/OpenMPI runtime; launcher patched to current LS6 OF13/Intel MPI runtime before resubmission
2026-07-10T12:09:47-05:00,3288651,saltq_sel_cont,"salt1_jin_lo10q_corrected;salt1_jin_hi10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,FAILED in 6 s during preflight because patcher was called without required corrected_case_manifest.csv; launcher patched to use manifest and force selected endTime after patching before resubmission
2026-07-10T12:11:18-05:00,3288661,saltq_sel_cont,"salt1_jin_lo10q_corrected;salt1_jin_hi10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,CANCELLED after Salt1 +10Q failed at rounded restart time 4010.59036 while Salt1 -10Q and Salt4 +10Q were running; selected controlDicts and launcher patched to force timePrecision 12 before full relaunch
2026-07-10T12:15:16-05:00,3288666,saltq_sel_cont,"salt1_jin_lo10q_corrected;salt1_jin_hi10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,CANCELLED after Salt1 +10Q still failed at fractional restart despite timePrecision 12; patcher/launcher updated to support explicit processor-time override and Salt1 +10Q relaunch from patched integer restart 4010
2026-07-10T12:19:24-05:00,3288671,saltq_sel_cont,"salt1_jin_lo10q_corrected;salt1_jin_hi10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,RUNNING on c318-017; all three foamRun steps alive and advancing in startup snapshot; Salt1 +10Q uses patched restart 4010
2026-07-13T13:05:02-05:00,3293441,saltq_sel_cont,"salt2_jin_lo10q_corrected;salt2_jin_hi10q_corrected;salt4_jin_lo10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,FAILED because all four foamRun steps hit OpenFOAM maximum time-name precision with timeFormat general and timePrecision 12 at large adaptive restart times
2026-07-13T15:54:53-05:00,3293739,saltq_sel_cont,"salt2_jin_lo10q_corrected;salt2_jin_hi10q_corrected;salt4_jin_lo10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,FAILED after preflight passed with explicit integer startTime and timePrecision 17; OpenFOAM still tried to increase general-format precision to 18 and hit its maximum
2026-07-13T16:03:18-05:00,3293765,saltq_sel_cont,"salt2_jin_lo10q_corrected;salt2_jin_hi10q_corrected;salt4_jin_lo10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,FAILED after preflight passed with timeFormat fixed but startFrom startTime; OpenFOAM could not find restart object T because fixed-format startTime did not match existing integer restart directories
2026-07-13T16:12:05-05:00,3293782,saltq_sel_cont,"salt2_jin_lo10q_corrected;salt2_jin_hi10q_corrected;salt4_jin_lo10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,FAILED after preflight passed with timeFormat fixed and startFrom latestTime; OpenFOAM still could not find restart object T because fixed-format restart naming did not match existing integer restart directories
2026-07-13T17:03:55-05:00,3293924,saltq_sel_cont,"salt2_jin_lo10q_corrected;salt2_jin_hi10q_corrected;salt4_jin_lo10q_corrected;salt4_jin_hi10q_corrected",scripts/run_selected_corrected_salt_q_continuation.sbatch,RUNNING on c318-016 after startup check; all four foamRun steps alive at 00:02:29 elapsed using explicit integer startTime plus timeFormat general and timePrecision 6
2026-07-21T08:58:08-05:00,3307441,saltq_sel36_cont,"salt2_jin_lo10q_corrected@12382;salt2_jin_hi10q_corrected@11668;salt4_jin_lo10q_corrected@13421;salt4_jin_hi10q_corrected@14017",scripts/run_selected_corrected_salt_q_continuation_20260721_latest.sbatch,RUNNING on c318-020 after startup check; in-job preflight audited 4 corrected Salt cases with failures=0; all four foamRun steps alive and advanced past latest integer restarts with explicit startTime plus timeFormat general and timePrecision 6; walltime 1-12:00:00
