case_id,segment,qoi,review_admission_class,internal_nu_fit_allowed,residual_owner_gate,parity_resolution_use,blockers,guardrail,next_action,source_paths
salt_2,lower_leg,wallHeatFlux,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,repaired_q_sign_label_conflict,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,lower_leg,enthalpy_change,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,repaired_q_sign_label_conflict,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,lower_leg,segment_duty,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,repaired_q_sign_label_conflict,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,lower_leg,HTC,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;internal_Nu_residual_absorption_forbidden,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,lower_leg,Nu,blocked,false,pass,supports_resolution_no_internal_nu_absorption,missing_or_nonfinite_coarse_medium_or_fine_value;coarse_nu_direct_not_admitted;medium_nu_direct_not_admitted;fine_nu_direct_not_admitted;coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;internal_Nu_residual_absorption_forbidden,do_not_fit_boundary_or_storage_residual_into_internal_Nu,repair_missing_or_nonfinite_metric_before_fit,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,lower_leg,UA_prime,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;internal_Nu_residual_absorption_forbidden,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,upcomer,wallHeatFlux,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,upcomer,enthalpy_change,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,upcomer,segment_duty,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,upcomer,HTC,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only;internal_Nu_residual_absorption_forbidden,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,upcomer,Nu,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only;internal_Nu_residual_absorption_forbidden,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,upcomer,UA_prime,validation_only,false,pass,supports_resolution_no_internal_nu_absorption,coarse_sign_review_required;medium_sign_review_required;fine_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only;internal_Nu_residual_absorption_forbidden,do_not_fit_boundary_or_storage_residual_into_internal_Nu,resolve_sign_and_heat_balance_before_fit,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,downcomer,wallHeatFlux,blocked,false,pass,supports_resolution_no_internal_nu_absorption,blocked_downcomer_policy;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature,do_not_fit_boundary_or_storage_residual_into_internal_Nu,decide_downcomer_policy_before_interpretation,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,downcomer,enthalpy_change,blocked,false,pass,supports_resolution_no_internal_nu_absorption,blocked_downcomer_policy;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature,do_not_fit_boundary_or_storage_residual_into_internal_Nu,decide_downcomer_policy_before_interpretation,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
salt_2,downcomer,segment_duty,blocked,false,pass,supports_resolution_no_internal_nu_absorption,blocked_downcomer_policy;wallHeatFlux_enthalpy_opposed_direction;large_wallHeatFlux_enthalpy_residual;high_recirculation_interface;high_recirculation_forward_bulk_used;high_recirculation_interface_temperature,do_not_fit_boundary_or_storage_residual_into_internal_Nu,decide_downcomer_policy_before_interpretation,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
