case_key,source_key,corrected_scorecard_role,final_scorecard_partition,original_split_fit_allowed,original_split_model_selection_allowed,split_fit_allowed,split_model_selection_allowed,fit_allowed,model_selection_allowed,score_allowed,release_gate,shell_score_status,target_evidence_status,score_use,guardrail,source_paths,case_id,section_or_segment,property_mode,property_mode_status,property_sensitivity_label,source_validity_envelope_status,source_overlap_status,source_use_category,provenance_author_title,fit_use_status,source_property_label_coverage,source_property_gate_status,source_property_gate_reason
salt1_nominal,salt1_jin_nominal_continuation_corrected,final_training,train_nominal,yes,yes,no_source_property_policy_blocked,no_source_property_policy_blocked,no,no,yes_after_freeze_or_gate,available_for_fit_after_final_freeze_builder_consumes_nominal_targets,training_placeholder_waiting_for_final_prediction_artifact,ready_schema_promoted,fit_and_training_internal_score,may_train_final_freeze,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_1,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,source_property_partial_salt1_no_fit,property_sensitivity_material_closure_fit_blocked,source_envelope_not_row_specific_salt1_partial,source_envelope_not_row_specific_salt1_partial,blocked_pending_salt1_branch_source_envelope,AGENT-538 and AGENT-554 source-property audit; Salt1 uses the intended Jin/Parida/Santini property family but lacks row-specific branch envelope labels,final_no_fit_source_property_resolution_policy,source_property_resolution_policy_applied,blocked_pending_row_specific_source_envelope,Final source/property resolution policy blocked_pending_row_specific_source_envelope; final_fit_allowed=no; final_model_selection_allowed=no.
salt2_jin_nominal,viscosity_screening_salt_test_2_jin_coarse_mesh,final_training,train_nominal,yes,yes,no_source_property_policy_blocked,no_source_property_policy_blocked,no,no,yes_after_freeze_or_gate,available_for_fit_after_final_freeze_builder_consumes_nominal_targets,training_placeholder_waiting_for_final_prediction_artifact,ready_current_schema,fit_and_training_internal_score,may_train_final_freeze,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_2,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,sensitivity_mode_no_fit_until_lane_declared,property_sensitivity_material_closure_fit_blocked,source_envelope_not_strict_pass_outside_or_unknown,source_envelope_not_strict_pass_outside_or_unknown,demoted_no_fit_due_to_source_envelope_blockers,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",final_no_fit_source_property_resolution_policy,source_property_resolution_policy_applied,blocked_source_envelope_not_strict_pass,Final source/property resolution policy demote_to_no_fit_source_envelope_blocked; final_fit_allowed=no; final_model_selection_allowed=no.
salt3_jin_nominal,viscosity_screening_salt_test_3_jin_coarse_mesh,final_training,train_nominal,yes,yes,no_source_property_policy_blocked,no_source_property_policy_blocked,no,no,yes_after_freeze_or_gate,available_for_fit_after_final_freeze_builder_consumes_nominal_targets,training_placeholder_waiting_for_final_prediction_artifact,ready_current_schema,fit_and_training_internal_score,may_train_final_freeze,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_3,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,sensitivity_mode_no_fit_until_lane_declared,property_sensitivity_material_closure_fit_blocked,source_envelope_not_strict_pass_outside_or_unknown,source_envelope_not_strict_pass_outside_or_unknown,demoted_no_fit_due_to_source_envelope_blockers,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",final_no_fit_source_property_resolution_policy,source_property_resolution_policy_applied,blocked_source_envelope_not_strict_pass,Final source/property resolution policy demote_to_no_fit_source_envelope_blocked; final_fit_allowed=no; final_model_selection_allowed=no.
salt4_nominal,viscosity_screening_salt_test_4_jin_coarse_mesh,final_training,train_nominal,yes,yes,no_source_property_policy_blocked,no_source_property_policy_blocked,no,no,yes_after_freeze_or_gate,available_for_fit_after_final_freeze_builder_consumes_nominal_targets,training_placeholder_waiting_for_final_prediction_artifact,ready_current_schema,fit_and_training_internal_score,may_train_final_freeze,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_4,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,sensitivity_mode_no_fit_until_lane_declared,property_sensitivity_material_closure_fit_blocked,source_envelope_not_strict_pass_outside_or_unknown,source_envelope_not_strict_pass_outside_or_unknown,demoted_no_fit_due_to_source_envelope_blockers,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",final_no_fit_source_property_resolution_policy,source_property_resolution_policy_applied,blocked_source_envelope_not_strict_pass,Final source/property resolution policy demote_to_no_fit_source_envelope_blocked; final_fit_allowed=no; final_model_selection_allowed=no.
salt1_lo10q,salt1_jin_lo10q_corrected,support_diagnostic_not_final_training,excluded_support_diagnostic,no,no,no,no,no,no,no,not_part_of_final_scorecard_without_new_policy,excluded_from_final_scorecard,admitted_support_only_not_corrected_final_training,diagnostic_support_only,do_not_expand_training_set_without_new_policy,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_1,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,source_property_partial_salt1_no_fit,property_sensitivity_material_closure_fit_blocked,source_envelope_not_row_specific_salt1_partial,source_envelope_not_row_specific_salt1_partial,diagnostic_or_blocked_until_salt1_branch_envelope_update,AGENT-538 and AGENT-554 source-property audit; Salt1 uses the intended Jin/Parida/Santini property family but lacks row-specific branch envelope labels,final_no_fit_source_property_resolution_policy,source_property_labels_partial_salt1,blocked_source_property_partial_salt1,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.
salt1_hi10q,salt1_jin_hi10q_corrected,support_diagnostic_not_final_training,excluded_support_diagnostic,no,no,no,no,no,no,no,not_part_of_final_scorecard_without_new_policy,excluded_from_final_scorecard,admitted_support_only_not_corrected_final_training,diagnostic_support_only,do_not_expand_training_set_without_new_policy,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_1,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,source_property_partial_salt1_no_fit,property_sensitivity_material_closure_fit_blocked,source_envelope_not_row_specific_salt1_partial,source_envelope_not_row_specific_salt1_partial,diagnostic_or_blocked_until_salt1_branch_envelope_update,AGENT-538 and AGENT-554 source-property audit; Salt1 uses the intended Jin/Parida/Santini property family but lacks row-specific branch envelope labels,final_no_fit_source_property_resolution_policy,source_property_labels_partial_salt1,blocked_source_property_partial_salt1,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.
salt4_lo5q,salt4_jin_lo5q_corrected,support_diagnostic_not_final_training,excluded_support_diagnostic,no,no,no,no,no,no,no,not_part_of_final_scorecard_without_new_policy,excluded_from_final_scorecard,admitted_support_only_not_corrected_final_training,diagnostic_support_only,do_not_expand_training_set_without_new_policy,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_4,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,source_property_context_inherited_score_only_no_fit,property_sensitivity_material_closure_no_fit,mixed_or_outside_envelope_label_required,mixed_or_outside_envelope_label_required,diagnostic_support_no_fit,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",final_no_fit_source_property_resolution_policy,source_property_labels_contextual_score_only,blocked_diagnostic_support_no_fit,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.
salt4_hi5q,salt4_jin_hi5q_corrected,support_diagnostic_not_final_training,excluded_support_diagnostic,no,no,no,no,no,no,no,not_part_of_final_scorecard_without_new_policy,excluded_from_final_scorecard,admitted_support_only_not_corrected_final_training,diagnostic_support_only,do_not_expand_training_set_without_new_policy,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_4,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,source_property_context_inherited_score_only_no_fit,property_sensitivity_material_closure_no_fit,mixed_or_outside_envelope_label_required,mixed_or_outside_envelope_label_required,diagnostic_support_no_fit,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",final_no_fit_source_property_resolution_policy,source_property_labels_contextual_score_only,blocked_diagnostic_support_no_fit,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.
salt2_lo5q,salt2_jin_lo5q_corrected,blind_holdout_salt2_pm5q,blind_holdout_pm5q,no,no,no,no,no,no,yes_after_freeze_or_gate,requires_corrected_salt1_4_final_freeze,blocked_pending_corrected_final_freeze,pm5_diagnostic_rows=3,holdout_score_after_freeze_no_tuning,fit_and_model_selection_forbidden,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_2,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,source_property_context_inherited_score_only_no_fit,property_sensitivity_material_closure_no_fit,mixed_or_outside_envelope_label_required,mixed_or_outside_envelope_label_required,holdout_score_only_no_fit,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",final_no_fit_source_property_resolution_policy,source_property_labels_contextual_score_only,blocked_holdout_score_only_no_fit,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.
salt2_hi5q,salt2_jin_hi5q_corrected,blind_holdout_salt2_pm5q,blind_holdout_pm5q,no,no,no,no,no,no,yes_after_freeze_or_gate,requires_corrected_salt1_4_final_freeze,blocked_pending_corrected_final_freeze,pm5_diagnostic_rows=3,holdout_score_after_freeze_no_tuning,fit_and_model_selection_forbidden,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,salt_2,scorecard_case_partition,jin_viscosity_parida_cp_santini_k,source_property_context_inherited_score_only_no_fit,property_sensitivity_material_closure_no_fit,mixed_or_outside_envelope_label_required,mixed_or_outside_envelope_label_required,holdout_score_only_no_fit,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",final_no_fit_source_property_resolution_policy,source_property_labels_contextual_score_only,blocked_holdout_score_only_no_fit,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.
