path,role,exists,native_output_mutated
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/split_legal_case_table.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/candidate_freeze_manifest.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/summary.json,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/blocked_future_rows.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_predict_salt2_pm5_holdout_extraction_repair/salt2_pm5_admission_table.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/summary.json,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/val_salt2_external_score_targets.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/val_salt2_prediction_join_contract.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/pm10_holdout_admission_watch.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/summary.json,read_only_input,True,no
work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv,read_only_input,True,no
work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv,read_only_input,True,no
work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/future_scorecard_label_contract.csv,read_only_input,True,no
work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv,read_only_input,True,no
work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/case_partition_contract.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/model_freeze_contract.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/metric_contract.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/prediction_join_shell.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/holdout_release_gates.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/admission_gate_shell.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/assumption_ledger.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/runtime_input_audit.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/source_property_label_gate_audit.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/scorecard_summary.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/source_manifest.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/summary.json,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/README.md,generated_output,True,no
