artifact,role,path,exists,notes
pm5_matched_plane_case_list.csv,generated_input,work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/pm5_matched_plane_case_list.csv,True,Explicit harvested +/-5Q case list with parent mesh geometry mapping.
pm5_matched_plane_helper.py,generated_script,work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/scripts/pm5_matched_plane_helper.py,True,Wrapper around AGENT-344 parser/controlDict writer using parent geometry source_id.
run_pm5_matched_plane_compute.sh,generated_script,work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/scripts/run_pm5_matched_plane_compute.sh,True,Compute-node runner for four harvested +/-5Q rows.
submit_pm5_matched_plane_compute.sbatch,generated_script,work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/scripts/submit_pm5_matched_plane_compute.sbatch,True,Submitted as Slurm job 3295901.
submission_status.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/submission_status.csv,True,Initial Slurm submission evidence.
corrected_q_pm5_split_admission_matrix.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_pm5_admission_split_processing/corrected_q_pm5_split_admission_matrix.csv,True,Terminal harvest and thermal aggregate evidence for +/-5Q rows.
matched_plane_generic_tool,read_only_input,tools/extract/sample_upcomer_matched_plane_metrics.py,True,Imported for OpenFOAM controlDict generation and sample parsing; not mutated.
salt2_mesh_stations,read_only_input,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,True,Parent geometry mesh stations for Salt2 +/-5Q.
salt4_mesh_stations,read_only_input,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,True,Parent geometry mesh stations for Salt4 +/-5Q.
salt2_lo5q_source,read_only_native_source,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,True,Native CFD source read by batch job; not mutated.
salt2_hi5q_source,read_only_native_source,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,True,Native CFD source read by batch job; not mutated.
salt4_lo5q_source,read_only_native_source,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,True,Native CFD source read by batch job; not mutated.
salt4_hi5q_source,read_only_native_source,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,True,Native CFD source read by batch job; not mutated.
