case_key,case_id,split_role,source_id,time_s,time_window_s,harvest_package,harvest_task,harvest_job_id,harvest_station_csv,harvest_summary_json,native_case_path,native_case_exists_at_harvest,station_rows_in_source,station_rows_mapped,branch_rows_expected,admission_status,fit_eligible,admission_caveat,blockers
salt1_hi10q,salt_1,training_perturbation,viscosity_screening_salt_test_1_jin_coarse_mesh,5587,4987-5587,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/summary.json,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Salt1 +10%Q training candidate with documented conflict-resolution caveat; pressure ladder diagnostic until gates admit,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
salt1_lo10q,salt_1,training_perturbation,viscosity_screening_salt_test_1_jin_coarse_mesh,8016,7416-8016,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/summary.json,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Salt1 -10%Q training candidate; pressure ladder diagnostic until mesh/GCI and pressure gates admit,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
salt1_nominal,salt_1,training,viscosity_screening_salt_test_1_jin_coarse_mesh,7884,7284-7884,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/summary.json,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Salt1 training candidate; pressure ladder diagnostic until mesh/GCI and pressure gates admit,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
salt2_hi5q,salt_2,holdout_perturbation,viscosity_screening_salt_test_2_jin_coarse_mesh,9780,9480-9780,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/summary.json,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Salt2 +5%Q holdout only; do not use for training/model selection,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
salt2_lo5q,salt_2,holdout_perturbation,viscosity_screening_salt_test_2_jin_coarse_mesh,10275,9975-10275,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/summary.json,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Salt2 -5%Q holdout only; do not use for training/model selection,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
salt2_mainline,salt_2,training,viscosity_screening_salt_test_2_jin_coarse_mesh,7915,,AGENT-445_pressure_ladder_unlock_sbatch,AGENT-445,3297860,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/summary.json,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Mainline Salt2 pressure ladder diagnostic until mesh/GCI and pressure gates admit.,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
salt3_mainline,salt_3,validation_or_training_by_declared_scorecard,viscosity_screening_salt_test_3_jin_coarse_mesh,7618,,AGENT-445_pressure_ladder_unlock_sbatch,AGENT-445,3297860,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/summary.json,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Mainline Salt3 pressure ladder diagnostic until mesh/GCI and pressure gates admit.,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
salt4_hi5q,salt_4,training_perturbation,viscosity_screening_salt_test_4_jin_coarse_mesh,11399,11099-11399,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/summary.json,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Salt4 +5%Q training perturbation; pressure ladder diagnostic until gates admit,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
salt4_lo5q,salt_4,training_perturbation,viscosity_screening_salt_test_4_jin_coarse_mesh,11695,11395-11695,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/summary.json,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Salt4 -5%Q training perturbation; pressure ladder diagnostic until gates admit,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
salt4_mainline,salt_4,holdout_or_training_by_declared_scorecard,viscosity_screening_salt_test_4_jin_coarse_mesh,10000,,AGENT-445_pressure_ladder_unlock_sbatch,AGENT-445,3297860,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/station_pressure_ladder.csv,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/summary.json,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,true,30,30,6,diagnostic_station_pressure_ladder_not_fit_admitted,no,Mainline Salt4 pressure ladder diagnostic until mesh/GCI and pressure gates admit.,coarse_only_no_mesh_gci;orientation_straight_loss_recirc_admission_pending
