field_id,case_scope,location,same_window_requirement,field_or_metric,units,needed_for,one_d_model_mapping,minimum_acceptance,source_paths
bulk_temperature,all requested upcomer-onset anchor cases,PM5 and PM10 upcomer planes plus inlet/mid/outlet support planes,"same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger",T_bulk_area_weighted,K,bulk state for Re/Pr/Ri and 1D node temperatures,"PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
wall_temperature,all requested upcomer-onset anchor cases,wall-band cells at the same axial stations as the bulk planes,"same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger",T_wall_band_area_weighted,K,wall/bulk thermal-drive coordinate,"PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
wall_bulk_deltaT,all requested upcomer-onset anchor cases,matched wall band minus matched bulk plane at PM5/PM10 and support stations,"same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger",T_wall_band - T_bulk,K,upcomer-onset thermal drive and junction/stub loss audit,"PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
velocity_vector,all requested upcomer-onset anchor cases,PM5 and PM10 planes,"same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger","U, U dot n, axial and transverse components",m/s,"RAF/RMF/SVF, U_bulk, Re, and backflow classification","PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
mass_flux,all requested upcomer-onset anchor cases,PM5 and PM10 planes,"same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger",rho U dot n signed and absolute integrals,kg/s,RMF and mass-conservation gate,"PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
pressure_static,all requested upcomer-onset anchor cases,"PM5, PM10, and adjacent corner/junction taps","same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger",p and p_rgh area-weighted means,Pa,pressure drop through upcomer and separation from corner losses,"PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
pressure_total_proxy,all requested upcomer-onset anchor cases,PM5 and PM10 planes,"same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger",p + 0.5 rho |U|^2 if density support exists,Pa,distinguish static drop from kinetic conversion,"PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
wall_heat_flux,all requested upcomer-onset anchor cases,"upcomer wall, adjacent junction patches, and dead-leg/stub patches","same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger",wallHeatFlux local and patch-integrated,W/m2 and W,heat audit; prevents hiding junction/stub losses inside one 1D upcomer coefficient,"PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
fluid_properties,all requested upcomer-onset anchor cases,same samples used for T_bulk,"same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger","rho, mu, k, cp, beta, nu, alpha",SI,Re/Pr/Gr/Ra/Ri/Gz reproducibility,"PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
heat_balance,all requested upcomer-onset anchor cases,"heater, cooler/sink, upcomer wall, junctions, stubs, and remainder patches","same retained terminal/quasi-steady time window used for RAF/RMF/SVF, Re/Ri, pressure, and heat ledger",integrated heat flow by patch,W,thermal residual and section heat-loss audit,"PM5/PM10 map to 1D upcomer pipe nodes; corner/junction/stub patch heat maps to explicit local loss terms, not bulk upcomer Nu","field present, station definition recorded, window ID matches onset metrics, uncertainty row exists",work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
