request_id,case_key,priority,study_group,salt_anchor,target_heater_power_W,q_ratio_vs_salt3_nominal,insulation_mode,target_Re_upcomer_class,target_Re_upcomer_design_min,target_Re_upcomer_design_max,target_thermal_drive_class,thermal_drive_coordinate,target_regime,acceptance_role,acceptance_gate,one_d_model_mapping,actual_Re_requirement,thermal_drive_note,launch_allowed_in_this_row,source_paths
upcomer_onset:salt3_jin_q1500w_hiins_onset_anchor,salt3_jin_q1500w_hiins_onset_anchor,1,sentinel_cell_off,salt3_jin,1500,5.04201680672,hiins,high,175,250,suppressed_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",high_Re_high_insulation_cell_off_target,non_recirculating_anchor,"same-window RAF<=0.02, RMF<=0.02, backflow_fraction<=0.02, and Ri_median<0.30 with uncertainty upper bound still below gate",upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",wall_bulk_deltaT expected low-to-moderate; verify from same-window wall/bulk fields,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
upcomer_onset:salt3_jin_q0150w_loins_onset_anchor,salt3_jin_q0150w_loins_onset_anchor,1,sentinel_cell_max,salt3_jin,150,0.504201680672,loins,low,50,90,amplified_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",low_Q_low_insulation_cell_max_target,recirculating_anchor,same-window backflow_fraction>=0.20 or RAF/RMF materially above 0.10; documents recirculating side only,upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",wall_bulk_deltaT expected high; verify that reverse metrics respond,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
upcomer_onset:salt3_jin_q0250w_hiins_onset_anchor,salt3_jin_q0250w_hiins_onset_anchor,2,small_q_x_insulation_matrix,salt3_jin,250,0.840336134454,hiins,low_to_near_onset,75,115,low_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",q_by_insulation_onset_matrix,transition_or_recirculating_side,same-window reverse metric in 0.02-0.10 band or paired rows bracketing <=0.02 and >=0.10 with overlapping Re/thermal-drive provenance,upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",q=250 W with high insulation is the low thermal-drive side of this Re band,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
upcomer_onset:salt3_jin_q0250w_baseline_onset_anchor,salt3_jin_q0250w_baseline_onset_anchor,2,small_q_x_insulation_matrix,salt3_jin,250,0.840336134454,baseline,low_to_near_onset,75,115,baseline_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",q_by_insulation_onset_matrix,transition_or_recirculating_side,same-window reverse metric in 0.02-0.10 band or paired rows bracketing <=0.02 and >=0.10 with overlapping Re/thermal-drive provenance,upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",q=250 W with baseline insulation is the center thermal-drive request,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
upcomer_onset:salt3_jin_q0250w_loins_onset_anchor,salt3_jin_q0250w_loins_onset_anchor,2,small_q_x_insulation_matrix,salt3_jin,250,0.840336134454,loins,low_to_near_onset,75,115,high_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",q_by_insulation_onset_matrix,transition_or_recirculating_side,same-window reverse metric in 0.02-0.10 band or paired rows bracketing <=0.02 and >=0.10 with overlapping Re/thermal-drive provenance,upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",q=250 W with low insulation is the high thermal-drive side of this Re band,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
upcomer_onset:salt3_jin_q0500w_hiins_onset_anchor,salt3_jin_q0500w_hiins_onset_anchor,2,small_q_x_insulation_matrix,salt3_jin,500,1.68067226891,hiins,near_onset,95,150,low_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",q_by_insulation_onset_matrix,transition_anchor,same-window reverse metric in 0.02-0.10 band or paired rows bracketing <=0.02 and >=0.10 with overlapping Re/thermal-drive provenance,upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",q=500 W with high insulation is the low thermal-drive side of this Re band,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
upcomer_onset:salt3_jin_q0500w_baseline_onset_anchor,salt3_jin_q0500w_baseline_onset_anchor,2,small_q_x_insulation_matrix,salt3_jin,500,1.68067226891,baseline,near_onset,95,150,baseline_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",q_by_insulation_onset_matrix,transition_anchor,same-window reverse metric in 0.02-0.10 band or paired rows bracketing <=0.02 and >=0.10 with overlapping Re/thermal-drive provenance,upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",q=500 W with baseline insulation is the center thermal-drive request,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
upcomer_onset:salt3_jin_q0500w_loins_onset_anchor,salt3_jin_q0500w_loins_onset_anchor,2,small_q_x_insulation_matrix,salt3_jin,500,1.68067226891,loins,near_onset,95,150,high_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",q_by_insulation_onset_matrix,transition_anchor,same-window reverse metric in 0.02-0.10 band or paired rows bracketing <=0.02 and >=0.10 with overlapping Re/thermal-drive provenance,upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",q=500 W with low insulation is the high thermal-drive side of this Re band,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
upcomer_onset:salt3_jin_q1000w_hiins_onset_anchor,salt3_jin_q1000w_hiins_onset_anchor,2,small_q_x_insulation_matrix,salt3_jin,1000,3.36134453782,hiins,upper_near_onset,150,220,low_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",q_by_insulation_onset_matrix,non_recirculating_or_transition_anchor,same-window reverse metric in 0.02-0.10 band or paired rows bracketing <=0.02 and >=0.10 with overlapping Re/thermal-drive provenance,upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",q=1000 W with high insulation is the low thermal-drive side of this Re band,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
upcomer_onset:salt3_jin_q1000w_baseline_onset_anchor,salt3_jin_q1000w_baseline_onset_anchor,2,small_q_x_insulation_matrix,salt3_jin,1000,3.36134453782,baseline,upper_near_onset,130,200,baseline_passive_wall_drive,"same-window wall_bulk_deltaT, Gr, Ra, Ri, and passive wall heat ledger",q_by_insulation_onset_matrix,transition_anchor,same-window reverse metric in 0.02-0.10 band or paired rows bracketing <=0.02 and >=0.10 with overlapping Re/thermal-drive provenance,upcomer pipe element between PM5 and PM10 stations; keep junction/stub heat as separate loss branches until admitted,"postprocess actual Re from same-window rho, mu(T_bulk), U_bulk, and hydraulic diameter; do not treat design band as evidence",q=1000 W with baseline insulation is the center thermal-drive request,false,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/upcomer_onset_anchor_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/evidence_gap_queue.csv
