required_output,category,source_type,extraction_location_or_method,same_window_required,required_for_acceptance,why_required,ordinary_fit_status,source_path
U,inherited_required_output,native field,sample on upcomer inlet/mid/outlet planes and segment centerlines,yes,yes,"velocity vector, throughflow, reverse mask, secondary velocity",not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
T,inherited_required_output,native field,same planes plus core/wall-band samples,yes,yes,bulk/core temperature and wall-core Delta T,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
wallHeatFlux,inherited_required_output,wall field/function object,patch-integrated and local wall-band extraction,yes,yes,source/sink ledger and wall heat-balance gate,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
Re,inherited_required_output,derived,rho*U_bulk*D_h/mu(T_bulk),yes,yes,throughflow regime coordinate,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
Pr,inherited_required_output,derived,mu(T_bulk)*Cp(T_bulk)/k(T_bulk),yes,yes,thermal property coordinate,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
Ri,inherited_required_output,derived,Gr/Re^2 using documented characteristic length,yes,yes,mixed-convection/onset coordinate,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
Gr,inherited_required_output,derived,g*beta*DeltaT*L^3/nu^2,yes,yes,buoyancy coordinate,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
Ra,inherited_required_output,derived,Gr*Pr,yes,yes,buoyancy-thermal coordinate,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
Gz,inherited_required_output,derived,Re*Pr*D_h/x_from_reset,yes,yes,thermal development coordinate,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
wall_core_deltaT,inherited_required_output,derived,T_wall_band - T_core on each matched plane,yes,yes,cell-driving thermal contrast,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
reverse_area_fraction,inherited_required_output,derived from U dot n,area fraction with local reverse axial velocity,yes,yes,cell/onset classifier,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
reverse_mass_fraction,inherited_required_output,derived from rho U dot n,reverse mass flux / total absolute mass flux,yes,yes,material backflow classifier,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
secondary_velocity_fraction,inherited_required_output,derived from U,mean transverse speed / mean axial speed on plane,yes,yes,recirculation-cell strength proxy,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
steady_window_status,inherited_required_output,time-window analysis,"last retained windows for mdot, heat residual, T probes, wall T",yes,yes,admission gate for terminal or quasi-steady use,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
mesh_time_uncertainty,inherited_required_output,mesh/time plan,coarse pilot; medium/fine endpoints; window uncertainty rows,yes,yes,do not fit coefficients without uncertainty bounds,not_sufficient_for_ordinary_fit_without_all_gates,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
pressure_metrics,added_request_hardening,derived_from_admitted_pressure_basis_or_diagnostic_with_label,same retained upcomer section planes and pressure definition used for onset metrics,yes,yes,prevents pressure residual or component K claims from being detached from the recirculation/onset state,not_sufficient_for_ordinary_fit_without_all_gates,request_hardening_added_contract
heat_ledger,added_request_hardening,derived from wallHeatFlux and setup source/sink audit,"same retained window; signed heater, passive wall, cooler, and upcomer/test-section heat rows",yes,yes,prevents hidden heat-balance residuals from being absorbed into an upcomer coefficient,not_sufficient_for_ordinary_fit_without_all_gates,request_hardening_added_contract
wall_bulk_deltaT,added_request_hardening,derived from T field,same upcomer inlet/mid/outlet planes; wall-band minus bulk/core temperature definition recorded,yes,yes,requested same-window thermal drive for onset and hybrid model features,not_sufficient_for_ordinary_fit_without_all_gates,request_hardening_added_contract
