request_id,plane_set,case_scope,quantity,metric,definition,required_for,admission_gate,minimum_acceptance,postprocessor_hint,source_paths
PM5:RAF,PM5,all requested upcomer-onset anchor cases,reverse_area_fraction,RAF,area fraction with U dot n < 0,onset classifier,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
PM5:RMF,PM5,all requested upcomer-onset anchor cases,reverse_mass_fraction,RMF,reverse signed mass flux divided by total absolute mass flux,material backflow classifier,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
PM5:SVF,PM5,all requested upcomer-onset anchor cases,secondary_velocity_fraction,SVF,mean transverse speed divided by mean axial speed,cell strength proxy,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
PM5:backflow_fraction,PM5,all requested upcomer-onset anchor cases,backflow_fraction,backflow_fraction,legacy cell-count/area fraction when available,bridge to existing upcomer-onset evidence,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
PM5:Re_upcomer,PM5,all requested upcomer-onset anchor cases,Re,Re_upcomer,rho*U_bulk*D_h/mu(T_bulk),streamwise coordinate for 1D model,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
PM5:Pr,PM5,all requested upcomer-onset anchor cases,Pr,Pr,mu*cp/k,property coordinate,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
PM5:Ri,PM5,all requested upcomer-onset anchor cases,Ri,Ri,Gr/Re^2 using documented L,onset coordinate,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
PM5:Gr,PM5,all requested upcomer-onset anchor cases,Gr,Gr,g*beta*wall_bulk_deltaT*L^3/nu^2,thermal-drive coordinate,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
PM5:Ra,PM5,all requested upcomer-onset anchor cases,Ra,Ra,Gr*Pr,thermal-drive coordinate,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
PM5:Gz,PM5,all requested upcomer-onset anchor cases,Gz,Gz,Re*Pr*D_h/x_from_reset,development coordinate,"same retained time window, same plane geometry, same wall-band definition, uncertainty reported",required for main evidence; missing value keeps row diagnostic only,emit both per-plane samples and paired PM5-PM10 ledger rows keyed by case_key/window_id/mesh_id,work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_cfd_anchor_matrix/required_output_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/anchor_inventory.csv;work_products/2026-07/2026-07-17/2026-07-17_upcomer_onset_data_sparsity_progress/same_window_field_gap_table.csv
