request_order,case_key,study_group,salt_anchor,parent_source_id,target_heater_power_W,target_heater_patch_Q_W,q_ratio_vs_salt3_nominal,insulation_mode,passive_insulated_h_multiplier,active_patch_mutation_required,cooler_policy,target_regime,priority,readiness_class,launch_allowed_in_this_task,launch_gate,requested_action,postprocessing_contract,scientific_use,forbidden_use,ordinary_fit_gate,duplicate_guardrail,source_path
1,salt3_jin_q1500w_hiins_onset_anchor,sentinel_cell_off,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1500,500,5.04201680672,hiins,0.5,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",high_Re_high_insulation_cell_off_target,1,after_high_heat_preflight,false,wait_for_AGENT519_or_successor_terminal_high_heat_classification_then_claim_separate_scheduler_row,prepare_first_wave_sentinel_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
2,salt3_jin_q0150w_loins_onset_anchor,sentinel_cell_max,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,150,50,0.504201680672,loins,2,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",low_Q_low_insulation_cell_max_target,1,after_high_heat_preflight,false,wait_for_AGENT519_or_successor_terminal_high_heat_classification_then_claim_separate_scheduler_row,prepare_first_wave_sentinel_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
3,salt3_jin_q0250w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,250,83.3333333333,0.840336134454,baseline,1,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,future_compute_heavy,false,launch_only_after_sentinel_gap_confirmed_and_separate_scheduler_row_claimed,hold_as_second_wave_matrix_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
4,salt3_jin_q0250w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,250,83.3333333333,0.840336134454,hiins,0.5,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,future_compute_heavy,false,launch_only_after_sentinel_gap_confirmed_and_separate_scheduler_row_claimed,hold_as_second_wave_matrix_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
5,salt3_jin_q0250w_loins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,250,83.3333333333,0.840336134454,loins,2,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,future_compute_heavy,false,launch_only_after_sentinel_gap_confirmed_and_separate_scheduler_row_claimed,hold_as_second_wave_matrix_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
6,salt3_jin_q0500w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,500,166.666666667,1.68067226891,baseline,1,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,future_compute_heavy,false,launch_only_after_sentinel_gap_confirmed_and_separate_scheduler_row_claimed,hold_as_second_wave_matrix_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
7,salt3_jin_q0500w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,500,166.666666667,1.68067226891,hiins,0.5,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,future_compute_heavy,false,launch_only_after_sentinel_gap_confirmed_and_separate_scheduler_row_claimed,hold_as_second_wave_matrix_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
8,salt3_jin_q0500w_loins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,500,166.666666667,1.68067226891,loins,2,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,future_compute_heavy,false,launch_only_after_sentinel_gap_confirmed_and_separate_scheduler_row_claimed,hold_as_second_wave_matrix_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
9,salt3_jin_q1000w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1000,333.333333333,3.36134453782,baseline,1,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,future_compute_heavy,false,launch_only_after_sentinel_gap_confirmed_and_separate_scheduler_row_claimed,hold_as_second_wave_matrix_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
10,salt3_jin_q1000w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1000,333.333333333,3.36134453782,hiins,0.5,0/T root and processors64 restart T,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",q_by_insulation_onset_matrix,2,future_compute_heavy,false,launch_only_after_sentinel_gap_confirmed_and_separate_scheduler_row_claimed,hold_as_second_wave_matrix_request,postprocessing_output_contract.csv;same_window_contract.csv;mesh_time_uncertainty_request.csv,onset_or_regime_anchor_only_not_ordinary_Nu_f_D_K_fit,ordinary_upcomer_Nu_fit;ordinary_upcomer_f_D_fit;component_K_fit,blocked_until_backflow_le_0p02_Ri_lt_0p30_same_window_fields_and_mesh_time_UQ,do_not_submit_duplicate_high_heat_corrected_Q_PM5_PM10_or_onset_jobs,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
