source_path,exists,role
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv,True,input
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/terminal_monitor_after_3293924/live_salt_sanity_monitor.csv,True,input
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/corrected_salt_preflight_audit.csv,True,input
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/harvest_job_manifest.csv,True,input
jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.out,True,input
jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.err,True,input
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.out,True,input
work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.err,True,input
work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv,True,input
work_products/2026-07/2026-07-15/2026-07-15_agent373_hydraulic_chain_node_verification/pm5_matched_pressure_upcomer_evidence_rollup.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_lo10q/salt2_jin_lo10q_corrected/aggregates/case_summary.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_lo10q/salt2_jin_lo10q_corrected/aggregates/wall_heat_flux_grouped.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_lo10q/salt2_jin_lo10q_corrected/aggregates/postprocessing_case_long.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_lo10q/salt2_jin_lo10q_corrected/aggregates/postprocessing.sqlite,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_hi10q/salt2_jin_hi10q_corrected/aggregates/case_summary.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_hi10q/salt2_jin_hi10q_corrected/aggregates/wall_heat_flux_grouped.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_hi10q/salt2_jin_hi10q_corrected/aggregates/postprocessing_case_long.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_hi10q/salt2_jin_hi10q_corrected/aggregates/postprocessing.sqlite,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_lo10q/salt4_jin_lo10q_corrected/aggregates/case_summary.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_lo10q/salt4_jin_lo10q_corrected/aggregates/wall_heat_flux_grouped.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_lo10q/salt4_jin_lo10q_corrected/aggregates/postprocessing_case_long.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_lo10q/salt4_jin_lo10q_corrected/aggregates/postprocessing.sqlite,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_hi10q/salt4_jin_hi10q_corrected/aggregates/case_summary.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_hi10q/salt4_jin_hi10q_corrected/aggregates/wall_heat_flux_grouped.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_hi10q/salt4_jin_hi10q_corrected/aggregates/postprocessing_case_long.csv,True,input
registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_hi10q/salt4_jin_hi10q_corrected/aggregates/postprocessing.sqlite,True,input
