independence_group_id,case_id,quantity,units,coarse_value,medium_value,fine_value,coarse_gate_verdict,medium_gate_verdict,fine_gate_verdict,triplet_status,reason
salt_test_2_jin_mesh_family,salt_test_2_jin,mdot_abs_mean_kg_s,kg/s,0.013156806406,0.0129668813701,0.0128712167152,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,partial_needs_coarse_reconciliation,medium_and_fine_ready_but_external_coarse_must_reconcile_with_mainline_continuation
salt_test_2_jin_mesh_family,salt_test_2_jin,wall_gross_duty_w,W,486.822801312,488.79763347,488.996319333,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,partial_needs_coarse_reconciliation,medium_and_fine_ready_but_external_coarse_must_reconcile_with_mainline_continuation
salt_test_2_jin_mesh_family,salt_test_2_jin,wall_heat_in_w,W,243.597268488,243.73575296,243.74856566,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,partial_needs_coarse_reconciliation,medium_and_fine_ready_but_external_coarse_must_reconcile_with_mainline_continuation
salt_test_2_jin_mesh_family,salt_test_2_jin,wall_heat_out_w,W,-243.225532824,-245.06188051,-245.247753673,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,partial_needs_coarse_reconciliation,medium_and_fine_ready_but_external_coarse_must_reconcile_with_mainline_continuation
salt_test_2_jin_mesh_family,salt_test_2_jin,wall_net_q_w,W,0.371735664162,-1.32612755048,-1.49918801331,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,partial_needs_coarse_reconciliation,medium_and_fine_ready_but_external_coarse_must_reconcile_with_mainline_continuation
salt_test_4_jin_mesh_family,salt_test_4_jin,mdot_abs_mean_kg_s,kg/s,0.0170430596067,0.0164757782717,0.0162611959151,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,partial_needs_continuation_or_gate,at_least_one_level_not_admitted_for_gci_input
salt_test_4_jin_mesh_family,salt_test_4_jin,wall_gross_duty_w,W,620.898781361,621.378216461,622.751892779,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,partial_needs_continuation_or_gate,at_least_one_level_not_admitted_for_gci_input
salt_test_4_jin_mesh_family,salt_test_4_jin,wall_heat_in_w,W,310.59053679,310.647957402,310.720665306,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,partial_needs_continuation_or_gate,at_least_one_level_not_admitted_for_gci_input
salt_test_4_jin_mesh_family,salt_test_4_jin,wall_heat_out_w,W,-310.308244572,-310.730259059,-312.031227473,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,partial_needs_continuation_or_gate,at_least_one_level_not_admitted_for_gci_input
salt_test_4_jin_mesh_family,salt_test_4_jin,wall_net_q_w,W,0.282292218219,-0.0823016571025,-1.31056216717,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,partial_needs_continuation_or_gate,at_least_one_level_not_admitted_for_gci_input
