frozen_case_label,frozen_source_id,comparison_class,one_d_case_label,scenario,sensor,kind,predicted_k,frozen_reference_k,error_k,abs_error_k,frozen_reference_source_field,validation_predicted_source_kind
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP1,TP,510.6418502515338,456.23397797692303,54.40787227461078,54.40787227461078,t_core_k,bulk_temperature_arc_interpolation
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP3,TP,515.038260024636,452.68838296615377,62.34987705848221,62.34987705848221,t_core_k,loop_start_bulk_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP4,TP,514.4226071981991,454.93655372307694,59.48605347512216,59.48605347512216,t_core_k,bulk_temperature_arc_interpolation
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP5,TP,513.648450205786,455.8548738307692,57.79357637501687,57.79357637501687,t_core_k,bulk_temperature_arc_interpolation
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP6,TP,513.0400549221254,457.1506776846154,55.88937723750996,55.88937723750996,t_core_k,bulk_temperature_arc_interpolation
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW1,TW,508.7271595363796,472.91810159853696,35.809057937842624,35.809057937842624,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW10,TW,506.8529337819812,438.89524527774245,67.95768850423877,67.95768850423877,t_wall_area_avg_k,refined_parent_segment_outer_surface_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW11,TW,509.6215545852276,450.3206073978441,59.300947187383485,59.300947187383485,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW2,TW,508.17172826973933,468.50447576694796,39.66725250279137,39.66725250279137,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW3,TW,507.99416119080826,446.5588947752787,61.435266415529554,61.435266415529554,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW4,TW,509.0646747703418,447.36395536597286,61.700719404368954,61.700719404368954,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW5,TW,510.3440105262647,447.80597166825055,62.53803885801415,62.53803885801415,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW6,TW,512.0098884496232,448.47872271214493,63.53116573747826,63.53116573747826,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW7,TW,512.9795072859016,457.0594540183341,55.92005326756748,55.92005326756748,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW8,TW,511.6112988045149,456.41789644815145,55.193402356363436,55.193402356363436,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,comparison_candidate,Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW9,TW,511.16365758294387,441.72240098738337,69.4412565955605,69.4412565955605,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP1,TP,493.87895585202045,431.54809989182695,62.3308559601935,62.3308559601935,t_core_k,bulk_temperature_arc_interpolation
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP3,TP,498.32905756715985,428.20565521153844,70.12340235562141,70.12340235562141,t_core_k,loop_start_bulk_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP4,TP,497.6911959419477,430.85402488461534,66.83717105733234,66.83717105733234,t_core_k,bulk_temperature_arc_interpolation
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP5,TP,497.0389005670497,431.7953534903846,65.2435470766651,65.2435470766651,t_core_k,bulk_temperature_arc_interpolation
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP6,TP,496.4083951851529,433.21031838461545,63.19807680053748,63.19807680053748,t_core_k,bulk_temperature_arc_interpolation
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW1,TW,492.04291554339517,448.7815497890379,43.26136575435726,43.26136575435726,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW10,TW,490.2813585329434,414.88400660484274,75.39735192810065,75.39735192810065,t_wall_area_avg_k,refined_parent_segment_outer_surface_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW11,TW,492.957091461519,427.13401653464746,65.82307492687153,65.82307492687153,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW2,TW,491.48594652488157,443.9031935866814,47.582752938200144,47.582752938200144,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW3,TW,491.28561883246374,423.5061704783801,67.77944835408363,67.77944835408363,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW4,TW,492.36924863466635,424.00826398514965,68.3609846495167,68.3609846495167,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW5,TW,493.6869653821459,424.75974679065416,68.92721859149174,68.92721859149174,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW6,TW,495.373294966053,425.72250619886427,69.65078876718871,69.65078876718871,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW7,TW,496.36972406472415,432.02336607170867,64.34635799301549,64.34635799301549,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW8,TW,495.09494644668007,432.3781991226833,62.71674732399674,62.71674732399674,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,convergence_audit_required,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW9,TW,494.60315089778027,417.4791834711414,77.12396742663884,77.12396742663884,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP1,TP,493.87895585202045,431.6387118846153,62.24024396740515,62.24024396740515,t_core_k,bulk_temperature_arc_interpolation
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP3,TP,498.32905756715985,428.10358083846154,70.22547672869831,70.22547672869831,t_core_k,loop_start_bulk_temperature
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP4,TP,497.6911959419477,431.54808915384615,66.14310678810153,66.14310678810153,t_core_k,bulk_temperature_arc_interpolation
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP5,TP,497.0389005670497,432.36417473076926,64.67472583628046,64.67472583628046,t_core_k,bulk_temperature_arc_interpolation
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TP6,TP,496.4083951851529,433.80720399999996,62.60119118515297,62.60119118515297,t_core_k,bulk_temperature_arc_interpolation
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW1,TW,492.04291554339517,449.3475017752339,42.695413768161245,42.695413768161245,t_wall_area_avg_k,refined_parent_segment_pipe_wall_temperature
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,TW10,TW,490.2813585329434,415.0205396910173,75.2608188419261,75.2608188419261,t_wall_area_avg_k,refined_parent_segment_outer_surface_temperature
