case_id,input_name,input_kind,value,present,blocks_harvest,blocking_reason
salt_2,cell_vtk,file,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt2_smoke/vtk/salt_2_cell_fields.vtk,true,false,
salt_2,interface_vtk,file,MISSING_EXCHANGE_INTERFACE_VTK,false,true,missing_interface_vtk
salt_2,wall_vtk,file,MISSING_WALL_VTK,false,true,missing_wall_vtk
salt_2,volume_csv,file,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_2_cell_volumes.csv,true,false,
salt_2,throughflow_normal,vector,;;,false,true,missing_throughflow_normal
salt_2,interface_normal,vector,;;,false,true,missing_interface_normal
salt_3,cell_vtk,file,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_3_cell_fields.vtk,true,false,
salt_3,interface_vtk,file,MISSING_EXCHANGE_INTERFACE_VTK,false,true,missing_interface_vtk
salt_3,wall_vtk,file,MISSING_WALL_VTK,false,true,missing_wall_vtk
salt_3,volume_csv,file,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_3_cell_volumes.csv,true,false,
salt_3,throughflow_normal,vector,;;,false,true,missing_throughflow_normal
salt_3,interface_normal,vector,;;,false,true,missing_interface_normal
salt_4,cell_vtk,file,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_4_cell_fields.vtk,true,false,
salt_4,interface_vtk,file,MISSING_EXCHANGE_INTERFACE_VTK,false,true,missing_interface_vtk
salt_4,wall_vtk,file,MISSING_WALL_VTK,false,true,missing_wall_vtk
salt_4,volume_csv,file,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_4_cell_volumes.csv,true,false,
salt_4,throughflow_normal,vector,;;,false,true,missing_throughflow_normal
salt_4,interface_normal,vector,;;,false,true,missing_interface_normal
