source_id,case_id,one_d_segment,Q_jacket_W,Q_passive_convection_W,Q_radiation_bound_W,Q_heater_realized_W,Q_heater_imposed_W,heater_efficiency_realized_over_imposed,Q_wall_storage_W,Q_residual_W,internal_Nu_admission,UA_or_emissivity_admission,quality_flags
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,,0,0,inseparable_in_rcExternalTemperature_wallHeatFlux,0,0,,not_observed_steady_window_assumed_small_or_residual,,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_enthalpy_residual_match
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,-148.71869,0,inseparable_in_rcExternalTemperature_wallHeatFlux,0,-136.35074,-0,not_observed_steady_window_assumed_small_or_residual,-87.5404,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,0,-23.117314,inseparable_in_rcExternalTemperature_wallHeatFlux,0,0,,not_observed_steady_window_assumed_small_or_residual,-109.988,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,0,-39.12835,inseparable_in_rcExternalTemperature_wallHeatFlux,0,0,,not_observed_steady_window_assumed_small_or_residual,,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,0,0,inseparable_in_rcExternalTemperature_wallHeatFlux,236.85096,265.7,0.89142249,not_observed_steady_window_assumed_small_or_residual,-51.5096,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,0,-25.760341,inseparable_in_rcExternalTemperature_wallHeatFlux,0,37,0,not_observed_steady_window_assumed_small_or_residual,-162.437,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,,0,0,inseparable_in_rcExternalTemperature_wallHeatFlux,0,0,,not_observed_steady_window_assumed_small_or_residual,,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_enthalpy_residual_match
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,-164.34035,0,inseparable_in_rcExternalTemperature_wallHeatFlux,0,-150.76964,-0,not_observed_steady_window_assumed_small_or_residual,-81.2753,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,0,-25.34786,inseparable_in_rcExternalTemperature_wallHeatFlux,0,0,,not_observed_steady_window_assumed_small_or_residual,-135.569,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,0,-43.234691,inseparable_in_rcExternalTemperature_wallHeatFlux,0,0,,not_observed_steady_window_assumed_small_or_residual,,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,0,0,inseparable_in_rcExternalTemperature_wallHeatFlux,265.82811,297.5,0.89353987,not_observed_steady_window_assumed_small_or_residual,-71.0865,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,0,-32.618907,inseparable_in_rcExternalTemperature_wallHeatFlux,0,37,0,not_observed_steady_window_assumed_small_or_residual,44.5631,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,,0,0,inseparable_in_rcExternalTemperature_wallHeatFlux,0,0,,not_observed_steady_window_assumed_small_or_residual,,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_enthalpy_residual_match
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,-184.31391,0,inseparable_in_rcExternalTemperature_wallHeatFlux,0,-169.22682,-0,not_observed_steady_window_assumed_small_or_residual,-71.7842,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,downcomer,0,-28.124643,inseparable_in_rcExternalTemperature_wallHeatFlux,0,0,,not_observed_steady_window_assumed_small_or_residual,-162.689,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction,0,-48.485216,inseparable_in_rcExternalTemperature_wallHeatFlux,0,0,,not_observed_steady_window_assumed_small_or_residual,,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,0,0,inseparable_in_rcExternalTemperature_wallHeatFlux,302.33158,337.6,0.89553193,not_observed_steady_window_assumed_small_or_residual,-98.2377,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,0,-41.328587,inseparable_in_rcExternalTemperature_wallHeatFlux,0,37,0,not_observed_steady_window_assumed_small_or_residual,36.682,blocked_from_absorbing_external_heat_loss,envelope_labeled_sensitivity_only,separated_terms_from_existing_wallHeatFlux;no_new_extraction;residual_from_enthalpy_package
