decision_row_id,source_group,case_family,mesh_level,branch,qoi,label,gate_status,reason,ordinary_flow_status,same_qoi_mesh_uq_status,static_pressure_basis_status,f3_comparison_status,source_paths,component_k_admitted,cluster_k_admitted,f6_fit_performed,clipped_k,global_multiplier_applied_by_this_task
F6-GATE-STAGEA-001,stage_a_harvest_qa,salt_2_medium_fine,fine,right_leg,right_leg__s03->right_leg__s01,diagnostic,fail,ordinary_flow_gate_failed_high_RAF_or_RMF,fail,blocked,pass_stage_a_faces_only,not_evaluated_no_ordinary_candidate,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv,false,false,false,false,false
F6-GATE-STAGEA-002,stage_a_harvest_qa,salt_2_medium_fine,fine,test_section_span,test_section_span__s03->test_section_span__s01,diagnostic,fail,ordinary_flow_gate_failed_high_RAF_or_RMF,fail,blocked,pass_stage_a_faces_only,not_evaluated_no_ordinary_candidate,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv,false,false,false,false,false
F6-GATE-STAGEA-003,stage_a_harvest_qa,salt_2_medium_fine,medium,right_leg,right_leg__s03->right_leg__s01,diagnostic,fail,ordinary_flow_gate_failed_high_RAF_or_RMF,fail,blocked,pass_stage_a_faces_only,not_evaluated_no_ordinary_candidate,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv,false,false,false,false,false
F6-GATE-STAGEA-004,stage_a_harvest_qa,salt_2_medium_fine,medium,test_section_span,test_section_span__s03->test_section_span__s01,diagnostic,fail,ordinary_flow_gate_failed_high_RAF_or_RMF,fail,blocked,pass_stage_a_faces_only,not_evaluated_no_ordinary_candidate,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv,false,false,false,false,false
F6-GATE-COARSE-001,coarse_path_uq_repair,salt_2_medium_fine_plus_repaired_coarse_context,coarse_context,right_leg,right_leg__s03->right_leg__s01,diagnostic,blocked,Stage A ordinary-flow gate fails and repaired coarse rows lack static p for full same-QOI F6 pressure basis,fail_or_not_sampled,blocked_by_recirc_and_missing_coarse_static_p,blocked_missing_static_p,not_evaluated_same_qoi_UQ_blocked,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_path_uq_repair/mesh_uq_implication.csv,false,false,false,false,false
F6-GATE-COARSE-002,coarse_path_uq_repair,salt_2_medium_fine_plus_repaired_coarse_context,coarse_context,test_section_span,test_section_span__s03->test_section_span__s01,diagnostic,blocked,Stage A ordinary-flow gate fails and repaired coarse rows lack static p for full same-QOI F6 pressure basis,fail_or_not_sampled,blocked_by_recirc_and_missing_coarse_static_p,blocked_missing_static_p,not_evaluated_same_qoi_UQ_blocked,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_path_uq_repair/mesh_uq_implication.csv,false,false,false,false,false
F6-GATE-COARSE-003,coarse_path_uq_repair,salt_3_coarse_only_context,coarse_context,right_leg,right_leg__s03->right_leg__s01,diagnostic,blocked,coarse-only cross-case context cannot provide same-QOI mesh/GCI by itself,fail_or_not_sampled,not_same_qoi_mesh_family_coarse_only,blocked_missing_static_p,not_evaluated_same_qoi_UQ_blocked,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_path_uq_repair/mesh_uq_implication.csv,false,false,false,false,false
F6-GATE-COARSE-004,coarse_path_uq_repair,salt_3_coarse_only_context,coarse_context,test_section_span,test_section_span__s03->test_section_span__s01,diagnostic,blocked,coarse-only cross-case context cannot provide same-QOI mesh/GCI by itself,fail_or_not_sampled,not_same_qoi_mesh_family_coarse_only,blocked_missing_static_p,not_evaluated_same_qoi_UQ_blocked,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_path_uq_repair/mesh_uq_implication.csv,false,false,false,false,false
F6-GATE-COARSE-005,coarse_path_uq_repair,salt_4_coarse_only_context,coarse_context,right_leg,right_leg__s03->right_leg__s01,diagnostic,blocked,coarse-only cross-case context cannot provide same-QOI mesh/GCI by itself,fail_or_not_sampled,not_same_qoi_mesh_family_coarse_only,blocked_missing_static_p,not_evaluated_same_qoi_UQ_blocked,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_path_uq_repair/mesh_uq_implication.csv,false,false,false,false,false
F6-GATE-COARSE-006,coarse_path_uq_repair,salt_4_coarse_only_context,coarse_context,test_section_span,test_section_span__s03->test_section_span__s01,diagnostic,blocked,coarse-only cross-case context cannot provide same-QOI mesh/GCI by itself,fail_or_not_sampled,not_same_qoi_mesh_family_coarse_only,blocked_missing_static_p,not_evaluated_same_qoi_UQ_blocked,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_path_uq_repair/mesh_uq_implication.csv,false,false,false,false,false
