rank,target_table_or_figure,target_chapter_or_appendix,current_source_or_status,needed_update,producer_or_board_row,import_timing,claim_boundary
1,writer_control_surface_index,all chapters,Missing from thesis evidence directory,Create one start-here table linking chapter matrix ledger crosswalks overclaim bans and source index,TODO-THESIS-LATEX-EVIDENCE-PACKET-WRITER-CONTROL-SURFACE-2026-07-22,now,Routing artifact only; not scientific result
2,Ch3 CFD case provenance and QoI table,Ch3; appendix,work_products/2026-07/2026-07-22/2026-07-22_thesis_ch3_cfd_provenance_qoi_compact_packet,Import compact table set into thesis evidence,TODO-THESIS-LATEX-EVIDENCE-PACKET-CH3-CFD-DATABASE-2026-07-22,now,CFD reference evidence not experimental validation
3,compact numerical claims ledger,all numerical prose,work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_numerical_claims_ledger/compact_numerical_claims_ledger.csv,Check whether completed S13 pressure source/property packets add exact values not yet represented,TODO-THESIS-TABLES-LEDGERS-POST-STUDY-REFRESH-2026-07-22,now_or_after_refresh,Do not add numbers without source paths split role admission label and forbidden overclaim
4,source-number index,all numerical prose,work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_numerical_claims_ledger/source_number_index.csv,Add source paths for completed latest packets if missing,TODO-THESIS-TABLES-LEDGERS-POST-STUDY-REFRESH-2026-07-22,now_or_after_refresh,Index only; no new science
5,S13 upcomer mesh/GCI table,Ch7.3; Ch8,work_products/2026-07/2026-07-22/2026-07-22_thesis_s13_mesh_gci_upcomer_exchange_evidence_packet,Import mesh-level QOI medium/fine delta temporal-vs-mesh GCI disposition and predictive-path status,TODO-THESIS-LATEX-EVIDENCE-PACKET-S13-MESH-GCI-UPCOMER-2026-07-22,now,Formal GCI fail-closed; diagnostic support only
6,pressure ordinary-basis failure table and gate waterfall,Ch7.1; Ch8.3,work_products/2026-07/2026-07-22/2026-07-22_thesis_pressure_f6_ordinary_basis_failure_packet,Import residual table ordinary-basis failure matrix and gate waterfall,TODO-THESIS-LATEX-EVIDENCE-PACKET-PRESSURE-F6-ORDINARY-BASIS-2026-07-22,now,No component-K/F6 admission or clipped K
7,source/property release unblock table,Ch6; Ch8,work_products/2026-07/2026-07-22/2026-07-22_thesis_source_property_release_unblock_study,Import release unblock matrix candidate release path and protected runtime legality table,TODO-THESIS-LATEX-EVIDENCE-PACKET-SOURCE-PROPERTY-UNBLOCK-2026-07-22,now,Release-ready rows remain zero; no freeze
8,figure asset selected count audit,appendix; figure plan,Active TODO-THESIS-FIGURE-IMPORT-COUNT-AUDIT-2026-07-22,Resolve summary 12 versus selected 9 and produce copy/no-copy manifest,TODO-THESIS-FIGURE-IMPORT-COUNT-AUDIT-2026-07-22,after_active_closeout,No broad figure tree copy; captions must preserve claim limits
9,thermal residual-owner waterfall and heat path table,Ch7.2; Ch8.3,Open TODO-THESIS-THERMAL-RESIDUAL-OWNER-FIGURE-PACKET-2026-07-22,Build visual sequence from D2 TP projection TW residual D3 wall shape D4 source placement passive hA and source/sink evidence,TODO-THESIS-THERMAL-RESIDUAL-OWNER-FIGURE-PACKET-2026-07-22,after_packet_closeout,No residual absorption into internal Nu
10,sensor projection appendix tables,Ch6; Ch8; appendix,Active TODO-THESIS-SENSOR-PROJECTION-APPENDIX-TABLE-PACKET-2026-07-22,Import appendix-ready bounded/mapped/excluded sensor tables and runtime-temperature audit,TODO-THESIS-SENSOR-PROJECTION-APPENDIX-TABLE-PACKET-2026-07-22,after_active_closeout,All target temperatures remain score-only
11,closed-CV recirculation fraction table,Ch7.3; appendix,Open TODO-THESIS-RECIRCULATION-FRACTION-CLOSED-CV-STUDY-2026-07-22,Quantify same-CV recirculation fraction or preserve fail-closed proxy status,TODO-THESIS-RECIRCULATION-FRACTION-CLOSED-CV-STUDY-2026-07-22,after_science_closeout,No ordinary upcomer closure admission
12,modeling information inventory,Ch5; Ch6; appendix,Existing glossary imported but paper-outline-specific inventory missing,Build model slot equation assumption runtime-input split/admission and figure/table target inventory,TODO-THESIS-PAPER-OUTLINE-MODELING-INFORMATION-PACKET-2026-07-22,after_claim,Technical scaffold only; no coefficient admission

