source_id,case_id,patch_group,span,patch_names,wallHeatFlux_integral_W,internal_convection_resistance_m2K_W,wall_conduction_resistance_m2K_W,external_convection_resistance_m2K_W,external_radiation_resistance_m2K_W,total_boundary_resistance_m2K_W,network_terms_resolved,radiation_output_term,radiation_present,radiation_caveat,unresolved_network_terms
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,cooling_branch,"pipeleg_upper_01_straight, pipeleg_upper_02_bend, pipeleg_upper_03_straight, pipeleg_upper_07_straight, pipeleg_upper_08_bend, pipeleg_upper_09_straight",-12.3679,-0.004417,0.760569,0.251264,absent_no_qr_output,1.011833,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooler,cooling_branch,"pipeleg_upper_04_reducer, pipeleg_upper_05_cooler, pipeleg_upper_06_reducer",-136.3507,0.002003,,,absent_no_qr_output,,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,wall_conduction;external_convection;radiation_absent_no_qr_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,downcomer,"pipeleg_right_01_lower, pipeleg_right_02_middle, pipeleg_right_03_upper",-23.1173,0.013248,0.769171,0.292066,absent_no_qr_output,1.061238,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_other,junction,"junction_lower_left, junction_lower_left_left_extension, junction_lower_left_left_step, junction_lower_left_left_stub, junction_lower_left_lower_extension, junction_lower_left_lower_stub, junction_lower_right, junction_lower_right_lower_extension, junction_lower_right_lower_stub, junction_lower_right_right_extension, junction_lower_right_right_step, junction_lower_right_right_stub, junction_upper_left, junction_upper_left_upper_extension, junction_upper_left_upper_stub, junction_upper_right, junction_upper_right_right_extension, junction_upper_right_right_step, junction_upper_right_right_stub, junction_upper_right_upper_extension, junction_upper_right_upper_stub, ncc_junction_lower_left_right_end, ncc_junction_lower_left_upper_start, ncc_junction_lower_right_left_start, ncc_junction_lower_right_upper_end, ncc_junction_upper_left_lower_end, ncc_junction_upper_left_right_start, ncc_junction_upper_right_left_end, ncc_junction_upper_right_lower_start",-39.1283,,0.792361,0.220811,absent_no_qr_output,1.013173,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,internal_convection;radiation_absent_no_qr_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,lower_leg,"pipeleg_lower_01_fitting, pipeleg_lower_02_straight, pipeleg_lower_03_bend, pipeleg_lower_07_bend, pipeleg_lower_08_straight, pipeleg_lower_09_fitting",-6.6681,-0.011908,0.758157,0.261345,absent_no_qr_output,1.019502,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,heater,lower_leg,"pipeleg_lower_04_straight, pipeleg_lower_05_straight, pipeleg_lower_06_straight",243.5191,0.003531,0.733276,0.249844,absent_no_qr_output,0.98312,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,upcomer,"pipeleg_left_01_upper, pipeleg_left_02_connector, pipeleg_left_03_fitting, pipeleg_left_05_fitting, pipeleg_left_06_connector, pipeleg_left_07_lower",-20.0805,0.013494,0.75456,0.280054,absent_no_qr_output,1.034614,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section,upcomer,pipeleg_left_04_test_section,-5.6798,0.010951,0.001571,0.13365,absent_no_qr_output,0.135221,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,cooling_branch,"pipeleg_upper_01_straight, pipeleg_upper_02_bend, pipeleg_upper_03_straight, pipeleg_upper_07_straight, pipeleg_upper_08_bend, pipeleg_upper_09_straight",-13.5707,-0.003796,0.73799,0.246824,absent_no_qr_output,0.984813,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,radiation_absent_no_qr_output
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooler,cooling_branch,"pipeleg_upper_04_reducer, pipeleg_upper_05_cooler, pipeleg_upper_06_reducer",-150.7696,0.00198,,,absent_no_qr_output,,wallHeatFlux_interface;effective_internal_convection_from_wall_T_minus_bulk_T;wall_conduction_from_bc_thickness_kappa_layers;external_convection_from_bc_h;junction_losses_grouped_by_junction_other;radiation_absent_no_qr_output,,False,surface_emissivity_bc_metadata_present_but_no_qr_radiation_output,wall_conduction;external_convection;radiation_absent_no_qr_output
