source_id,case_id,physical_segment,component_spans,inlet_interface,outlet_interface,bracket_status,fit_use_status,notes
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,lower_leg,lower_leg:s04,lower_leg:s00,bracketed_full_span_interfaces,validation_diagnostic,Full lower-leg control volume; heater patch is not separately bracketed inside the span.
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,upper_leg,upper_leg:s00,upper_leg:s04,bracketed_upper_leg_but_partial_cooler_sink,validation_diagnostic,Available upper-leg endpoints do not isolate the cooler/reducer sink; July 8 span package estimated only partial cooler coverage.
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,right_leg,right_leg:s04,right_leg:s00,bracketed_full_span_interfaces,validation_diagnostic,Right-leg downcomer flow is reversed relative to station labels.
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,left_lower_leg+test_section_span+left_upper_leg,left_lower_leg:s00,left_upper_leg:s04,bracketed_composite_high_recirculation_diagnostic,validation_only_recirculation_cell,Composite riser control volume; high recirculation makes residuals diagnostic only.
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,,,,not_bracketed_by_available_secmean_surfaces,not_fit_unbracketed_junction,Grouped junction wall losses are not enclosed by a single inlet/outlet interface pair.
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,lower_leg,lower_leg:s04,lower_leg:s00,bracketed_full_span_interfaces,validation_diagnostic,Full lower-leg control volume; heater patch is not separately bracketed inside the span.
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,upper_leg,upper_leg:s00,upper_leg:s04,bracketed_upper_leg_but_partial_cooler_sink,validation_diagnostic,Available upper-leg endpoints do not isolate the cooler/reducer sink; July 8 span package estimated only partial cooler coverage.
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,right_leg,right_leg:s04,right_leg:s00,bracketed_full_span_interfaces,validation_diagnostic,Right-leg downcomer flow is reversed relative to station labels.
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,left_lower_leg+test_section_span+left_upper_leg,left_lower_leg:s00,left_upper_leg:s04,bracketed_composite_high_recirculation_diagnostic,validation_only_recirculation_cell,Composite riser control volume; high recirculation makes residuals diagnostic only.
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,,,,not_bracketed_by_available_secmean_surfaces,not_fit_unbracketed_junction,Grouped junction wall losses are not enclosed by a single inlet/outlet interface pair.
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,lower_leg,lower_leg:s04,lower_leg:s00,bracketed_full_span_interfaces,validation_diagnostic,Full lower-leg control volume; heater patch is not separately bracketed inside the span.
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,upper_leg,upper_leg:s00,upper_leg:s04,bracketed_upper_leg_but_partial_cooler_sink,validation_diagnostic,Available upper-leg endpoints do not isolate the cooler/reducer sink; July 8 span package estimated only partial cooler coverage.
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,downcomer,right_leg,right_leg:s04,right_leg:s00,bracketed_full_span_interfaces,validation_diagnostic,Right-leg downcomer flow is reversed relative to station labels.
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,left_lower_leg+test_section_span+left_upper_leg,left_lower_leg:s00,left_upper_leg:s04,bracketed_composite_high_recirculation_diagnostic,validation_only_recirculation_cell,Composite riser control volume; high recirculation makes residuals diagnostic only.
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction,,,,not_bracketed_by_available_secmean_surfaces,not_fit_unbracketed_junction,Grouped junction wall losses are not enclosed by a single inlet/outlet interface pair.
