source_id,case_id,recon_case_dir,secmean_dir,physical_segment,component_span,interface_role,station_label,plane_file,T_bulk_K,T_fwd_bulk_K,T_simple_K,T_used_K,temperature_selection_rule,recirculation_ratio,mdot_proxy,n_faces,n_masked,status,quality_flags
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,lower_leg,lower_leg,raw_span_inlet,s04,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_lower_leg__s04.xy,444.371847,444.371847,443.795949,444.371847,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0,68920.948963,3142,3142,ok,
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,lower_leg,lower_leg,raw_span_outlet,s00,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_lower_leg__s00.xy,459.720826,457.32004,452.863329,459.720826,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0.286604,8862.312388,1380,1380,ok,
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,left_lower_leg,left_lower_leg,raw_span_inlet,s00,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_lower_leg__s00.xy,554.720893,455.873771,447.50199,455.873771,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0.895929,1853.241172,1152,1152,ok,high_recirculation_forward_bulk_used
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,left_lower_leg,left_lower_leg,raw_span_outlet,s04,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_lower_leg__s04.xy,1011.805004,455.986043,448.704703,455.986043,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0.980419,332.032997,1152,1152,ok,high_recirculation_forward_bulk_used
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,test_section_span,test_section_span,raw_span_inlet,s00,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s00.xy,387.010509,445.214528,448.432953,445.214528,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0.848704,2466.548564,1036,1036,ok,high_recirculation_forward_bulk_used
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,test_section_span,test_section_span,raw_span_outlet,s04,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s04.xy,371.623658,444.846012,448.299449,444.846012,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0.866867,2159.626563,1036,1036,ok,high_recirculation_forward_bulk_used
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,left_upper_leg,left_upper_leg,raw_span_inlet,s00,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_upper_leg__s00.xy,383.058535,445.817978,448.841708,445.817978,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0.869679,49.257012,1152,1152,ok,high_recirculation_forward_bulk_used
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,left_upper_leg,left_upper_leg,raw_span_outlet,s04,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_upper_leg__s04.xy,453.349329,453.399844,452.253324,453.349329,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0.029423,51713.716032,2592,2592,ok,
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,upper_leg,upper_leg,raw_span_inlet,s00,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_upper_leg__s00.xy,447.875099,447.875099,447.558693,447.875099,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0,1772.63757,3080,226,ok,
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,tmp/2026-06-30_claude_action_items/recon_salt2_of13,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915,upper_leg,upper_leg,raw_span_outlet,s04,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_upper_leg__s04.xy,444.618679,445.855918,447.814297,444.618679,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,0.258402,8614.617468,1360,1360,ok,
