case_id,source_id,role_or_lane,role_group,cfd_imposed_W,cfd_realized_W,heat_direction,evidence_class,scientific_use,critique,source_paths
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,ambient_wall,passive_ambient_wall_exchange,0.0,-62.233907129,from_fluid,cfd_heat_path_accounting,diagnostic_role_accounting_not_predictive_closure,ambient_wall_loss_observed_but_not_specific_to_junctions,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cooler,intended_cooler_removal,-136.350739906,-136.35074,from_fluid,cfd_heat_path_accounting,diagnostic_role_accounting_not_predictive_closure,role_level_heat_accounting_observed,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,heater,intended_heater_input,265.7,243.51909758,to_fluid,cfd_heat_path_accounting,diagnostic_role_accounting_not_predictive_closure,role_level_heat_accounting_observed,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_other,junction_or_stub_diagnostic,0.0,-39.128349537,from_fluid,cfd_heat_path_accounting,diagnostic_role_accounting_not_predictive_closure,junction_or_stub_loss_is_observed_as_aggregate;not_split_by_four_junctions;radiation_included_in_total_wallHeatFlux,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction_segment_realized_wallflux,diagnostic_segment_alignment,0.0,-39.128349537,from_fluid,diagnostic_realized_wallflux,diagnostic_segment_alignment_not_predictive_closure,same_path_present_but_realized_wallHeatFlux_is_forbidden_runtime_input;not_per_junction_resolved,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section,intended_test_section_exchange,37.0,-5.679836082,from_fluid,cfd_heat_path_accounting,diagnostic_role_accounting_not_predictive_closure,test_section_realizes_as_net_sink_despite_imposed_source,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,ambient_wall,passive_ambient_wall_exchange,0.0,-68.319699257,from_fluid,cfd_heat_path_accounting,diagnostic_role_accounting_not_predictive_closure,ambient_wall_loss_observed_but_not_specific_to_junctions,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,cooler,intended_cooler_removal,-150.769638673,-150.76963867,from_fluid,cfd_heat_path_accounting,diagnostic_role_accounting_not_predictive_closure,role_level_heat_accounting_observed,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,heater,intended_heater_input,297.5,273.15537485,to_fluid,cfd_heat_path_accounting,diagnostic_role_accounting_not_predictive_closure,role_level_heat_accounting_observed,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,junction_other,junction_or_stub_diagnostic,0.0,-43.234690515,from_fluid,cfd_heat_path_accounting,diagnostic_role_accounting_not_predictive_closure,junction_or_stub_loss_is_observed_as_aggregate;not_split_by_four_junctions;radiation_included_in_total_wallHeatFlux,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv
