case_id,source_id,feature,downstream_span,adjacent_spans,feature_total_pressure_loss_pa,adjacent_straight_loss_subtracted_pa,local_minor_loss_pa,K_apparent,K_local_upper_bound,minor_fraction_pct_if_span_attributed,phi_original,phi_pipe_only,fit_eligible,validation_eligible,quality_flags,scientific_use,critique,source_bend_minor_loss_csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,corner_lower_left,lower_leg,left_lower_leg;lower_leg,0.49951598888872795,0.37368540109087495,0.125830587797853,8.211480628569191,2.068513235146338,8.32,1.8384,1.6854,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci;recirculation_adjacent_limits_single_stream_fit,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,corner_lower_right,right_leg,lower_leg;right_leg,0.764693936138507,0.3593775973257073,0.4053163388127997,16.503825877025502,8.747643945836534,9.49,1.5418,1.3955,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,corner_upper_right,upper_leg,right_leg;upper_leg,0.5996790416038161,0.3375586270047289,0.26212041459908725,15.923062359144723,6.959989290443755,7.44,1.5584,1.4426,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,corner_upper_left,left_upper_leg,upper_leg;left_upper_leg,0.397984716988182,0.3300474592911758,0.0679372576970062,6.245177796682506,1.0660717239286341,16.89,0.6176,0.5133,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci;recirculation_adjacent_limits_single_stream_fit,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,corner_lower_left,lower_leg,left_lower_leg;lower_leg,0.656791856335483,0.3693900231152213,0.2874018332202617,8.304110933357741,3.6337489304866963,9.95,1.7939,1.6154,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci;recirculation_adjacent_limits_single_stream_fit,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,corner_lower_right,right_leg,lower_leg;right_leg,0.8372878613242898,0.39878369422962623,0.43850416709466356,13.810210784371353,7.232679771356456,8.67,1.8228,1.6647,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,corner_upper_right,upper_leg,right_leg;upper_leg,0.7097390466380116,0.3793135541355117,0.33042549250249986,14.333759374743044,6.6732125324752225,9.02,1.5353,1.3967,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,corner_upper_left,left_upper_leg,upper_leg;left_upper_leg,0.5025792250818311,0.3304497416344269,0.17212948344740414,6.224711684075602,2.1319154340581776,25.29,0.5125,0.3829,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci;recirculation_adjacent_limits_single_stream_fit,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,corner_lower_left,lower_leg,left_lower_leg;lower_leg,0.8638360651323387,0.3787111423131125,0.4851249228192262,8.291311570464572,4.6563486384138955,11.29,1.8083,1.6041,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci;recirculation_adjacent_limits_single_stream_fit,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,corner_lower_right,right_leg,lower_leg;right_leg,0.8743618005933114,0.44170130903059657,0.4326604915627148,10.7252053702797,5.307153885802752,8.45,2.0691,1.8941,no,yes,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound,diagnostic_upper_bound_not_fit_admitted,feature_loss_computed_from_preserved_two_tap_rows;straight_loss_subtraction_uses_minimum_dz_proxy;K_local_is_upper_bound;coarse_mesh_no_gci,work_products/2026-07-01_claude_bend_minor_loss/bend_minor_loss_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
