case_key,case_id,split_role,time_s,harvest_job_id,station_rows,branch_rows,static_branch_mean_range_Pa,p_rgh_branch_mean_range_Pa,max_reverse_area_fraction_proxy,recirculation_blocked_branch_count,static_vs_p_rgh_branch_delta_sign_diff_count,fit_admitted_branch_count,overall_scientific_status,main_critique,native_case_path
salt1_hi10q,salt_1,training_perturbation,5587,3297863,30,6,11252.520648279999,9.86799257876,0.85,6,0,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt1_lo10q,salt_1,training_perturbation,8016,3297863,30,6,11285.97039366,8.6822201526,0.8461538462,6,0,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt1_nominal,salt_1,training,7884,3297863,30,6,11253.12267382,9.11020554762,0.8492307692,6,0,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt2_hi5q,salt_2,holdout_perturbation,9780,3297863,30,6,11159.99657718,8.799283693540001,0.8415384615,6,2,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;2_branches_static_vs_p_rgh_delta_sign_diff;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_lo5q,salt_2,holdout_perturbation,10275,3297863,30,6,11179.86340004,8.250800747060001,0.8453846154,6,2,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;2_branches_static_vs_p_rgh_delta_sign_diff;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt2_mainline,salt_2,training,7915,3297860,30,6,11169.28758964,8.355128177940001,0.8446153846,6,2,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;2_branches_static_vs_p_rgh_delta_sign_diff;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt3_mainline,salt_3,validation_or_training_by_declared_scorecard,7618,3297860,30,6,11112.62975718,9.7871232378,0.8361538462,6,4,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;4_branches_static_vs_p_rgh_delta_sign_diff;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt4_hi5q,salt_4,training_perturbation,11399,3297863,30,6,11037.46699918,11.368419245599998,0.8346153846,6,4,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;4_branches_static_vs_p_rgh_delta_sign_diff;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt4_lo5q,salt_4,training_perturbation,11695,3297863,30,6,11057.41794854,10.2618977804,0.835,6,4,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;4_branches_static_vs_p_rgh_delta_sign_diff;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt4_mainline,salt_4,holdout_or_training_by_declared_scorecard,10000,3297860,30,6,11046.83335344,10.676481856599999,0.8346153846,6,4,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;4_branches_static_vs_p_rgh_delta_sign_diff;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
val_salt2,val_salt_2,external_validation,8602,3297863,30,6,11147.4709062,8.731524590702,0.84,6,2,0,diagnostic_location_pressure_map_only,complete_station_and_branch_coverage;6_branches_blocked_by_recirc_mask;2_branches_static_vs_p_rgh_delta_sign_diff;absolute_static_pressure_not_cross_case_closure_metric,jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation
