job_id,case_label,source_id,variant_label,slurm_state,exit_code,elapsed,restart_time_reported,mpi_root,i_mpi_pmi_library,foamrun_path,runtime_stage,diagnosis_detail,latest_solver_time_seen_s
3202708,Salt 2 validation continuation,val_salt_test_2_coarse_mesh_laminar,validation,TIMEOUT,0:0,5-00:00:22,1724,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,timed_out,Continuation advanced successfully but hit the allocated walltime limit.,5292.994285714
3208600,Salt 4 Jin continuation retry 1,viscosity_screening_salt_test_4_jin_coarse_mesh,jin,FAILED,1:0,00:00:11,2082,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,bashrc_mpi_bootstrap_failure,OpenFOAM bootstrap queried an OpenMPI-style compiler flag path that LS6 gcc does not support in this environment.,3434.683168317
3208837,Salt 4 Jin continuation retry 2,viscosity_screening_salt_test_4_jin_coarse_mesh,jin,FAILED,1:0,00:00:04,2082,unset,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,bashrc_mpi_bootstrap_failure,OpenFOAM bootstrap queried an OpenMPI-style compiler flag path that LS6 gcc does not support in this environment.,3434.693069307
3208905,Salt 4 Jin continuation retry 3,viscosity_screening_salt_test_4_jin_coarse_mesh,jin,FAILED,1:0,00:00:10,2082,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,bashrc_mpi_bootstrap_failure,OpenFOAM bootstrap queried an OpenMPI-style compiler flag path that LS6 gcc does not support in this environment.,3434.698019802
3208956,Salt 1 Jin continuation retry 1,viscosity_screening_salt_test_1_jin_coarse_mesh,jin,FAILED,1:0,00:00:09,3229,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,bashrc_mpi_bootstrap_failure,OpenFOAM bootstrap queried an OpenMPI-style compiler flag path that LS6 gcc does not support in this environment.,3617.6625
3210231,Salt 4 Jin continuation retry 4,viscosity_screening_salt_test_4_jin_coarse_mesh,jin,RUNNING,0:0,2-03:46:08,2082,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,running_successfully,Live continuation is advancing timesteps under Slurm.,3434.712871287
3210268,Salt 1 Jin continuation retry 2,viscosity_screening_salt_test_1_jin_coarse_mesh,jin,COMPLETED,0:0,04:51:26,3229,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,completed_runtime,Continuation completed cleanly under the repaired runtime path.,3617.6625
3210760,Salt 1 Kirst continuation retry 1,viscosity_screening_salt_test_1_kirst_coarse_mesh,kirst,COMPLETED,0:0,04:23:44,3279,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,completed_runtime,Continuation completed cleanly under the repaired runtime path.,3438.283018868
3210761,Salt 1 Jin continuation retry 3,viscosity_screening_salt_test_1_jin_coarse_mesh,jin,COMPLETED,0:0,04:08:33,3229,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,completed_runtime,Continuation completed cleanly under the repaired runtime path.,3617.6625
3211197,Salt 1 Jin continuation retry 4,viscosity_screening_salt_test_1_jin_coarse_mesh,jin,COMPLETED,0:0,04:00:35,3229,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,completed_runtime,Continuation completed cleanly under the repaired runtime path.,3617.6625
3211199,Salt 1 Kirst continuation retry 2,viscosity_screening_salt_test_1_kirst_coarse_mesh,kirst,FAILED,1:0,00:00:33,3438.283018868,/scratch/projects/compilers/intel24.1/oneapi/mpi/2021.12,/usr/lib64/libpmi2.so,/work/09748/andresfierro231/ls6/openfoam_runtime_recovery/2026-06-02_openfoam13/source/OpenFOAM-13/platforms/linux64GccDPInt32Opt/bin/foamRun,missing_reconstructed_T,"Continuation reached startup, but the staged restart tree was missing a readable reconstructed/root-level T field.",3438.283018868
