path,role,exists,mutation
work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_window_generation/summary.json,target-plus generation summary,true,read_only
work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_neighbor_window_sampling/same_qoi_neighbor_window_rows.csv,target-minus and target evidence rows,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_2/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7916/U,salt_2 staged target-plus U,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_2/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7916/T,salt_2 staged target-plus T,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_2/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7916/rho,salt_2 staged target-plus rho,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_2/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7916/wallHeatFlux,salt_2 staged target-plus wallHeatFlux,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_3/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/7619/U,salt_3 staged target-plus U,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_3/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/7619/T,salt_3 staged target-plus T,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_3/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/7619/rho,salt_3 staged target-plus rho,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_3/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/7619/wallHeatFlux,salt_3 staged target-plus wallHeatFlux,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_4/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/10001/U,salt_4 staged target-plus U,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_4/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/10001/T,salt_4 staged target-plus T,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_4/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/10001/rho,salt_4 staged target-plus rho,true,read_only
staging/s13_target_plus_window_generation_2026-07-22/salt_4/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/10001/wallHeatFlux,salt_4 staged target-plus wallHeatFlux,true,read_only
