case_id,qoi_label,target_plus_time_window_s,target_plus_value,target_plus_status,same_label_formula_sign_basis,source_basis
salt_2,Q_wall_W,7916,23.1161124686,sampled_from_staged_target_plus_processors64,true,trusted_wall_wallHeatFlux_integral
salt_2,mdot_exchange_positive_outward_proxy_kg_s,7916,2.66636664665e-05,sampled_from_staged_target_plus_processors64,true,staged_native_U_T_rho_selected_cells_and_released_geometry
salt_2,tau_recirc_proxy_s,7916,875.193229009,sampled_from_staged_target_plus_processors64,true,staged_native_U_T_rho_selected_cells_and_released_geometry
salt_2,wall_core_bulk_temperature_contrast_K,7916,-0.142062659726,sampled_from_staged_target_plus_processors64,true,staged_native_U_T_rho_selected_cells_and_released_geometry
salt_3,Q_wall_W,7619,25.3465427562,sampled_from_staged_target_plus_processors64,true,trusted_wall_wallHeatFlux_integral
salt_3,mdot_exchange_positive_outward_proxy_kg_s,7619,4.24103584345e-05,sampled_from_staged_target_plus_processors64,true,staged_native_U_T_rho_selected_cells_and_released_geometry
salt_3,tau_recirc_proxy_s,7619,547.274619522,sampled_from_staged_target_plus_processors64,true,staged_native_U_T_rho_selected_cells_and_released_geometry
salt_3,wall_core_bulk_temperature_contrast_K,7619,-0.154264394397,sampled_from_staged_target_plus_processors64,true,staged_native_U_T_rho_selected_cells_and_released_geometry
salt_4,Q_wall_W,10001,28.1239876227,sampled_from_staged_target_plus_processors64,true,trusted_wall_wallHeatFlux_integral
salt_4,mdot_exchange_positive_outward_proxy_kg_s,10001,7.59738812875e-05,sampled_from_staged_target_plus_processors64,true,staged_native_U_T_rho_selected_cells_and_released_geometry
salt_4,tau_recirc_proxy_s,10001,303.828158477,sampled_from_staged_target_plus_processors64,true,staged_native_U_T_rho_selected_cells_and_released_geometry
salt_4,wall_core_bulk_temperature_contrast_K,10001,-0.170323832447,sampled_from_staged_target_plus_processors64,true,staged_native_U_T_rho_selected_cells_and_released_geometry
