case_id,qoi_label,target_minus_time_window_s,target_minus_value,target_minus_status,target_time_window_s,target_value,target_status,target_plus_time_window_s,target_plus_value,target_plus_status,same_label_formula_sign_basis,neighbor_window_uq_ready,production_use_allowed_now,source_basis
salt_2,Q_wall_W,7914,23.1160706147,sampled_from_existing_native_processors64,7915,23.1161370708,released_exact_target_window,7916,23.1161124686,sampled_from_staged_target_plus_processors64,true,true,false,trusted_wall_wallHeatFlux_integral
salt_2,mdot_exchange_positive_outward_proxy_kg_s,7914,2.69987401773e-05,sampled_from_existing_native_processors64,7915,2.68592194714e-05,retained_window_proxy_ready,7916,2.66636664665e-05,sampled_from_staged_target_plus_processors64,true,true,false,native_U_T_rho_selected_cells_and_released_geometry
salt_2,tau_recirc_proxy_s,7914,864.314768898,sampled_from_existing_native_processors64,7915,868.807159089,retained_window_proxy_ready,7916,875.193229009,sampled_from_staged_target_plus_processors64,true,true,false,native_U_T_rho_selected_cells_and_released_geometry
salt_2,wall_core_bulk_temperature_contrast_K,7914,-0.142184287356,sampled_from_existing_native_processors64,7915,-0.142156641269,retained_window_sampled_ready,7916,-0.142062659726,sampled_from_staged_target_plus_processors64,true,true,false,native_U_T_rho_selected_cells_and_released_geometry
salt_3,Q_wall_W,7617,25.3465346415,sampled_from_existing_native_processors64,7618,25.3465488205,released_exact_target_window,7619,25.3465427562,sampled_from_staged_target_plus_processors64,true,true,false,trusted_wall_wallHeatFlux_integral
salt_3,mdot_exchange_positive_outward_proxy_kg_s,7617,4.24202509952e-05,sampled_from_existing_native_processors64,7618,4.23665968058e-05,retained_window_proxy_ready,7619,4.24103584345e-05,sampled_from_staged_target_plus_processors64,true,true,false,native_U_T_rho_selected_cells_and_released_geometry
salt_3,tau_recirc_proxy_s,7617,547.146216432,sampled_from_existing_native_processors64,7618,547.838912867,retained_window_proxy_ready,7619,547.274619522,sampled_from_staged_target_plus_processors64,true,true,false,native_U_T_rho_selected_cells_and_released_geometry
salt_3,wall_core_bulk_temperature_contrast_K,7617,-0.154307446223,sampled_from_existing_native_processors64,7618,-0.154280008347,retained_window_sampled_ready,7619,-0.154264394397,sampled_from_staged_target_plus_processors64,true,true,false,native_U_T_rho_selected_cells_and_released_geometry
salt_4,Q_wall_W,9999,28.1221584595,sampled_from_existing_native_processors64,10000,28.1231837021,released_exact_target_window,10001,28.1239876227,sampled_from_staged_target_plus_processors64,true,true,false,trusted_wall_wallHeatFlux_integral
salt_4,mdot_exchange_positive_outward_proxy_kg_s,9999,7.7003541894e-05,sampled_from_existing_native_processors64,10000,7.65896288069e-05,retained_window_proxy_ready,10001,7.59738812875e-05,sampled_from_staged_target_plus_processors64,true,true,false,native_U_T_rho_selected_cells_and_released_geometry
salt_4,tau_recirc_proxy_s,9999,299.770171841,sampled_from_existing_native_processors64,10000,301.390653047,retained_window_proxy_ready,10001,303.828158477,sampled_from_staged_target_plus_processors64,true,true,false,native_U_T_rho_selected_cells_and_released_geometry
salt_4,wall_core_bulk_temperature_contrast_K,9999,-0.170729487874,sampled_from_existing_native_processors64,10000,-0.17053292931,retained_window_sampled_ready,10001,-0.170323832447,sampled_from_staged_target_plus_processors64,true,true,false,native_U_T_rho_selected_cells_and_released_geometry
