case_id,blocked_lane,blocking_reason,required_input,next_release_condition,scheduler_action
salt_2,exchange_interface_vtk,no released interface geometry source,trusted main/recirculation exchange surface VTK with outward normal convention,trusted geometry/source row releases this lane with provenance,false
salt_2,wall_core_vtk,no released recirculation region or wall/core band,recirculation wall/core band VTK tied to the approved recirculation cell volume,trusted geometry/source row releases this lane with provenance,false
salt_2,Q_wall_W,wall band unavailable; static Q source/sink ledger is not a recirculation wall heat-flow measurement,same-window wall heat flow over the released recirculation wall band,trusted geometry/source row releases this lane with provenance,false
salt_2,exchange_cell_harvest,interface/wall/Q_wall lanes are not released,cell_vtk plus exchange_interface_vtk plus wall_core_vtk plus source/sink ledger,trusted geometry/source row releases this lane with provenance,false
salt_3,exchange_interface_vtk,no released interface geometry source,trusted main/recirculation exchange surface VTK with outward normal convention,trusted geometry/source row releases this lane with provenance,false
salt_3,wall_core_vtk,no released recirculation region or wall/core band,recirculation wall/core band VTK tied to the approved recirculation cell volume,trusted geometry/source row releases this lane with provenance,false
salt_3,Q_wall_W,wall band unavailable; static Q source/sink ledger is not a recirculation wall heat-flow measurement,same-window wall heat flow over the released recirculation wall band,trusted geometry/source row releases this lane with provenance,false
salt_3,exchange_cell_harvest,interface/wall/Q_wall lanes are not released,cell_vtk plus exchange_interface_vtk plus wall_core_vtk plus source/sink ledger,trusted geometry/source row releases this lane with provenance,false
salt_4,exchange_interface_vtk,no released interface geometry source,trusted main/recirculation exchange surface VTK with outward normal convention,trusted geometry/source row releases this lane with provenance,false
salt_4,wall_core_vtk,no released recirculation region or wall/core band,recirculation wall/core band VTK tied to the approved recirculation cell volume,trusted geometry/source row releases this lane with provenance,false
salt_4,Q_wall_W,wall band unavailable; static Q source/sink ledger is not a recirculation wall heat-flow measurement,same-window wall heat flow over the released recirculation wall band,trusted geometry/source row releases this lane with provenance,false
salt_4,exchange_cell_harvest,interface/wall/Q_wall lanes are not released,cell_vtk plus exchange_interface_vtk plus wall_core_vtk plus source/sink ledger,trusted geometry/source row releases this lane with provenance,false
