case_id,input_lane,release_status,required_input,available_input,surface_vtk_path,field_or_face_count_status,consumer,blocking_reason,extraction_action
salt_2,cell_vtk,ready,whole-mesh cell VTK with U;T;rho and 2166996 cells,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt2_smoke/vtk/salt_2_cell_fields.vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt2_smoke/vtk/salt_2_cell_fields.vtk,2166996_cells_reported_by_geometry_contract,exchange sampler volume/state extraction,,none_cell_vtk_already_released
salt_2,exchange_interface_vtk,blocked,trusted main/recirculation exchange surface VTK with outward normal convention,,,not_available,mdot_exchange integration,no released interface geometry source,fail_closed_no_trusted_surface_input
salt_2,wall_core_vtk,blocked,recirculation wall/core band VTK tied to the approved recirculation cell volume,,,not_available,T_recirc and wall/core thermal contrast,no released recirculation region or wall/core band,fail_closed_no_trusted_surface_input
salt_2,Q_wall_W,blocked,same-window wall heat flow over the released recirculation wall band,,,not_available,energy residual,wall band unavailable; static Q source/sink ledger is not a recirculation wall heat-flow measurement,fail_closed_no_trusted_surface_input
salt_2,exchange_cell_harvest,blocked,cell_vtk plus exchange_interface_vtk plus wall_core_vtk plus source/sink ledger,cell_vtk_only_or_pending,,not_available,V_recirc; mdot_exchange; T_recirc; pressure_residual; energy_residual,interface/wall/Q_wall lanes are not released,fail_closed_no_trusted_surface_input
salt_3,cell_vtk,ready,whole-mesh cell VTK with U;T;rho and 2166996 cells,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_3_cell_fields.vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_3_cell_fields.vtk,2166996_cells_reported_by_geometry_contract,exchange sampler volume/state extraction,,none_cell_vtk_already_released
salt_3,exchange_interface_vtk,blocked,trusted main/recirculation exchange surface VTK with outward normal convention,,,not_available,mdot_exchange integration,no released interface geometry source,fail_closed_no_trusted_surface_input
salt_3,wall_core_vtk,blocked,recirculation wall/core band VTK tied to the approved recirculation cell volume,,,not_available,T_recirc and wall/core thermal contrast,no released recirculation region or wall/core band,fail_closed_no_trusted_surface_input
salt_3,Q_wall_W,blocked,same-window wall heat flow over the released recirculation wall band,,,not_available,energy residual,wall band unavailable; static Q source/sink ledger is not a recirculation wall heat-flow measurement,fail_closed_no_trusted_surface_input
salt_3,exchange_cell_harvest,blocked,cell_vtk plus exchange_interface_vtk plus wall_core_vtk plus source/sink ledger,cell_vtk_only_or_pending,,not_available,V_recirc; mdot_exchange; T_recirc; pressure_residual; energy_residual,interface/wall/Q_wall lanes are not released,fail_closed_no_trusted_surface_input
salt_4,cell_vtk,ready,whole-mesh cell VTK with U;T;rho and 2166996 cells,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_4_cell_fields.vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_4_cell_fields.vtk,2166996_cells_reported_by_geometry_contract,exchange sampler volume/state extraction,,none_cell_vtk_already_released
salt_4,exchange_interface_vtk,blocked,trusted main/recirculation exchange surface VTK with outward normal convention,,,not_available,mdot_exchange integration,no released interface geometry source,fail_closed_no_trusted_surface_input
salt_4,wall_core_vtk,blocked,recirculation wall/core band VTK tied to the approved recirculation cell volume,,,not_available,T_recirc and wall/core thermal contrast,no released recirculation region or wall/core band,fail_closed_no_trusted_surface_input
salt_4,Q_wall_W,blocked,same-window wall heat flow over the released recirculation wall band,,,not_available,energy residual,wall band unavailable; static Q source/sink ledger is not a recirculation wall heat-flow measurement,fail_closed_no_trusted_surface_input
salt_4,exchange_cell_harvest,blocked,cell_vtk plus exchange_interface_vtk plus wall_core_vtk plus source/sink ledger,cell_vtk_only_or_pending,,not_available,V_recirc; mdot_exchange; T_recirc; pressure_residual; energy_residual,interface/wall/Q_wall lanes are not released,fail_closed_no_trusted_surface_input
