task_id,status
TODO-BOARD-HYGIENE-COMPLETE-ACTIVE-ROW-ARCHIVE-2026-07-21,active_or_open
TODO-THESIS-STUDY-S13-UPCOMER-EXCHANGE-PRODUCTION-HARVEST-UQ-2026-07-21,active_or_open
TODO-THESIS-STUDY-S15-CANDIDATE-FREEZE-SOURCE-PROPERTY-SCORE-RELEASE-2026-07-21,active_or_open
TODO-THESIS-STUDY-S11-CANDIDATE-SOURCE-PROPERTY-REFRESH-2026-07-21,active_or_open
TODO-THESIS-JUNCTION-AWARE-SECTION-REFRESH,active_or_open
TODO-THESIS-ENRICHMENT-RESEARCH-AVENUES,active_or_open
TODO-THESIS-FIGURES-DIAGRAMS,active_or_open
TODO-THESIS-CSEM-POST-FREEZE-NARRATIVE-REFRESH,active_or_open
TODO-THESIS-CSEM-PRESSURE-ADMISSION-REFRESH,active_or_open
TODO-THESIS-CSEM-WALL-TS-CLOSURE-REFRESH,active_or_open
