path,role_in_package,mutation_status
work_products/2026-07/2026-07-21/2026-07-21_fluid_external_bc_dict/fluid_external_boundary_runtime_dictionary.csv,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-21/2026-07-21_fluid_external_bc_dict/fluid_external_boundary_schema.csv,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-21/2026-07-21_train_only_external_bc_attribution_freeze_gate/summary.json,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-21/2026-07-21_train_only_external_bc_attribution_freeze_gate/segment_heat_path_coverage.csv,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/case_partition_contract.csv,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-21/2026-07-21_predictive_final_model_starter/freeze_readiness_matrix.csv,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-21/2026-07-21_predictive_final_model_starter/residual_lane_readiness.csv,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-21/2026-07-21_predictive_final_model_starter/scorecard_release_guardrails.csv,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv,read evidence or runtime contract,read_only
tools/analyze/test_data/salt1_primary_closure_cases.csv,read evidence or runtime contract,read_only
jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,read evidence or runtime contract,read_only
jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/constant/polyMesh/boundary,read evidence or runtime contract,read_only
jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/4027/wallHeatFlux.dat,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-21/2026-07-21_fluid_external_bc_phase_b_exact_file_preflight/segment_mapping_contract.csv,read evidence or runtime contract,read_only
cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/external_boundary.py,read evidence or runtime contract,read_only
work_products/2026-07/2026-07-21/2026-07-21_salt1_train_external_bc_recovery_freeze_gate,generated task-owned package,modified
