case_id,qoi_label,mesh_level,same_label_row_present,same_window_triplet_present,formula_sign_basis_matched,source_property_basis_matched,geometry_mask_basis_matched,mesh_level_status,missing_or_blocking_reason,production_use_allowed_now
salt_2,Q_wall_W,current_coarse_continuation,True,True,True,True,True,available_current_coarse_baseline,not_missing_for_current_coarse_baseline,False
salt_2,Q_wall_W,medium,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
salt_2,Q_wall_W,fine,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
salt_2,mdot_exchange_positive_outward_proxy_kg_s,current_coarse_continuation,True,True,True,True,True,available_current_coarse_baseline,not_missing_for_current_coarse_baseline,False
salt_2,mdot_exchange_positive_outward_proxy_kg_s,medium,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
salt_2,mdot_exchange_positive_outward_proxy_kg_s,fine,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
salt_2,tau_recirc_proxy_s,current_coarse_continuation,True,True,True,True,True,available_current_coarse_baseline,not_missing_for_current_coarse_baseline,False
salt_2,tau_recirc_proxy_s,medium,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
salt_2,tau_recirc_proxy_s,fine,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
salt_2,wall_core_bulk_temperature_contrast_K,current_coarse_continuation,True,True,True,True,True,available_current_coarse_baseline,not_missing_for_current_coarse_baseline,False
salt_2,wall_core_bulk_temperature_contrast_K,medium,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
salt_2,wall_core_bulk_temperature_contrast_K,fine,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
salt_3,Q_wall_W,current_coarse_continuation,True,True,True,True,True,available_current_coarse_baseline,not_missing_for_current_coarse_baseline,False
salt_3,Q_wall_W,medium,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
salt_3,Q_wall_W,fine,False,False,False,False,False,missing_same_label_required_mesh_level,"no medium/fine row with exact label, same windows, same masks, and same source family",False
