field,value
task,AGENT-574
fluid_task,impl-2026-07-21-fluid-amx1-physics-revision-smoke
fluid_campaign,amx1_salt2_physics_revision_smoke_v1
audit_decision,physics_revision_smoke_complete_diagnostic_only
progression,physics_revision_forms_need_revision_before_salt1_4
rows_scanned,3
baseline_rows,1
amx1_rows,2
manifest_rows_ok,3/3
all_roots_pass,true
amx1_ledgers_nonzero,true
amx1_ledgers_conservative,true
forms_ready_for_separate_salt1_4_bounded_comparison,0
closest_form,upper_vertical_parent_cell_m010
closest_max_positive_core_delta_K,0.0003254933205099064
closest_worsened_core_metrics,all_rmse_K;tp_rmse_K
score_grid_run,false
salt1_4_expansion_run,false
fit_or_model_selection_run,false
scientific_admission_change,none
