artifact,role,mutation_status,path
summary.json,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/summary.json
admission_split_table.csv,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_validation_split/admission_split_table.csv
forward_v0_variant_summary.csv,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_variant_summary.csv
comparison_summary.json,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/comparison_summary.json
hx_validation_guardrail_scorecard.csv,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/hx_validation_guardrail_scorecard.csv
summary.json,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_h1_proxy_rerun/summary.json
h1_proxy_results.csv,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_h1_proxy_rerun/h1_proxy_results.csv
summary.json,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/summary.json
summary.json,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/summary.json
README.md,input_evidence,read_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_endtoend_scorecard_precursor/README.md
README.md,generated_output,created_by_AGENT_315,work_products/2026-07/2026-07-14/2026-07-14_forward_model_readiness_after_h1_proxy/README.md
readiness_lanes_after_h1_proxy.csv,generated_output,created_by_AGENT_315,work_products/2026-07/2026-07-14/2026-07-14_forward_model_readiness_after_h1_proxy/readiness_lanes_after_h1_proxy.csv
train_validation_holdout_guardrail.csv,generated_output,created_by_AGENT_315,work_products/2026-07/2026-07-14/2026-07-14_forward_model_readiness_after_h1_proxy/train_validation_holdout_guardrail.csv
residual_attribution_after_h1_proxy.csv,generated_output,created_by_AGENT_315,work_products/2026-07/2026-07-14/2026-07-14_forward_model_readiness_after_h1_proxy/residual_attribution_after_h1_proxy.csv
input_contract_gate_readiness.csv,generated_output,created_by_AGENT_315,work_products/2026-07/2026-07-14/2026-07-14_forward_model_readiness_after_h1_proxy/input_contract_gate_readiness.csv
blockers_to_final_forward_v1.csv,generated_output,created_by_AGENT_315,work_products/2026-07/2026-07-14/2026-07-14_forward_model_readiness_after_h1_proxy/blockers_to_final_forward_v1.csv
source_manifest.csv,generated_output,created_by_AGENT_315,work_products/2026-07/2026-07-14/2026-07-14_forward_model_readiness_after_h1_proxy/source_manifest.csv
summary.json,generated_output,created_by_AGENT_315,work_products/2026-07/2026-07-14/2026-07-14_forward_model_readiness_after_h1_proxy/summary.json
