gate_id,gate_status,admitted_or_current_evidence,blocks_final_forward_v1,source_artifact
predictive_input_contract,pass_0_violations,"32 runtime fields, 3 case rows, 75 validation targets.",no,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/summary.json
train_validation_holdout_split,locked,salt_2=train; salt_3=validation; salt_4=holdout.,no,work_products/2026-07/2026-07-13/2026-07-13_predictive_validation_split/admission_split_table.csv
solve_case_confirmation,pass,6/6 solve_case-vs-fast_scan rows pass; solve_case rows are authoritative for forward-v0.,no_for_forward_v0_confirmation_yes_for_unrun_h1_solve_case,work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_solve_case_confirmation/comparison_summary.json
hydraulic_h1_proxy,h1_proxy_screen_complete_not_publication_closure,Aggregate Salt2 K sum 40.6384; F1 mean mdot error 0.002144 kg/s.,yes_until_localized_h1_and_no_overprediction_gate_pass,work_products/2026-07/2026-07-13/2026-07-13_predictive_h1_proxy_rerun/summary.json
hx_and_external_boundary,guardrailed_proxy_and_fluid_api_pending,Split-aware HX/boundary scorecard exists; external-boundary dictionaries are repo-local evidence only.,yes,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/hx_validation_guardrail_scorecard.csv
thermal_mesh_gate,blocked_sign_review_and_missing_coarse_triplets,0 fit-admissible rows; 0 publication-ready thermal GCI rows.,yes_for_thermal_closure_fits,work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/summary.json
sensor_map,partial_provisional_only,17 labels mapped; 15 diagnostic-scoreable; 2 blocked.,yes_for_complete_sensor_claim_no_for_partial_diagnostic_join,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/summary.json
litrev_source_envelope_gate,present_referenced_by_input_contract,Required pre-score literature gate reference.,yes_if_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/source_overlap_flags.csv
litrev_property_mode_lane,present_referenced_by_input_contract,Required pre-score literature gate reference.,yes_if_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/property_sensitivity_summary.csv
litrev_named_loss_table,present_referenced_by_input_contract,Required pre-score literature gate reference.,yes_if_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
litrev_heat_loss_admission_table,present_referenced_by_input_contract,Required pre-score literature gate reference.,yes_if_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_heat_loss_calibration/heat_closure_admission.csv
litrev_cfd_coefficient_naming_limits,present_referenced_by_input_contract,Required pre-score literature gate reference.,yes_if_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/coefficient_naming_limits.csv
