label,span,medium_gate,fine_gate,medium_status,fine_status,medium_section_mean_p_rgh_pa,fine_section_mean_p_rgh_pa,delta_section_mean_p_rgh_pa,delta_pct_section_mean_p_rgh_pa,medium_section_mean_total_pressure_pa,fine_section_mean_total_pressure_pa,delta_section_mean_total_pressure_pa,delta_pct_section_mean_total_pressure_pa,medium_dynamic_head_pa,fine_dynamic_head_pa,delta_dynamic_head_pa,delta_pct_dynamic_head_pa,medium_u_bulk_m_s,fine_u_bulk_m_s,delta_u_bulk_m_s,delta_pct_u_bulk_m_s,medium_flow_alignment,fine_flow_alignment,delta_flow_alignment,delta_pct_flow_alignment
left_lower_leg__s00,left_lower_leg,ok,ok,sampled,sampled,-7.77906334269,-7.73477849931,0.044284843372,0.569282462697,-7.55101636414,-7.50501738542,0.04599897872,0.60917599038,0.228046978546,0.229761113894,0.00171413534804,0.751658872645,0.0152678422502,0.0153252596177,5.74173675571e-05,0.376067335622,0.913047613226,0.913845608166,0.000797994940669,0.0873990500725
left_lower_leg__s01,left_lower_leg,ok,ok,sampled,sampled,-9.35685012862,-9.24712481011,0.109725318514,1.17267367763,-9.14838193871,-9.03909922031,0.109282718403,1.1945578916,0.208468189906,0.208025589795,-0.000442600110876,-0.212310622103,0.0146012510124,0.01458561157,-1.56394424024e-05,-0.10711029068,0.867594048386,0.867503579839,-9.04685467293e-05,-0.0104275204397
left_lower_leg__s02,left_lower_leg,ok,ok,sampled,sampled,-10.4302910031,-10.3208325595,0.109458443579,1.04942847277,-10.2291061759,-10.1207322198,0.108373956047,1.059466528,0.201184827178,0.200100339647,-0.00108448753122,-0.539050358039,0.0143446733426,0.0143058286826,-3.88446600302e-05,-0.270795012912,0.859651128588,0.857319258871,-0.00233186971636,-0.27125768103
left_lower_leg__s03,left_lower_leg,ok,ok,sampled,sampled,-11.378742177,-11.2732349858,0.105507191232,0.927230704326,-11.1798172415,-11.075590553,0.104226688474,0.93227542296,0.198924935526,0.197644432769,-0.00128050275713,-0.643711535578,0.0142641985346,0.01421809902,-4.60995145676e-05,-0.323183349249,0.863171472645,0.859667731122,-0.00350374152276,-0.405914888733
left_lower_leg__s04,left_lower_leg,ok,ok,sampled,sampled,-12.3766599771,-12.2647641439,0.111895833223,0.904087479415,-12.1794764632,-12.0689898706,0.110486592611,0.907153874347,0.197183513923,0.195774273311,-0.00140924061177,-0.714684804899,0.0142019545726,0.0141509979357,-5.09566369688e-05,-0.358800168725,0.871789140999,0.867197428987,-0.00459171201178,-0.526699840115
left_upper_leg__s00,left_upper_leg,ok,ok,sampled,sampled,-12.9417037723,-12.8388401059,0.102863666315,0.794823217446,-12.7519009418,-12.6507587016,0.101142240191,0.793154217967,0.189802830417,0.188081404294,-0.00172142612371,-0.906954927874,0.0139310136354,0.0138676140415,-6.33995939249e-05,-0.455096776043,0.855523969185,0.849546733875,-0.0059772353101,-0.698663687447
left_upper_leg__s01,left_upper_leg,ok,ok,sampled,sampled,-15.0109023975,-14.9257013615,0.0852010359784,0.567594363899,-14.8236384687,-14.7403175653,0.0833209033632,0.562081323956,0.1872639288,0.185383796184,-0.00188013261519,-1.00400147922,0.0138382977286,0.0137685870205,-6.9710708077e-05,-0.503752046996,0.865603367791,0.859603363251,-0.00600000453994,-0.69315864092
left_upper_leg__s02,left_upper_leg,ok,ok,sampled,sampled,-16.3990439715,-16.3485253647,0.0505186067841,0.308058243345,-16.2138057375,-16.1653458594,0.0484598780719,0.298880342201,0.185238234041,0.183179505329,-0.00205872871214,-1.11139513006,0.0137636310697,0.0136868845531,-7.67465166484e-05,-0.557603703991,0.885951568081,0.880646369763,-0.00530519831752,-0.598813581764
left_upper_leg__s03,left_upper_leg,ok,ok,sampled,sampled,-17.7637043248,-17.7426018558,0.0211024690389,0.118795430576,-17.5798340221,-17.5608928416,0.0189411805152,0.107743796053,0.183870302704,0.181709014181,-0.00216128852373,-1.17544186959,0.0137130637968,0.0136321964911,-8.08673056977e-05,-0.589709979449,0.908863573106,0.904416376948,-0.00444719615768,-0.489313939878
left_upper_leg__s04,left_upper_leg,ok,ok,sampled,sampled,-19.696233301,-19.6904570638,0.00577623713684,0.0293266080299,-19.5134460763,-19.5099033882,0.00354268810433,0.0181551125848,0.182787224635,0.180553675603,-0.0022335490325,-1.22193935433,0.0136731745408,0.0135893538907,-8.38206500546e-05,-0.613029913459,0.939555973005,0.936049416713,-0.00350655629187,-0.373214198262
