lane,span,fit_safety,basis,medium_f,fine_f,delta_pct
pressure_gradient_friction,left_lower_leg,fit_safe_pressure_gradient,positive_loss_both_meshes,1.79195553467,1.80956777469,0.982850281602
pressure_gradient_friction,left_upper_leg,fit_safe_pressure_gradient,positive_loss_both_meshes,2.27363962473,2.35957204037,3.7795090614
pressure_gradient_friction,lower_leg,not_fit_safe_pressure_recovery_or_noise,pressure_recovery_or_noise_flagged,-0.756830591287,-0.719750288331,4.89941915447
pressure_gradient_friction,right_leg,not_fit_safe_pressure_recovery_or_noise,pressure_recovery_or_noise_flagged,-1.70428527403,-1.70094313759,0.196101937125
pressure_gradient_friction,test_section_span,not_fit_safe_pressure_recovery_or_noise,pressure_recovery_or_noise_flagged,-0.68696315994,-0.654071614869,4.78796345843
pressure_gradient_friction,upper_leg,not_fit_safe_pressure_recovery_or_noise,pressure_recovery_or_noise_flagged,-11.0192919874,-11.206516151,-1.69905801376
momentum_corrected_friction,left_lower_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; moderate_buoyancy_correction,1.35536317092,1.36437896511,0.665193977538
momentum_corrected_friction,left_upper_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; moderate_buoyancy_correction,1.00486829829,1.01614705201,1.12241113917
momentum_corrected_friction,lower_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; strong_buoyancy_correction,2.31629298737,2.34666892699,1.31140316811
momentum_corrected_friction,right_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; moderate_buoyancy_correction,2.19091313694,2.23011349428,1.7892246241
momentum_corrected_friction,test_section_span,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; moderate_buoyancy_correction,1.32067321753,1.26014443368,-4.583176447
momentum_corrected_friction,upper_leg,fit_safe_momentum_corrected,corrected_f_positive_both_meshes; strong_buoyancy_correction,2.20007711588,2.24457976036,2.02277657292
