case_label,scenario,accepted_for_validation,validity_status,air_outlet_temperature_error_k,mass_flow_relative_error_pct,temperature_periodicity_error_k,profile_descriptor_mode,internal_htc_mode,current_evidence_status,source_summary_csv,case_family,frozen_case_label,frozen_source_id,comparison_ready,frozen_run_status,one_d_removed_w,one_d_ambient_w,one_d_total_loss_w,cfd_removed_w,cfd_ambient_w,cfd_total_loss_w,cfd_heater_w,cfd_test_section_w,cfd_junctions_w,cfd_mdot_kg_s,late_window_time_start_s,late_window_time_end_s,late_window_time_count,primary_frozen_state_basis,sensitivity_snapshot_basis,downcomer_to_upcomer_bulk_delta_k,heater_to_cooler_bulk_delta_k,total_loss_error_w,total_loss_error_pct_of_heater,pressure_residual_pa,pressure_root_bracketed,temperature_root_bracketed,one_d_mdot_kg_s,one_d_mass_flow_relative_error_pct,one_d_mass_flow_relative_error_pct_vs_cfd,scenario_case_count,scenario_primary_count,scenario_primary_accepted_count,scenario_all_accepted_count,scenario_mean_primary_energy_error_pct_of_heater,scenario_mean_primary_mdot_error_pct_vs_cfd
Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0,True,valid,-14.382839839910844,4.797288765344348,-1.0062422006740235e-09,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0/Salt_1/summary.csv,Salt 1,Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,completed,49.42686429151377,219.872454237199,269.2993185287128,135.60317786,167.80591747262997,303.40909533262993,213.09187967,0.806212777,-34.393983561700004,0.010932096642500016,3276.0,3279.0,4.0,late_window_mean,latest_retained_time,-1.1871014759597642,-3.227299370862852,-34.10977680391716,16.00707490906763,-1.2027781082224465e-07,True,True,0.01655797162492441,4.797288765344348,51.461994587141106,4,2,2,2,12.465572404957292,55.25280819114299
Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0,True,valid,-8.691438117622909,15.908356954638752,-1.27965904539451e-09,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0/Salt_2/summary.csv,Salt 2,Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,comparison_candidate,completed,53.94416015302401,248.7550967876945,302.6992569407185,136.35073988,188.09286214599,324.44360202599,243.65951103999998,-5.039731247,-41.530452608400005,0.012243561702500006,583.0,586.0,4.0,late_window_mean,latest_retained_time,-1.0569002968770178,-3.004032578167596,-21.744345085271505,8.924069900846957,-2.0607753725698785e-08,True,True,0.01947260396837931,15.908356954638752,59.043621795144865,4,2,2,2,12.465572404957292,55.25280819114299
Salt 3,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0,False,valid,-15.160969480659674,15.562752655084642,0.6191490859282567,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0/Salt_3/summary.csv,Salt 3,Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,convergence_audit_required,terminated,54.633568397881604,254.32887368408257,308.9624420819642,150.76963876,211.73729728346,362.50693604346,273.15593531999997,-10.2680828,-43.194857487600004,0.01397021175355203,3294.0,3297.0,4.0,late_window_mean,latest_retained_time,-1.0118008568969117,-2.8939889006684325,-53.54449396149579,19.60217115501036,7.447006566962955e-09,True,False,0.020223481714639814,15.562752655084642,44.76145438166207,4,2,2,2,12.465572404957292,55.25280819114299
Salt 4,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0,False,valid,-25.332810893233386,2.743973260893861,1.5531624178889842,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_0/Salt_4/summary.csv,Salt 4,Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,convergence_audit_required,terminated,54.60959194307793,254.61591322677947,309.2255051698574,169.22681525,244.09050705061998,413.31732230061994,310.48733819999995,-16.54605165,-48.5414199105,0.015880550670732595,2980.0,2983.0,4.0,late_window_mean,latest_retained_time,-0.9788629328095908,-2.8419138232964087,-104.09181713076254,33.525301783389295,1.1899513907565051e-07,True,False,0.020651538625439666,2.743973260893861,30.042962952788955,4,2,2,2,12.465572404957292,55.25280819114299
Salt 1,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,True,valid,-24.949400245802963,-13.201315955222011,5.515516932064202e-10,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1/Salt_1/summary.csv,Salt 1,Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,completed,42.59758920483988,226.7009800946531,269.29856929949295,135.60317786,167.80591747262997,303.40909533262993,213.09187967,0.806212777,-34.393983561700004,0.010932096642500016,3276.0,3279.0,4.0,late_window_mean,latest_retained_time,-1.1871014759597642,-3.227299370862852,-34.11052603313698,16.007426508209267,-3.0056884625651037e-07,True,True,0.013714192079074924,-13.201315955222011,25.44887341883837,4,2,2,4,12.465932095626659,29.931882744208416
Salt 2,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,True,valid,-20.411227834556257,-2.0406532863831655,5.035190042690374e-10,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1/Salt_2/summary.csv,Salt 2,Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,comparison_candidate,completed,46.44369674739527,256.2546640570201,302.69836080441536,136.35073988,188.09286214599,324.44360202599,243.65951103999998,-5.039731247,-41.530452608400005,0.012243561702500006,583.0,586.0,4.0,late_window_mean,latest_retained_time,-1.0569002968770178,-3.004032578167596,-21.745241221574645,8.924437683044053,1.0674875738914125e-07,True,True,0.016457170247887627,-2.0406532863831655,34.414892069578464,4,2,2,4,12.465932095626659,29.931882744208416
Salt 3,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,True,valid,-22.748559855384542,8.909570484704814,1.0188614396611229e-09,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1/Salt_3/summary.csv,Salt 3,Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,convergence_audit_required,terminated,49.80863871267631,284.6895290958055,334.4981678084818,150.76963876,211.73729728346,362.50693604346,273.15593531999997,-10.2680828,-43.194857487600004,0.01397021175355203,3294.0,3297.0,4.0,late_window_mean,latest_retained_time,-1.0118008568969117,-2.8939889006684325,-28.008768234978163,10.25376519904871,-9.634269204639168e-08,True,True,0.019059174834823344,8.909570484704814,36.42724370285517,4,2,2,4,12.465932095626659,29.931882744208416
Salt 4,ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1,True,valid,-26.369698019088048,9.790067273622896,-9.72022462519817e-11,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_1.0in_rad_1/Salt_4/summary.csv,Salt 4,Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,convergence_audit_required,terminated,53.95323177622908,320.6446813205578,374.5979130967869,169.22681525,244.09050705061998,413.31732230061994,310.48733819999995,-16.54605165,-48.5414199105,0.015880550670732595,2980.0,2983.0,4.0,late_window_mean,latest_retained_time,-0.9788629328095908,-2.8419138232964087,-38.71940920383304,12.47052759970907,8.059889111677876e-08,True,True,0.022067803521998202,9.790067273622896,38.96119838381008,4,2,2,4,12.465932095626659,29.931882744208416
Salt 1,ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1,True,valid,-14.955172634497615,7.460682977896117,-2.643446350703016e-09,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1/Salt_1/summary.csv,Salt 1,Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,comparison_candidate,completed,49.05950339771123,220.2388668825741,269.2983702802853,135.60317786,167.80591747262997,303.40909533262993,213.09187967,0.806212777,-34.393983561700004,0.010932096642500016,3276.0,3279.0,4.0,late_window_mean,latest_retained_time,-1.1871014759597642,-3.227299370862852,-34.110725052344606,16.007519904169705,2.8101033322514013e-07,True,True,0.016978787910507588,7.460682977896117,55.311359437678554,4,2,2,2,12.466024856646165,58.98255392872275
Salt 2,ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1,True,valid,-9.66265051570116,18.539357435733912,-9.051746019395068e-10,disabled,baseline,quarantined_pending_revalidation,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/ethan_cfd_informed_salt_v1/ethan_cfd_informed_salt_baseline_ins_2.0in_rad_1/Salt_2/summary.csv,Salt 2,Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,comparison_candidate,completed,53.3271647711581,249.37097155930468,302.6981363304628,136.35073988,188.09286214599,324.44360202599,243.65951103999998,-5.039731247,-41.530452608400005,0.012243561702500006,583.0,586.0,4.0,late_window_mean,latest_retained_time,-1.0569002968770178,-3.004032578167596,-21.74546569552723,8.924529809122623,-1.0791023186129678e-07,True,True,0.019914612049203296,18.539357435733912,62.653748419766956,4,2,2,2,12.466024856646165,58.98255392872275
