candidate_id,wall_candidate_id,cooler_candidate_id,lane,case_id,split_role,coupled_run_status,elapsed_s,root_status,qhx_total_W,qambient_total_W,mdot_error_pct,tp_rmse_K,tw_rmse_K,all_probe_rmse_K,coupled_gate,source_path
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,HIW1_heated_incline_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_2,train,completed,93.36649954,accepted,50.2205447,252.4752751,-25.83905167,38.07666873,58.60487777,53.05010143,train_not_admission_scored,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,HIW1_heated_incline_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_3,validation,completed,93.0001496,accepted,51.77696454,282.717492,-21.45855454,45.65316441,63.71513802,58.67115137,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,HIW1_heated_incline_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_4,holdout,completed,94.21464525,accepted,53.30370982,321.2887557,-24.3994292,57.56743302,72.38725145,68.10336933,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW1_heated_incline_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_2,train,completed,115.9024923,accepted,50.19485963,252.50096,-25.83426334,38.06582797,58.61551337,53.05574826,train_not_admission_scored,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW1_heated_incline_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_3,validation,completed,116.6692963,accepted,51.75247614,282.74198,-21.45416302,45.64356844,63.72318812,58.67482874,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW1_heated_incline_pipe_outer_wall_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_4,holdout,completed,116.9552391,accepted,53.28044014,321.3120252,-24.3958158,57.55912607,72.39241638,68.10494954,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW2_heated_incline_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,HIW2_heated_incline_outer_surface_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_2,train,completed,93.89963182,accepted,62.70088377,239.9932464,2.428370322,12.73096836,61.12176917,51.17675565,train_not_admission_scored,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW2_heated_incline_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,HIW2_heated_incline_outer_surface_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_3,validation,completed,92.81808036,accepted,63.96819759,270.5245323,6.403398391,20.20801145,62.77122072,53.25898181,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW2_heated_incline_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,HIW2_heated_incline_outer_surface_drive,HX_LUMPED_UA_NTU,heated_incline_wall_drive,salt_4,holdout,completed,93.93675434,accepted,65.05396695,309.5367111,0.2856463769,32.77097653,67.01567616,58.50843629,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW2_heated_incline_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW2_heated_incline_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_2,train,completed,116.539429,accepted,62.67791299,240.016217,2.435685503,12.72021754,61.14270732,51.19311289,train_not_admission_scored,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW2_heated_incline_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW2_heated_incline_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_3,validation,completed,113.7991302,accepted,63.94600645,270.5467234,6.40984134,20.19756332,62.78855588,53.27179018,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
HIW2_heated_incline_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,HIW2_heated_incline_outer_surface_drive,HX_SEGMENTED_UA_NTU_N16,heated_incline_wall_drive,salt_4,holdout,completed,114.60409,accepted,65.03260703,309.5580708,0.290736286,32.7617306,67.0285279,58.51693881,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,TSC1_test_section_only_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_2,train,completed,79.21439463,accepted,60.43167437,242.263074,-2.931297122,17.07792065,59.5254019,50.2706954,train_not_admission_scored,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,TSC1_test_section_only_pipe_outer_wall_drive,HX_LUMPED_UA_NTU,test_section_wall_fluid_coupling,salt_3,validation,completed,79.10138637,accepted,61.19977795,273.293708,-0.146962798,25.91218417,61.74161549,53.20332717,fail_vs_m3,Fluid solve_case with AGENT-522 wall thermal-circuit scenario
