candidate_id,case_id,split_role,kind,prediction_source_segment,n_compared,candidate_rmse_K,m3_rmse_K,rmse_delta_vs_m3_K,candidate_mae_K,m3_mae_K,mae_delta_vs_m3_K
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP,left_lower_vertical,2,39.60021683,10.03368821,29.56652863,39.5565681,9.948393484,29.60817462
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP,left_upper_vertical,1,51.42211432,14.32783545,37.09427887,51.42211432,14.32783545,37.09427887
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP,test_section,1,41.27119975,12.68597574,28.58522401,41.27119975,12.68597574,28.58522401
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TP,top_horizontal_exit,1,54.19554396,20.51460024,33.68094372,54.19554396,20.51460024,33.68094372
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,cooled_incline_post_hx,1,49.34397386,14.11077639,35.23319747,49.34397386,14.11077639,35.23319747
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,cooled_incline_pre_hx,1,48.48039419,0.9395367915,47.5408574,48.48039419,0.9395367915,47.5408574
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,heated_incline,3,60.25383678,8.530074996,51.72376179,59.35090937,8.376710866,50.9741985
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,left_lower_vertical,1,44.37569993,14.18859116,30.18710877,44.37569993,14.18859116,30.18710877
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,left_upper_vertical,1,43.90335362,14.27661257,29.62674105,43.90335362,14.27661257,29.62674105
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,TW,right_vertical,3,45.03736515,31.1645128,13.87285236,45.0332463,28.81046408,16.22278222
